GeneID,IU_2.5preg_n1,IU_2.5preg_n2,IU_2.5preg_n3,IA_2.5preg_n1,IA_2.5preg_n2,IA_2.5preg_n3
Hprt,1710.0,2124.0,1762.0,2841.0,3568.0,4200.0
Tmem150a,471.0,984.0,525.0,643.0,892.0,883.0
4930520O04Rik,94.0,109.0,61.0,81.0,135.0,102.0
Snapc1,1132.0,1421.0,1177.0,897.0,1362.0,1383.0
Ube2r2,5195.0,7912.0,5283.0,5315.0,7639.0,8290.0
Grcc10,3153.0,4880.0,3441.0,3750.0,5606.0,5562.0
Pccb,4978.0,6472.0,4868.0,5161.0,7514.0,7765.0
Igfbp6,11877.0,20501.0,10819.0,2147.0,2537.0,3619.0
Iscu,2400.0,3164.0,2199.0,2921.0,4132.0,4201.0
Gabarap,3132.0,3852.0,3103.0,3729.0,5365.0,5637.0
Ammecr1l,4601.0,6561.0,4968.0,5407.0,7503.0,8512.0
Gm5297,28.0,47.0,34.0,45.0,71.0,68.0
Slc47a1,3.0,16.0,8.0,19.0,10.0,10.0
Tex2,7054.0,9416.0,7003.0,5559.0,8314.0,9729.0
Lrrc47,1581.0,2241.0,1814.0,1884.0,2910.0,2980.0
Osgepl1,372.0,589.0,389.0,470.0,576.0,587.0
Nudt9,1226.0,1835.0,1398.0,1638.0,2460.0,2628.0
Ncald,11729.0,14709.0,11548.0,15889.0,22219.0,26066.0
Epn1,7823.0,10932.0,8254.0,8130.0,11079.0,11774.0
Gtf2f1,1756.0,2551.0,1844.0,1926.0,2861.0,3009.0
Kcnj16,0.0,3.0,1.0,0.0,0.0,2.0
Dbt,2688.0,3364.0,2558.0,2741.0,3399.0,3615.0
Cxcl2,1.0,0.0,8.0,2.0,0.0,0.0
Aldh6a1,4737.0,6383.0,4265.0,7105.0,8818.0,8693.0
Pitpnm2,3695.0,5439.0,3918.0,3507.0,4589.0,4690.0
Oas3,54.0,186.0,52.0,8.0,16.0,32.0
Myh6,12.0,17.0,8.0,3.0,4.0,8.0
Rassf4,1302.0,2244.0,1310.0,1773.0,2452.0,2655.0
Cln5,3358.0,3700.0,3770.0,1913.0,2594.0,2948.0
Pnlip,0.0,0.0,0.0,4.0,3.0,2.0
Hnrnpdl,4487.0,6355.0,5197.0,3952.0,5223.0,4903.0
Smchd1,3281.0,4530.0,3259.0,3731.0,5429.0,5681.0
Zfp362,1972.0,3401.0,2088.0,2678.0,3716.0,4099.0
Arl8b,2138.0,2782.0,2125.0,2253.0,3149.0,3634.0
Slc39a3,2169.0,3299.0,2244.0,2701.0,3773.0,4042.0
Pkm,19360.0,27855.0,20948.0,14793.0,22989.0,24768.0
Dock7,5621.0,7331.0,5264.0,6052.0,8358.0,8659.0
Ggps1,1849.0,2491.0,1916.0,1899.0,2646.0,2686.0
Glipr2,550.0,1052.0,692.0,922.0,1110.0,1391.0
Adam9,4332.0,6865.0,4257.0,4214.0,5661.0,6091.0
S100pbp,1206.0,1692.0,1134.0,1409.0,1734.0,1872.0
Psmb1,5675.0,6999.0,5661.0,6215.0,7818.0,8331.0
Rbm18,1733.0,2615.0,1930.0,1991.0,2590.0,2675.0
Creld1,1169.0,1672.0,1176.0,936.0,1298.0,1420.0
Snhg14,401.0,519.0,516.0,569.0,612.0,500.0
Traf6,2029.0,2775.0,1982.0,1989.0,2948.0,3255.0
Cnpy4,668.0,1062.0,657.0,716.0,873.0,1058.0
Lars2,73552.0,54492.0,65590.0,162149.0,139701.0,123122.0
Ceacam16,2.0,4.0,2.0,7.0,4.0,2.0
Epm2a,182.0,350.0,197.0,228.0,382.0,448.0
Gm12070,56.0,97.0,43.0,48.0,52.0,132.0
Prdx1,16362.0,18969.0,16482.0,14446.0,20420.0,21765.0
Zfp874a,903.0,1185.0,813.0,752.0,1078.0,934.0
Ero1a,1139.0,1881.0,968.0,1193.0,1652.0,1671.0
Nosip,1868.0,3048.0,1824.0,1761.0,2707.0,2673.0
Mir186,22.0,43.0,24.0,31.0,31.0,14.0
Lypd8l,13.0,15.0,9.0,18.0,23.0,51.0
Akr1b7,13.0,8.0,4.0,20.0,9.0,0.0
Cldn22,756.0,888.0,828.0,548.0,877.0,947.0
Eif2b1,959.0,1393.0,1059.0,908.0,1230.0,1328.0
Mrm1,461.0,647.0,436.0,517.0,646.0,666.0
Actmap,284.0,433.0,293.0,381.0,399.0,489.0
Ifit3b,187.0,209.0,110.0,40.0,49.0,191.0
Rps6ka3,1470.0,2216.0,1294.0,1426.0,2048.0,2149.0
Lypd8,1.0,4.0,2.0,0.0,0.0,13.0
Gm20186,634.0,667.0,552.0,1786.0,2700.0,2969.0
Lmtk2,4012.0,5515.0,4178.0,4432.0,6307.0,7102.0
4930413F20Rik,41.0,59.0,37.0,53.0,69.0,67.0
Slc39a4,21620.0,24408.0,22962.0,12400.0,17226.0,17233.0
A830039N20Rik,74.0,137.0,56.0,26.0,29.0,44.0
Nod2,45.0,101.0,42.0,8.0,9.0,14.0
Pdia6,28496.0,28047.0,28584.0,17113.0,22303.0,29317.0
Ube2e2,1080.0,1404.0,1028.0,1623.0,2442.0,2482.0
Rint1,1572.0,2072.0,1511.0,1660.0,2045.0,2231.0
Lins1,1417.0,1457.0,1412.0,977.0,1345.0,1461.0
Tnfsf9,38.0,67.0,38.0,34.0,40.0,60.0
E2f6,1311.0,1845.0,1181.0,1571.0,2011.0,2075.0
Chsy1,878.0,2184.0,896.0,739.0,1192.0,1245.0
Sprn,57.0,115.0,59.0,85.0,111.0,136.0
Samd1,1078.0,1594.0,1302.0,1277.0,1732.0,1895.0
Ankrd22,34.0,25.0,28.0,45.0,61.0,42.0
Trappc2l,1112.0,1441.0,1150.0,1188.0,1358.0,1567.0
Litaf,3045.0,4946.0,3303.0,4594.0,7042.0,7227.0
Zfp758,652.0,913.0,678.0,743.0,924.0,966.0
Gbp3,917.0,1522.0,838.0,351.0,426.0,555.0
Atp6v1g1,2039.0,2245.0,2064.0,2272.0,3041.0,3511.0
Abr,9093.0,12107.0,8616.0,11222.0,16338.0,17064.0
Poldip2,2714.0,3917.0,2893.0,3399.0,4282.0,4726.0
Kbtbd2,2062.0,2910.0,1913.0,1927.0,3013.0,3074.0
Actn2,51.0,92.0,69.0,69.0,42.0,59.0
C1galt1,1310.0,1681.0,1184.0,1276.0,1785.0,1879.0
Manf,11793.0,10068.0,12129.0,6546.0,8974.0,11175.0
Osmr,752.0,1339.0,825.0,316.0,476.0,512.0
Olfml3,1543.0,3237.0,1391.0,2498.0,3791.0,3583.0
Ap5b1,873.0,1198.0,1016.0,844.0,1170.0,1333.0
Cmtm3,2001.0,3685.0,2166.0,2335.0,3372.0,3566.0
Sdhaf4,1006.0,1065.0,890.0,1024.0,1295.0,1449.0
Trim45,518.0,1034.0,603.0,834.0,1177.0,1315.0
Cxxc1,2720.0,4448.0,3240.0,3080.0,4240.0,4394.0
Sephs1,2642.0,4064.0,2469.0,2520.0,3588.0,3806.0
Cenpi,46.0,54.0,81.0,56.0,53.0,78.0
Chchd7,1134.0,1504.0,1138.0,991.0,1256.0,1416.0
Polr2e,2380.0,2990.0,2271.0,2685.0,3710.0,4007.0
Pals2,790.0,783.0,580.0,495.0,761.0,786.0
Nckap1,9463.0,13212.0,8905.0,9637.0,13966.0,14953.0
Exosc4,1078.0,1531.0,1150.0,1035.0,1358.0,1437.0
Virma,4012.0,5485.0,3790.0,3605.0,5012.0,5464.0
Dnajb9,8383.0,7596.0,6792.0,4320.0,6014.0,5924.0
Muc6,15.0,12.0,3.0,39.0,48.0,24.0
Ap5m1,1188.0,1431.0,1221.0,1073.0,1478.0,1468.0
Abhd13,2180.0,2992.0,2397.0,2452.0,3237.0,3757.0
Phactr2,4628.0,6908.0,4367.0,3832.0,5747.0,5307.0
Higd2a,2085.0,2837.0,2181.0,2035.0,2958.0,3062.0
Prpf19,5945.0,9632.0,5986.0,6933.0,10052.0,11172.0
Upb1,383.0,541.0,288.0,414.0,646.0,627.0
Tcn2,3155.0,4798.0,2929.0,3706.0,5279.0,5742.0
Gm6436,0.0,0.0,0.0,4.0,6.0,0.0
Slc5a5,9142.0,8320.0,10266.0,26.0,15.0,26.0
Pde8a,436.0,785.0,375.0,436.0,613.0,649.0
Dnpep,2540.0,3530.0,2617.0,2075.0,2871.0,3166.0
Ceacam1,2676.0,3043.0,2365.0,2757.0,3276.0,3376.0
Mia2,7.0,20.0,22.0,15.0,3.0,18.0
Nr4a3,92.0,132.0,60.0,17.0,98.0,52.0
Slc5a3,1718.0,2710.0,1610.0,2828.0,3365.0,3645.0
Cxcr2,9.0,6.0,11.0,0.0,0.0,0.0
Dnajc27,751.0,1401.0,841.0,1052.0,1574.0,1697.0
Etaa1,779.0,1117.0,789.0,806.0,1196.0,1249.0
Nr1d1,4044.0,7047.0,3147.0,8625.0,13995.0,12557.0
Tmem140,60.0,95.0,54.0,53.0,53.0,66.0
Itprid1,1374.0,1327.0,959.0,23.0,42.0,11.0
Pdia5,1689.0,1890.0,1442.0,1253.0,1919.0,2081.0
Isg20l2,1354.0,2037.0,1445.0,1557.0,2202.0,2438.0
Rhof,140.0,204.0,125.0,94.0,159.0,122.0
Igha,344.0,872.0,365.0,59.0,234.0,90.0
Arg1,160.0,141.0,197.0,602.0,674.0,891.0
Mapk1,8576.0,11610.0,8011.0,9172.0,12766.0,13572.0
Enpp4,4065.0,4838.0,3922.0,3377.0,4669.0,5121.0
Daglb,749.0,1154.0,753.0,1000.0,1304.0,1372.0
Phospho1,8.0,28.0,10.0,2.0,4.0,11.0
Sumo2,2271.0,2890.0,2345.0,2680.0,3743.0,3960.0
Zfp628,1326.0,1875.0,1365.0,1223.0,1846.0,2112.0
Wwc1,13256.0,16852.0,14451.0,11328.0,19097.0,20499.0
Fbxl15,239.0,370.0,252.0,218.0,363.0,379.0
Gm8210,64.0,152.0,72.0,35.0,76.0,44.0
Rpl15-ps6,181.0,129.0,72.0,91.0,112.0,160.0
Mrpl43,1628.0,2016.0,1688.0,1774.0,2546.0,2716.0
Rbp7,51.0,53.0,31.0,28.0,25.0,13.0
Tuba1c,882.0,918.0,952.0,754.0,986.0,1465.0
Acsf2,12439.0,14852.0,14576.0,14752.0,22617.0,24240.0
Klf13,4169.0,7186.0,4292.0,5553.0,8207.0,9424.0
Abhd14b,4656.0,6203.0,4528.0,4368.0,5640.0,5601.0
Ndufv2,3283.0,3916.0,3180.0,3186.0,4223.0,4578.0
Rab22a,1693.0,2488.0,1661.0,1698.0,2417.0,2892.0
Zfp654,1880.0,2264.0,1909.0,1463.0,2015.0,2158.0
Cstb,2544.0,2700.0,2715.0,2198.0,3129.0,3444.0
Alox15,19520.0,24563.0,21977.0,9998.0,19118.0,18180.0
Bcl7c,881.0,1654.0,1105.0,924.0,1326.0,1428.0
Mief1,1434.0,2228.0,1393.0,1647.0,2118.0,2426.0
Unc5cl,702.0,631.0,834.0,1008.0,1423.0,1712.0
Rnf216,3085.0,4207.0,2767.0,3196.0,4567.0,4956.0
Rpe,1971.0,2361.0,1743.0,1644.0,2329.0,2478.0
Ap2a1,3551.0,5527.0,3669.0,4013.0,5716.0,6447.0
Smug1,838.0,1273.0,914.0,1416.0,1665.0,1708.0
Scn4a,49.0,70.0,67.0,63.0,74.0,86.0
Cyp2t4,82.0,129.0,120.0,161.0,220.0,183.0
Zfp354a,218.0,333.0,221.0,234.0,297.0,344.0
Elmo2,4312.0,6329.0,4385.0,4324.0,6505.0,6823.0
Rassf8,1023.0,1575.0,1053.0,918.0,1626.0,1750.0
Stra6,1423.0,1554.0,1208.0,1745.0,2078.0,2044.0
Tcaf1,2241.0,3729.0,2109.0,1824.0,2826.0,2993.0
Zc3h12a,234.0,336.0,233.0,399.0,582.0,555.0
Zfp119a,612.0,675.0,578.0,351.0,523.0,523.0
Tyw5,444.0,508.0,446.0,436.0,545.0,509.0
Tdrd7,2572.0,3618.0,2510.0,2716.0,4155.0,4421.0
Cd69,9.0,8.0,9.0,19.0,16.0,9.0
Hebp2,2388.0,2322.0,2123.0,999.0,1312.0,1389.0
Zfp12,1699.0,2474.0,1755.0,1869.0,2576.0,2861.0
Camk2g,2264.0,4264.0,2467.0,2180.0,3239.0,3331.0
Zcchc3,1044.0,1776.0,1091.0,1097.0,1552.0,1749.0
Mpzl3,324.0,538.0,387.0,134.0,260.0,308.0
Adh1,3521.0,5479.0,3598.0,3593.0,3917.0,4341.0
Ccn1,380.0,835.0,487.0,740.0,868.0,1144.0
Tgoln1,10902.0,14291.0,10166.0,10977.0,15876.0,17012.0
Igtp,1324.0,1749.0,1413.0,592.0,868.0,892.0
Stat5a,4174.0,4283.0,4336.0,1861.0,2446.0,2854.0
Zfp560,727.0,1063.0,775.0,882.0,1007.0,946.0
Arl6ip1,8581.0,10179.0,8192.0,7870.0,10489.0,11230.0
Spcs2,8545.0,9257.0,8077.0,9596.0,12773.0,14158.0
Xbp1,12538.0,13763.0,11851.0,13391.0,15742.0,18463.0
Rn7sk,336.0,302.0,357.0,492.0,546.0,542.0
Aldh18a1,16274.0,21257.0,16428.0,10638.0,17373.0,17678.0
H3f3c,287.0,340.0,338.0,349.0,571.0,587.0
Krt4,4.0,14.0,2.0,0.0,0.0,2.0
Car9,304.0,420.0,354.0,1086.0,1366.0,1531.0
Gpr143,18.0,16.0,14.0,21.0,27.0,21.0
Gga3,1901.0,2889.0,2116.0,2194.0,2700.0,2783.0
Ilf3,5444.0,7560.0,5094.0,5193.0,7218.0,7228.0
Epha1,1356.0,1849.0,1505.0,1593.0,2019.0,2160.0
Alyref,1123.0,1429.0,1330.0,1205.0,1797.0,1961.0
Prnd,36.0,83.0,12.0,16.0,8.0,1.0
F5,136.0,205.0,73.0,8.0,12.0,15.0
Ntng1,226.0,303.0,226.0,245.0,265.0,282.0
Nell2,4.0,39.0,13.0,20.0,28.0,21.0
Msto1,673.0,1001.0,629.0,738.0,1234.0,1184.0
Nabp2,1655.0,2295.0,1541.0,1494.0,1994.0,2167.0
Suco,15735.0,17005.0,14802.0,7592.0,12104.0,11636.0
Sftpd,1378.0,1592.0,1196.0,1517.0,2041.0,2451.0
Lama3,5158.0,7185.0,4291.0,4034.0,6393.0,6880.0
Lgals3bp,3569.0,5416.0,3110.0,1927.0,2683.0,2856.0
AA467197,2.0,2.0,2.0,1.0,5.0,1.0
Sec24c,10412.0,13634.0,10449.0,9182.0,12758.0,14108.0
Pbx3,886.0,1289.0,816.0,1203.0,1600.0,1734.0
Pappa2,117.0,134.0,61.0,54.0,147.0,114.0
Scg2,2.0,1.0,0.0,0.0,2.0,0.0
Rab26os,110.0,103.0,111.0,65.0,122.0,93.0
Aqp8,23.0,25.0,41.0,14.0,36.0,50.0
Atp5c1,7465.0,8996.0,7287.0,7486.0,9566.0,10734.0
Cuedc2,1822.0,2935.0,1889.0,2013.0,2835.0,2952.0
Oasl1,153.0,194.0,149.0,313.0,334.0,413.0
Cilp,368.0,1428.0,477.0,246.0,373.0,377.0
Ddit3,784.0,998.0,714.0,649.0,808.0,769.0
Rps4x,16912.0,21589.0,15282.0,14249.0,18149.0,21092.0
Gna13,3623.0,5586.0,3626.0,4170.0,6250.0,6569.0
Mup6,24.0,33.0,47.0,8.0,24.0,23.0
Ighv9-3,0.0,0.0,0.0,0.0,0.0,0.0
Fgl2,22700.0,24838.0,20407.0,18701.0,27294.0,26092.0
Rpl36-ps12,216.0,234.0,268.0,206.0,277.0,275.0
Ulk3,1189.0,1701.0,1354.0,1484.0,1627.0,1601.0
Esr1,16308.0,25594.0,15250.0,13284.0,20687.0,24548.0
Ino80e,789.0,1099.0,773.0,867.0,1126.0,1291.0
Adm2,8.0,17.0,16.0,4.0,6.0,4.0
Car3,12.0,13.0,10.0,6.0,47.0,13.0
Sv2c,449.0,412.0,416.0,297.0,499.0,569.0
Tmem176a,12880.0,16578.0,13644.0,13793.0,19590.0,19147.0
Akt1s1,3162.0,4820.0,3358.0,2884.0,4101.0,4530.0
Gm10052,724.0,1222.0,700.0,704.0,825.0,892.0
Irf2bp2,3617.0,5707.0,3926.0,4911.0,7101.0,8060.0
Slc15a3,51.0,186.0,71.0,49.0,85.0,62.0
Ccdc25,1240.0,1669.0,1190.0,1786.0,2584.0,2823.0
Nlrp6,448.0,676.0,400.0,560.0,699.0,729.0
Tti1,1700.0,2471.0,1656.0,1710.0,2507.0,2650.0
Gapdhs,72.0,84.0,69.0,55.0,65.0,81.0
Crot,10307.0,11399.0,10543.0,4803.0,6148.0,7730.0
Rpp25l,707.0,997.0,786.0,771.0,1212.0,1235.0
Arf6,6943.0,9730.0,7936.0,7506.0,11784.0,12717.0
Zfp873,395.0,572.0,390.0,460.0,527.0,582.0
Dnajc1,5952.0,7239.0,5916.0,3783.0,4632.0,5332.0
Golm2,4475.0,6338.0,4126.0,4847.0,7271.0,7352.0
Bc1,70.0,85.0,87.0,20.0,39.0,35.0
Zfp516,9663.0,12894.0,10184.0,8358.0,12194.0,13613.0
Pcdhac2,6.0,10.0,6.0,10.0,18.0,42.0
Bmal1,887.0,1645.0,1260.0,1469.0,2506.0,2874.0
Dph7,803.0,1016.0,766.0,783.0,964.0,817.0
Mmp24,8.0,18.0,13.0,19.0,22.0,32.0
Fzd6,14389.0,15685.0,15527.0,11121.0,15145.0,16784.0
Gpr137b-ps,572.0,1050.0,588.0,545.0,888.0,777.0
Nr4a2,143.0,210.0,152.0,290.0,474.0,392.0
H2-T9,128.0,196.0,159.0,135.0,329.0,214.0
H2bc21,702.0,1404.0,767.0,886.0,1159.0,1026.0
Churc1,1506.0,1598.0,1533.0,1613.0,2131.0,2383.0
Spcs3,5370.0,5569.0,5200.0,3491.0,4731.0,4673.0
Tmco1,3115.0,3761.0,3054.0,3321.0,4334.0,4576.0
Krt8,30412.0,36384.0,31046.0,22096.0,32684.0,36631.0
Krt20,4.0,8.0,4.0,28.0,35.0,61.0
Hsd17b12,2250.0,2758.0,2287.0,2760.0,3542.0,3838.0
Tmem18,1339.0,2069.0,1520.0,1667.0,2186.0,2413.0
Itpkb,3528.0,6327.0,3422.0,3534.0,5158.0,6038.0
Rpl5-ps2,90.0,105.0,96.0,69.0,72.0,128.0
Snora33,23.0,21.0,20.0,10.0,15.0,18.0
Ppp3cc,771.0,1066.0,727.0,828.0,1109.0,1161.0
Mettl25,284.0,430.0,324.0,365.0,493.0,454.0
Zfp410,2036.0,2664.0,1974.0,1804.0,2265.0,2567.0
Ndufb11,4145.0,4633.0,3874.0,4087.0,5433.0,5893.0
Pmf1,552.0,773.0,561.0,375.0,579.0,528.0
Lif,41.0,111.0,57.0,124.0,201.0,209.0
Unc13b,3518.0,4389.0,3413.0,3350.0,4529.0,4954.0
Nr1d2,4319.0,6062.0,3617.0,6353.0,7283.0,7026.0
Ptdss1,3762.0,4538.0,3506.0,2832.0,3947.0,4201.0
ATP6,1786.0,2160.0,1382.0,1087.0,945.0,1303.0
R3hcc1,818.0,1332.0,832.0,1042.0,1470.0,1575.0
Gapdh,1766.0,2973.0,1976.0,1566.0,2258.0,2453.0
Mmp13,63.0,31.0,64.0,54.0,112.0,99.0
Fpgt,1340.0,1678.0,1429.0,1530.0,2093.0,2059.0
Krtcap2,2149.0,2579.0,2263.0,2135.0,2914.0,3253.0
Stt3a,11604.0,14386.0,11552.0,12635.0,17271.0,19776.0
Gm6030,38.0,40.0,51.0,42.0,34.0,47.0
Csnk2b,3251.0,4516.0,3195.0,3500.0,4987.0,5486.0
Uhmk1,1364.0,2079.0,1320.0,1158.0,1890.0,2177.0
Nim1k,149.0,178.0,114.0,123.0,216.0,191.0
Rpl13a,17388.0,18973.0,18978.0,11664.0,13899.0,17597.0
Atp5a1,23510.0,34460.0,22715.0,26145.0,37131.0,40084.0
Mier1,4778.0,7081.0,4380.0,4801.0,7373.0,7594.0
Clspn,30.0,53.0,47.0,19.0,30.0,34.0
Ccl28,959.0,611.0,1064.0,3308.0,2588.0,4011.0
Mgat4b,3120.0,4345.0,3325.0,3439.0,5115.0,5380.0
Borcs7,672.0,1009.0,684.0,977.0,1265.0,1254.0
Tmem179b,1147.0,1251.0,1144.0,1173.0,1476.0,1533.0
