GeneID,IU_Finnerty_Estrus_n1,IU_Finnerty_Estrus_n2,IU_Finnerty_Estrus_n3,IA_Finnerty_Estrus_n1,IA_Finnerty_Estrus_n2,IA_Finnerty_Estrus_n3
Pebp1,8285.0,8164.0,11752.0,9410.0,11108.0,10151.0
Ppp6r3,4766.0,5164.0,8584.0,4412.0,5337.0,5461.0
Tnip3,16.0,23.0,16.0,14.0,16.0,11.0
Mir5103,1.0,3.0,8.0,5.0,6.0,2.0
Glyr1,5997.0,6266.0,9610.0,6386.0,7637.0,8126.0
Map1s,1368.0,1400.0,2752.0,1349.0,1540.0,1813.0
Zfp953,328.0,335.0,492.0,249.0,332.0,377.0
Mchr1,26.0,161.0,271.0,140.0,151.0,165.0
Atg4a,531.0,539.0,876.0,612.0,685.0,777.0
Atp10b,3334.0,3521.0,5796.0,3235.0,2838.0,3132.0
Kcne1,208.0,393.0,253.0,12.0,30.0,44.0
Zfp593,157.0,140.0,239.0,119.0,157.0,133.0
Oser1,408.0,467.0,752.0,403.0,540.0,598.0
Gm15464,44.0,36.0,76.0,29.0,35.0,42.0
Slco4c1,59.0,85.0,330.0,87.0,132.0,140.0
Ivl,31.0,13.0,14.0,49.0,26.0,9.0
Med20,937.0,1055.0,1591.0,810.0,1074.0,1289.0
Osgin2,576.0,673.0,1344.0,843.0,1092.0,2098.0
Pold4,183.0,299.0,312.0,206.0,218.0,382.0
Sprr1a,77.0,257.0,49.0,101.0,30.0,2.0
Dnajb1,1878.0,2010.0,3159.0,1618.0,2523.0,2304.0
2610206C17Rik,59.0,79.0,91.0,77.0,91.0,128.0
Copg2,2684.0,2766.0,4205.0,2974.0,3688.0,3855.0
Mrps35,869.0,1115.0,1458.0,747.0,900.0,1018.0
0610031O16Rik,20.0,17.0,5.0,12.0,16.0,0.0
Dnajc19-ps,116.0,119.0,177.0,95.0,98.0,81.0
Lin37,644.0,772.0,874.0,809.0,957.0,768.0
Paqr6,215.0,387.0,588.0,173.0,156.0,503.0
Srprb,2834.0,3023.0,3439.0,2810.0,3734.0,2227.0
Pnck,723.0,802.0,2014.0,483.0,393.0,672.0
Arhgef18,2455.0,2844.0,4032.0,2251.0,2467.0,2766.0
Rps23rg1,282.0,282.0,543.0,223.0,254.0,415.0
Gm10724,9.0,8.0,13.0,4.0,2.0,17.0
C2cd4d,119.0,226.0,247.0,411.0,152.0,189.0
Zmat5,574.0,649.0,938.0,497.0,613.0,866.0
Per2,1350.0,523.0,1696.0,929.0,2691.0,2871.0
Esm1,24.0,230.0,114.0,44.0,33.0,26.0
Creld2,3193.0,5252.0,4886.0,7895.0,5895.0,4044.0
Prss29,490.0,180.0,32.0,96.0,85.0,72.0
Myl12a,2774.0,2670.0,4009.0,2483.0,3326.0,3798.0
Syvn1,4093.0,4708.0,6445.0,3804.0,4098.0,3187.0
Acy3,424.0,559.0,663.0,325.0,282.0,601.0
Yjefn3,47.0,70.0,115.0,75.0,40.0,36.0
Glmp,3482.0,5448.0,5618.0,3604.0,3693.0,4439.0
Gm10257,190.0,173.0,253.0,160.0,222.0,231.0
Cd47,1459.0,1727.0,2113.0,1368.0,1620.0,1913.0
Sp2,1058.0,1339.0,1966.0,1025.0,1134.0,1126.0
Nppc,412.0,114.0,74.0,253.0,177.0,68.0
Lsr,1820.0,1502.0,1950.0,1953.0,2253.0,2078.0
Idh3b,6044.0,6166.0,8391.0,5584.0,6116.0,6348.0
Lman1,5074.0,5960.0,6863.0,5477.0,7007.0,5753.0
Adgrb3,11.0,6.0,13.0,9.0,25.0,2.0
Hprt,1071.0,1158.0,1716.0,1565.0,1779.0,2044.0
Tmem150a,635.0,774.0,1053.0,644.0,588.0,567.0
4930520O04Rik,48.0,70.0,161.0,59.0,52.0,100.0
Snapc1,793.0,784.0,1378.0,673.0,818.0,747.0
Ube2r2,7327.0,7378.0,9199.0,5053.0,6675.0,6006.0
Grcc10,3148.0,3542.0,5540.0,3545.0,3692.0,4331.0
Pccb,4839.0,4963.0,7022.0,3906.0,5041.0,5126.0
Igfbp6,10032.0,17810.0,14847.0,3335.0,3050.0,3209.0
Iscu,2269.0,2123.0,3610.0,2230.0,2286.0,3005.0
Gabarap,2127.0,2807.0,3484.0,2718.0,2812.0,3711.0
Ammecr1l,3197.0,3036.0,4953.0,3930.0,4396.0,3930.0
Gm5297,43.0,31.0,32.0,50.0,42.0,56.0
Slc47a1,8.0,11.0,15.0,18.0,4.0,12.0
Tex2,27302.0,10600.0,10173.0,7511.0,23556.0,5495.0
Lrrc47,1738.0,1796.0,2794.0,1398.0,1765.0,2034.0
Osgepl1,291.0,386.0,575.0,317.0,293.0,537.0
Nudt9,1283.0,1534.0,2256.0,1489.0,1620.0,1774.0
Ncald,16999.0,11652.0,17324.0,10481.0,16829.0,14003.0
Epn1,6734.0,6618.0,10249.0,6249.0,6728.0,7378.0
Gtf2f1,1952.0,1831.0,2904.0,1878.0,2149.0,1972.0
Kcnj16,137.0,109.0,4.0,2.0,0.0,0.0
Dbt,1587.0,1704.0,2842.0,1892.0,2285.0,2296.0
Cxcl2,0.0,4.0,8.0,6.0,0.0,0.0
Aldh6a1,1890.0,3371.0,5013.0,2758.0,2976.0,5387.0
Pitpnm2,3723.0,3396.0,6563.0,2355.0,2963.0,2425.0
Oas3,128.0,211.0,87.0,23.0,12.0,16.0
Myh6,14.0,8.0,59.0,18.0,22.0,17.0
Rassf4,835.0,1526.0,1850.0,971.0,1053.0,1265.0
Cln5,1115.0,1166.0,1720.0,1253.0,1509.0,1465.0
Pnlip,10.0,8.0,6.0,20.0,4.0,0.0
Hnrnpdl,4932.0,4004.0,7383.0,4629.0,5037.0,3874.0
Smchd1,2330.0,2667.0,4664.0,2552.0,3311.0,3364.0
Zfp362,2370.0,3292.0,4445.0,2552.0,2814.0,2966.0
Arl8b,1914.0,2241.0,3054.0,1844.0,2016.0,1925.0
Slc39a3,1432.0,2031.0,2712.0,1670.0,1656.0,2316.0
Pkm,19400.0,24660.0,29761.0,24434.0,26078.0,16476.0
Dock7,4897.0,5721.0,7520.0,4689.0,6321.0,4721.0
Ggps1,1388.0,1377.0,2281.0,1203.0,1531.0,1492.0
Glipr2,947.0,689.0,1371.0,1162.0,1114.0,1085.0
Adam9,5171.0,5099.0,6109.0,4208.0,5915.0,4276.0
S100pbp,650.0,790.0,1378.0,826.0,942.0,902.0
Psmb1,5422.0,5127.0,7222.0,4696.0,5488.0,5850.0
Rbm18,1294.0,1349.0,1909.0,982.0,1418.0,1585.0
Creld1,730.0,1132.0,1291.0,773.0,1096.0,902.0
Snhg14,415.0,208.0,518.0,227.0,285.0,347.0
Traf6,1336.0,1597.0,2473.0,1329.0,1491.0,1668.0
Cnpy4,610.0,817.0,948.0,749.0,799.0,681.0
Lars2,19840.0,23487.0,22524.0,18088.0,13998.0,23049.0
Ceacam16,5.0,4.0,10.0,1.0,0.0,0.0
Epm2a,167.0,216.0,390.0,203.0,154.0,270.0
Gm12070,70.0,92.0,95.0,83.0,91.0,58.0
Prdx1,12997.0,11836.0,17798.0,14728.0,14106.0,12906.0
Zfp874a,425.0,561.0,752.0,332.0,360.0,520.0
Ero1a,1107.0,1339.0,1458.0,813.0,1077.0,935.0
Nosip,1770.0,2192.0,2744.0,1587.0,1915.0,2127.0
Mir186,12.0,12.0,31.0,18.0,6.0,8.0
Lypd8l,44.0,17.0,7.0,102.0,564.0,46.0
Akr1b7,4.0,17.0,12.0,2.0,0.0,7.0
Cldn22,1435.0,1487.0,1371.0,1112.0,1889.0,540.0
Eif2b1,933.0,733.0,1306.0,686.0,906.0,930.0
Mrm1,365.0,459.0,649.0,382.0,387.0,505.0
Actmap,277.0,258.0,361.0,251.0,368.0,214.0
Ifit3b,115.0,331.0,190.0,51.0,17.0,41.0
Rps6ka3,1357.0,1480.0,2055.0,1186.0,1510.0,1060.0
Lypd8,21.0,16.0,6.0,2.0,6.0,36.0
Gm20186,330.0,528.0,656.0,1452.0,954.0,1949.0
Lmtk2,2603.0,3275.0,4450.0,3071.0,3649.0,3208.0
4930413F20Rik,14.0,26.0,28.0,15.0,54.0,33.0
Slc39a4,3638.0,6963.0,15889.0,5328.0,5711.0,9470.0
A830039N20Rik,73.0,171.0,225.0,108.0,135.0,38.0
Nod2,42.0,123.0,91.0,15.0,21.0,26.0
Pdia6,18657.0,23992.0,25194.0,29352.0,25007.0,14093.0
Ube2e2,850.0,1030.0,1414.0,1273.0,1493.0,1729.0
Rint1,1167.0,1423.0,1492.0,1314.0,1545.0,1393.0
Lins1,402.0,396.0,936.0,644.0,747.0,612.0
Tnfsf9,37.0,50.0,42.0,23.0,45.0,25.0
E2f6,973.0,951.0,1669.0,887.0,1021.0,1215.0
Chsy1,2414.0,1124.0,2622.0,619.0,1535.0,782.0
Sprn,34.0,79.0,94.0,55.0,33.0,71.0
Samd1,1192.0,1119.0,2185.0,1345.0,1122.0,1101.0
Ankrd22,116.0,139.0,33.0,72.0,46.0,64.0
Trappc2l,766.0,793.0,1191.0,727.0,806.0,888.0
Litaf,3171.0,5205.0,5616.0,5035.0,3597.0,4795.0
Zfp758,369.0,355.0,519.0,314.0,444.0,536.0
Gbp3,743.0,1444.0,1283.0,474.0,347.0,409.0
Atp6v1g1,2310.0,1996.0,2378.0,2010.0,2408.0,2100.0
Abr,7108.0,7848.0,11479.0,6703.0,7720.0,9797.0
Poldip2,2621.0,2743.0,4042.0,2718.0,3028.0,3098.0
Kbtbd2,1342.0,1555.0,2168.0,1248.0,1721.0,1831.0
Actn2,88.0,47.0,142.0,17.0,49.0,50.0
C1galt1,804.0,781.0,1206.0,853.0,1190.0,857.0
Manf,6012.0,8119.0,7757.0,8568.0,9410.0,4520.0
Osmr,779.0,964.0,1009.0,425.0,484.0,327.0
Olfml3,3329.0,2437.0,3681.0,7027.0,7397.0,3292.0
Ap5b1,531.0,606.0,875.0,556.0,644.0,627.0
Cmtm3,2035.0,4386.0,4167.0,2693.0,2761.0,2868.0
Sdhaf4,546.0,460.0,759.0,534.0,611.0,771.0
Trim45,780.0,1109.0,1330.0,521.0,546.0,809.0
Cxxc1,2503.0,2823.0,4716.0,2449.0,2732.0,2991.0
Sephs1,2137.0,2389.0,3886.0,1987.0,2267.0,2622.0
Cenpi,42.0,30.0,40.0,55.0,49.0,59.0
Chchd7,673.0,762.0,1120.0,618.0,565.0,784.0
Polr2e,3184.0,2534.0,3865.0,2050.0,3332.0,2808.0
Pals2,355.0,427.0,609.0,447.0,448.0,421.0
Nckap1,7691.0,7520.0,11092.0,7463.0,9116.0,8664.0
Exosc4,895.0,997.0,1506.0,848.0,968.0,1074.0
Virma,2640.0,2864.0,4288.0,2306.0,3021.0,2779.0
Dnajb9,4492.0,7116.0,6219.0,4682.0,5386.0,3944.0
Muc6,34.0,32.0,65.0,35.0,46.0,41.0
Ap5m1,748.0,801.0,1267.0,697.0,828.0,903.0
Abhd13,1693.0,1809.0,2675.0,1634.0,1856.0,2155.0
Phactr2,2481.0,3744.0,5951.0,2248.0,2584.0,3501.0
Higd2a,2190.0,2238.0,2719.0,1895.0,2284.0,2252.0
Prpf19,7483.0,5820.0,9141.0,5270.0,6467.0,6498.0
Upb1,195.0,476.0,561.0,105.0,115.0,375.0
Tcn2,2742.0,5887.0,4855.0,3793.0,2965.0,4201.0
Gm6436,41.0,45.0,79.0,23.0,24.0,27.0
Slc5a5,33.0,36.0,68.0,7.0,10.0,13.0
Pde8a,574.0,697.0,1068.0,493.0,352.0,557.0
Dnpep,2096.0,2717.0,2882.0,2190.0,2423.0,2263.0
Ceacam1,4115.0,4667.0,3548.0,3089.0,3170.0,1953.0
Mia2,33.0,37.0,38.0,22.0,19.0,15.0
Nr4a3,65.0,48.0,240.0,43.0,119.0,13.0
Slc5a3,848.0,1789.0,1605.0,1628.0,1672.0,1519.0
Cxcr2,0.0,2.0,0.0,2.0,0.0,0.0
Dnajc27,692.0,773.0,1384.0,759.0,986.0,955.0
Etaa1,544.0,607.0,873.0,507.0,511.0,682.0
Nr1d1,4522.0,8989.0,7992.0,4166.0,5012.0,8305.0
Tmem140,26.0,58.0,42.0,19.0,23.0,34.0
Itprid1,16.0,13.0,32.0,4.0,34.0,14.0
Pdia5,1090.0,1528.0,1760.0,1792.0,1736.0,1271.0
Isg20l2,1199.0,1115.0,1734.0,905.0,1089.0,1120.0
Rhof,81.0,83.0,134.0,60.0,72.0,68.0
Igha,504.0,3554.0,1544.0,3295.0,795.0,386.0
Arg1,1996.0,3850.0,274.0,700.0,5117.0,546.0
Mapk1,6402.0,6560.0,10284.0,6107.0,7226.0,7638.0
Enpp4,2178.0,2389.0,3213.0,1972.0,2522.0,2699.0
Daglb,549.0,752.0,1105.0,619.0,638.0,752.0
Phospho1,28.0,52.0,31.0,16.0,12.0,11.0
Sumo2,2379.0,1953.0,3588.0,2277.0,2791.0,2942.0
Zfp628,1205.0,1430.0,2046.0,1385.0,1399.0,1238.0
Wwc1,7115.0,9349.0,16705.0,7903.0,8117.0,11680.0
Fbxl15,170.0,218.0,319.0,226.0,236.0,249.0
Gm8210,27.0,34.0,53.0,22.0,43.0,28.0
Rpl15-ps6,32.0,27.0,46.0,17.0,49.0,49.0
Mrpl43,1610.0,1743.0,2410.0,1631.0,1898.0,1980.0
Rbp7,73.0,88.0,95.0,170.0,613.0,27.0
Tuba1c,528.0,304.0,608.0,580.0,699.0,551.0
Acsf2,14418.0,17365.0,17684.0,19130.0,24591.0,13417.0
Klf13,3837.0,4447.0,5906.0,3507.0,4248.0,4762.0
Abhd14b,2323.0,3175.0,5251.0,2107.0,2004.0,3796.0
Ndufv2,3811.0,3285.0,5075.0,3396.0,3727.0,3222.0
Rab22a,1346.0,1353.0,2124.0,1243.0,1555.0,1363.0
Zfp654,1076.0,1188.0,1839.0,794.0,1097.0,1086.0
Cstb,2325.0,2182.0,2988.0,2659.0,2581.0,2317.0
Alox15,12081.0,19949.0,31820.0,24830.0,10659.0,11915.0
Bcl7c,617.0,589.0,1115.0,621.0,616.0,816.0
Mief1,1113.0,1167.0,1727.0,969.0,1348.0,1159.0
Unc5cl,6426.0,862.0,1412.0,887.0,3371.0,817.0
Rnf216,2113.0,2373.0,3839.0,2040.0,2382.0,2651.0
Rpe,1362.0,1134.0,1882.0,1148.0,1366.0,1317.0
Ap2a1,3956.0,3825.0,5322.0,3498.0,4279.0,3851.0
Smug1,681.0,682.0,950.0,710.0,839.0,1072.0
Scn4a,104.0,69.0,112.0,74.0,67.0,46.0
Cyp2t4,25.0,40.0,117.0,61.0,45.0,69.0
Zfp354a,130.0,148.0,259.0,98.0,114.0,163.0
Elmo2,2546.0,3843.0,5612.0,3933.0,3401.0,3784.0
Rassf8,1373.0,1312.0,1754.0,1155.0,1636.0,1084.0
Stra6,294.0,578.0,978.0,698.0,490.0,1491.0
Tcaf1,1667.0,2594.0,3164.0,1650.0,1837.0,1668.0
Zc3h12a,269.0,470.0,372.0,273.0,282.0,361.0
Zfp119a,268.0,307.0,388.0,238.0,238.0,301.0
Tyw5,263.0,254.0,399.0,230.0,286.0,306.0
Tdrd7,1934.0,1994.0,2674.0,2056.0,2280.0,2263.0
Cd69,4.0,2.0,12.0,2.0,12.0,16.0
Hebp2,1857.0,1583.0,2318.0,795.0,1146.0,778.0
Zfp12,1021.0,1099.0,1974.0,1044.0,1341.0,1371.0
Camk2g,2766.0,3010.0,5097.0,2222.0,2742.0,2306.0
Zcchc3,953.0,985.0,1732.0,785.0,893.0,1050.0
Mpzl3,279.0,316.0,474.0,149.0,162.0,131.0
Adh1,13633.0,6561.0,6083.0,9459.0,19412.0,3684.0
Ccn1,2590.0,604.0,1985.0,410.0,1394.0,1675.0
Tgoln1,6855.0,8122.0,10754.0,7664.0,8893.0,8942.0
Igtp,705.0,1079.0,1217.0,563.0,473.0,443.0
Stat5a,8798.0,2580.0,3622.0,1366.0,6864.0,1819.0
Zfp560,495.0,481.0,862.0,357.0,516.0,525.0
Arl6ip1,4442.0,5510.0,7091.0,5072.0,5062.0,7021.0
Spcs2,5760.0,7265.0,7977.0,8212.0,8211.0,8292.0
Xbp1,9266.0,12947.0,11248.0,12271.0,10320.0,10602.0
Rn7sk,82.0,126.0,124.0,129.0,196.0,259.0
Aldh18a1,10762.0,13121.0,18584.0,11987.0,8836.0,7210.0
H3f3c,789.0,790.0,1022.0,637.0,689.0,735.0
Krt4,65.0,18.0,4.0,8.0,28.0,1.0
Car9,298.0,451.0,423.0,1461.0,1269.0,982.0
Gpr143,4.0,4.0,16.0,13.0,8.0,12.0
Gga3,1414.0,1321.0,2320.0,1208.0,1410.0,1363.0
Ilf3,6989.0,6058.0,10155.0,3562.0,4739.0,4705.0
Epha1,729.0,1155.0,1385.0,1151.0,825.0,1299.0
Alyref,1471.0,1138.0,1982.0,1427.0,1350.0,1143.0
Prnd,51.0,113.0,229.0,132.0,179.0,26.0
F5,1999.0,404.0,414.0,14.0,46.0,20.0
Ntng1,145.0,181.0,318.0,379.0,133.0,158.0
Nell2,104.0,21.0,39.0,14.0,33.0,30.0
Msto1,611.0,767.0,1206.0,663.0,733.0,840.0
Nabp2,1925.0,2003.0,2923.0,1559.0,1831.0,1626.0
Suco,6885.0,10340.0,14436.0,10467.0,7532.0,7744.0
Sftpd,2631.0,5451.0,2513.0,2145.0,1489.0,2867.0
Lama3,3014.0,4933.0,6898.0,3159.0,5461.0,4140.0
Lgals3bp,2656.0,3948.0,3908.0,1585.0,1381.0,1262.0
AA467197,0.0,6.0,2.0,1.0,2.0,4.0
Sec24c,7636.0,7479.0,10662.0,6832.0,8264.0,6812.0
Pbx3,875.0,979.0,1307.0,824.0,945.0,1080.0
Pappa2,337.0,544.0,196.0,267.0,665.0,115.0
Scg2,4.0,8.0,6.0,6.0,1.0,2.0
Rab26os,134.0,85.0,202.0,103.0,88.0,114.0
Aqp8,3651.0,1099.0,34.0,42.0,564.0,42.0
Atp5c1,8114.0,8061.0,10971.0,6448.0,8154.0,7843.0
Cuedc2,1763.0,2146.0,3134.0,1854.0,2028.0,2267.0
Oasl1,176.0,305.0,154.0,294.0,178.0,173.0
Cilp,827.0,1119.0,1021.0,929.0,1241.0,357.0
Ddit3,366.0,637.0,783.0,257.0,299.0,525.0
Rps4x,11196.0,13316.0,18871.0,9503.0,11460.0,13317.0
Gna13,3061.0,3008.0,4665.0,2579.0,3614.0,3565.0
Mup6,227.0,60.0,70.0,29.0,181.0,21.0
Ighv9-3,53.0,147.0,0.0,151.0,29.0,0.0
Fgl2,12599.0,23040.0,27071.0,17557.0,12354.0,14982.0
Rpl36-ps12,273.0,374.0,428.0,246.0,250.0,316.0
Ulk3,658.0,830.0,1446.0,718.0,798.0,1003.0
Esr1,19124.0,19956.0,30353.0,12245.0,18348.0,13101.0
Ino80e,729.0,814.0,1253.0,755.0,818.0,920.0
Adm2,13.0,30.0,6.0,2.0,12.0,10.0
Car3,5.0,14.0,31.0,18.0,6.0,37.0
Sv2c,136.0,355.0,487.0,700.0,382.0,227.0
Tmem176a,6220.0,9715.0,12675.0,11322.0,8198.0,11669.0
Akt1s1,3254.0,3935.0,5158.0,2754.0,3211.0,3280.0
Gm10052,812.0,794.0,1077.0,562.0,879.0,773.0
Irf2bp2,2544.0,3809.0,5817.0,3093.0,2893.0,4829.0
Slc15a3,79.0,104.0,128.0,62.0,72.0,46.0
Ccdc25,1014.0,982.0,1394.0,1330.0,1434.0,1561.0
Nlrp6,898.0,821.0,709.0,886.0,1407.0,373.0
Tti1,1234.0,1332.0,2130.0,1170.0,1408.0,1497.0
Gapdhs,47.0,41.0,77.0,33.0,53.0,35.0
Crot,7945.0,8079.0,11688.0,9124.0,6605.0,3811.0
Rpp25l,431.0,598.0,807.0,443.0,462.0,733.0
Arf6,7093.0,6738.0,9642.0,6876.0,6397.0,6789.0
Zfp873,263.0,267.0,322.0,201.0,204.0,292.0
Dnajc1,2800.0,2772.0,4266.0,2573.0,3053.0,2869.0
Golm2,3996.0,4373.0,6081.0,3916.0,5620.0,4246.0
Bc1,230.0,175.0,327.0,48.0,64.0,59.0
Zfp516,4892.0,6261.0,10578.0,6183.0,6907.0,7200.0
Pcdhac2,67.0,23.0,10.0,38.0,43.0,47.0
Bmal1,851.0,784.0,1860.0,827.0,565.0,1062.0
Dph7,449.0,514.0,833.0,337.0,399.0,546.0
Mmp24,2.0,2.0,1.0,6.0,4.0,15.0
Fzd6,8994.0,7527.0,11353.0,5738.0,7433.0,9765.0
Gpr137b-ps,281.0,781.0,757.0,597.0,322.0,533.0
Nr4a2,152.0,169.0,416.0,279.0,343.0,310.0
H2-T9,42.0,78.0,34.0,186.0,173.0,136.0
H2bc21,518.0,773.0,1213.0,533.0,485.0,693.0
Churc1,874.0,936.0,1218.0,1024.0,1075.0,1408.0
Spcs3,3293.0,3540.0,4099.0,3309.0,4166.0,3020.0
Tmco1,2638.0,2720.0,3889.0,2355.0,2560.0,3197.0
Krt8,23621.0,22320.0,30342.0,24675.0,22620.0,23891.0
Krt20,8.0,6.0,8.0,18.0,47.0,49.0
Hsd17b12,2208.0,1639.0,2600.0,2628.0,2760.0,2266.0
Tmem18,1125.0,1028.0,1822.0,1086.0,1163.0,1416.0
Itpkb,2481.0,3684.0,5206.0,2944.0,3201.0,3084.0
Rpl5-ps2,79.0,143.0,116.0,72.0,67.0,106.0
Snora33,21.0,8.0,24.0,3.0,15.0,22.0
Ppp3cc,685.0,865.0,1119.0,590.0,699.0,740.0
Mettl25,219.0,314.0,411.0,283.0,303.0,292.0
Zfp410,1239.0,1293.0,1908.0,1107.0,1129.0,1545.0
Ndufb11,3562.0,3974.0,5632.0,3290.0,3518.0,4326.0
Pmf1,613.0,562.0,877.0,451.0,586.0,535.0
Lif,182.0,81.0,51.0,81.0,99.0,187.0
Unc13b,3055.0,2670.0,3690.0,2442.0,3649.0,2391.0
Nr1d2,4086.0,4752.0,4915.0,2484.0,4930.0,5732.0
Ptdss1,2016.0,2236.0,2934.0,1912.0,2213.0,2424.0
ATP6,1599.0,2680.0,1776.0,1382.0,1367.0,1371.0
R3hcc1,885.0,1015.0,1581.0,738.0,790.0,1151.0
Gapdh,2267.0,2227.0,2442.0,1737.0,2315.0,1328.0
Mmp13,32.0,43.0,45.0,153.0,73.0,45.0
Fpgt,941.0,870.0,1192.0,708.0,921.0,1214.0
Krtcap2,1883.0,2063.0,2622.0,2196.0,2313.0,2050.0
Stt3a,9789.0,10658.0,12206.0,10588.0,13075.0,10828.0
Gm6030,45.0,43.0,61.0,45.0,23.0,45.0
Csnk2b,3424.0,3273.0,4657.0,3017.0,3768.0,3806.0
Uhmk1,1026.0,964.0,1401.0,752.0,1144.0,852.0
Nim1k,80.0,144.0,211.0,110.0,83.0,130.0
Rpl13a,9578.0,10068.0,15948.0,7152.0,8760.0,10677.0
Atp5a1,27817.0,24472.0,35638.0,23617.0,28600.0,25808.0
Mier1,3078.0,3564.0,5651.0,2648.0,3555.0,4056.0
Clspn,112.0,32.0,52.0,56.0,102.0,41.0
Ccl28,1049.0,849.0,2034.0,548.0,625.0,1392.0
Mgat4b,3246.0,3823.0,5374.0,3433.0,3606.0,3846.0
Borcs7,725.0,998.0,1093.0,931.0,840.0,904.0
Tmem179b,820.0,948.0,1227.0,1012.0,1012.0,1009.0
Zfp119b,180.0,231.0,336.0,196.0,129.0,269.0
Mef2a,2470.0,2521.0,4002.0,1836.0,2894.0,2096.0
Ifi47,839.0,1085.0,899.0,564.0,384.0,510.0
