GeneID,IU_0.5preg_n1,IU_0.5preg_n2,IU_0.5preg_n3,IA_0.5preg_n1,IA_0.5preg_n2,IA_0.5preg_n3
Gpat4,2407.0,2367.0,2232.0,2214.0,1972.0,2154.0
Paip1,2065.0,2100.0,1841.0,1595.0,2051.0,1953.0
Spag7,1002.0,1181.0,979.0,1426.0,1646.0,1505.0
Ormdl2,666.0,741.0,691.0,941.0,869.0,1053.0
Npy2r,12.0,14.0,13.0,48.0,83.0,44.0
Ppa2,581.0,741.0,599.0,644.0,896.0,772.0
Cox6b1,2396.0,2578.0,2405.0,2141.0,2498.0,2651.0
Uvrag,1535.0,1907.0,1702.0,1073.0,1349.0,1408.0
Alg12,744.0,643.0,704.0,889.0,733.0,900.0
Bcan,5.0,17.0,11.0,15.0,27.0,8.0
Hivep1,3382.0,3782.0,2984.0,2781.0,3882.0,3891.0
S100a9,147.0,36.0,78.0,17.0,1.0,1.0
Cebpd,3231.0,2600.0,2587.0,1187.0,731.0,808.0
Med23,1137.0,1162.0,966.0,995.0,1450.0,1169.0
Tasor2,1657.0,1746.0,1280.0,1314.0,1659.0,1392.0
Isg15,1613.0,1271.0,831.0,409.0,300.0,171.0
Gm15483,8.0,1.0,8.0,5.0,8.0,6.0
Parl,600.0,620.0,484.0,563.0,738.0,662.0
Fus,3123.0,4198.0,3018.0,3176.0,5309.0,4085.0
Dennd5b,539.0,618.0,495.0,584.0,814.0,594.0
Bclaf3,325.0,374.0,296.0,246.0,379.0,334.0
S100a13,198.0,185.0,166.0,159.0,204.0,170.0
Pebp1,6222.0,7150.0,6502.0,7167.0,8550.0,8633.0
Ppp6r3,3241.0,3383.0,2716.0,3059.0,3858.0,3686.0
Tnip3,356.0,108.0,87.0,27.0,16.0,11.0
Mir5103,2.0,9.0,8.0,10.0,7.0,7.0
Glyr1,4223.0,4496.0,3748.0,4168.0,5290.0,4823.0
Map1s,910.0,991.0,834.0,898.0,1166.0,997.0
Zfp953,219.0,224.0,208.0,190.0,262.0,272.0
Mchr1,91.0,101.0,114.0,68.0,83.0,75.0
Atg4a,277.0,367.0,274.0,329.0,447.0,359.0
Atp10b,2726.0,2293.0,1995.0,2727.0,3520.0,4086.0
Kcne1,27.0,30.0,15.0,3.0,8.0,11.0
Zfp593,175.0,179.0,153.0,156.0,148.0,175.0
Oser1,448.0,450.0,340.0,276.0,389.0,356.0
Gm15464,6.0,4.0,15.0,3.0,4.0,8.0
Slco4c1,41.0,38.0,27.0,74.0,148.0,132.0
Ivl,33.0,40.0,14.0,48.0,46.0,68.0
Med20,711.0,757.0,633.0,553.0,672.0,669.0
Osgin2,520.0,508.0,461.0,564.0,940.0,786.0
Pold4,302.0,312.0,274.0,193.0,249.0,219.0
Sprr1a,358.0,189.0,229.0,198.0,37.0,113.0
Dnajb1,1632.0,1518.0,1419.0,2843.0,1740.0,2828.0
2610206C17Rik,64.0,103.0,82.0,53.0,84.0,70.0
Copg2,1734.0,2144.0,1634.0,2210.0,2941.0,2705.0
Mrps35,524.0,518.0,522.0,448.0,510.0,457.0
0610031O16Rik,13.0,24.0,20.0,15.0,20.0,28.0
Dnajc19-ps,29.0,28.0,23.0,29.0,27.0,40.0
Lin37,410.0,450.0,378.0,484.0,665.0,623.0
Paqr6,122.0,157.0,130.0,88.0,156.0,58.0
Srprb,2764.0,2803.0,2612.0,3478.0,1989.0,2933.0
Pnck,304.0,370.0,207.0,167.0,353.0,192.0
Arhgef18,1762.0,1849.0,1531.0,1649.0,1987.0,1880.0
Rps23rg1,100.0,135.0,121.0,102.0,167.0,124.0
Gm10724,9.0,9.0,7.0,18.0,18.0,5.0
C2cd4d,173.0,293.0,215.0,205.0,246.0,293.0
Zmat5,311.0,330.0,239.0,274.0,451.0,355.0
Per2,294.0,184.0,234.0,561.0,585.0,635.0
Esm1,1061.0,1096.0,841.0,11.0,27.0,22.0
Creld2,7909.0,7194.0,8978.0,14418.0,5198.0,12975.0
Prss29,448.0,274.0,468.0,65.0,72.0,56.0
Myl12a,2257.0,2283.0,1902.0,2128.0,2378.0,2308.0
Syvn1,6330.0,4139.0,5820.0,5528.0,3240.0,5207.0
Acy3,192.0,212.0,175.0,162.0,293.0,205.0
Yjefn3,62.0,68.0,51.0,42.0,64.0,72.0
Glmp,4158.0,4088.0,3691.0,2586.0,3166.0,3106.0
Gm10257,198.0,161.0,183.0,175.0,193.0,178.0
Cd47,2582.0,1947.0,1672.0,1267.0,1638.0,1581.0
Sp2,681.0,674.0,477.0,594.0,823.0,643.0
Nppc,100.0,149.0,133.0,656.0,61.0,202.0
Lsr,1726.0,1752.0,1547.0,1958.0,1866.0,2025.0
Idh3b,3204.0,3564.0,3090.0,2771.0,4063.0,3618.0
Lman1,5203.0,5014.0,4633.0,6561.0,4500.0,5834.0
Adgrb3,2.0,2.0,6.0,0.0,2.0,2.0
Hprt,1197.0,1363.0,1121.0,1363.0,1693.0,1744.0
Tmem150a,373.0,538.0,348.0,295.0,371.0,353.0
4930520O04Rik,26.0,21.0,34.0,25.0,47.0,21.0
Snapc1,766.0,764.0,699.0,660.0,567.0,647.0
Ube2r2,3750.0,3893.0,3132.0,2643.0,3492.0,3251.0
Grcc10,1583.0,1818.0,1649.0,1731.0,2327.0,1961.0
Pccb,2156.0,2613.0,2305.0,2525.0,2960.0,2783.0
Igfbp6,9529.0,9733.0,9238.0,1587.0,2107.0,1606.0
Iscu,1175.0,1442.0,1195.0,1275.0,1492.0,1247.0
Gabarap,3355.0,3238.0,3127.0,2831.0,3167.0,3176.0
Ammecr1l,2518.0,3131.0,4274.0,3294.0,4139.0,7454.0
Gm5297,15.0,13.0,12.0,20.0,15.0,14.0
Slc47a1,15.0,10.0,12.0,16.0,23.0,19.0
Tex2,9832.0,7080.0,6670.0,8289.0,5803.0,7176.0
Lrrc47,958.0,1016.0,885.0,862.0,1108.0,1116.0
Osgepl1,176.0,213.0,167.0,151.0,262.0,196.0
Nudt9,825.0,913.0,683.0,827.0,1057.0,973.0
Ncald,4735.0,5755.0,4742.0,6296.0,7826.0,6937.0
Epn1,3942.0,4196.0,3601.0,3747.0,4657.0,4377.0
Gtf2f1,1170.0,1155.0,972.0,1181.0,1146.0,1187.0
Kcnj16,813.0,536.0,585.0,4.0,1.0,1.0
Dbt,1485.0,1715.0,1459.0,1669.0,1749.0,1979.0
Cxcl2,363.0,335.0,391.0,3.0,1.0,0.0
Aldh6a1,2237.0,2300.0,1988.0,2262.0,3600.0,2476.0
Pitpnm2,1409.0,1541.0,1138.0,1367.0,1783.0,1527.0
Oas3,1190.0,456.0,305.0,68.0,49.0,10.0
Myh6,7.0,9.0,2.0,5.0,7.0,12.0
Rassf4,1491.0,1176.0,1160.0,695.0,875.0,915.0
Cln5,894.0,904.0,778.0,913.0,1048.0,1008.0
Pnlip,4.0,7.0,10.0,7.0,8.0,10.0
Hnrnpdl,2511.0,2858.0,2239.0,1991.0,2669.0,2508.0
Smchd1,2319.0,2600.0,2206.0,2454.0,2746.0,2476.0
Zfp362,1400.0,1536.0,1247.0,1293.0,2031.0,1760.0
Arl8b,1725.0,1557.0,1383.0,1311.0,1617.0,1633.0
Slc39a3,1336.0,1605.0,1218.0,1180.0,1706.0,1498.0
Pkm,29439.0,26346.0,23005.0,20983.0,21391.0,22187.0
Dock7,3862.0,4541.0,3597.0,3726.0,4234.0,4139.0
Ggps1,1047.0,1009.0,903.0,918.0,971.0,1053.0
Glipr2,613.0,584.0,370.0,741.0,993.0,890.0
Adam9,3562.0,3649.0,2900.0,3648.0,4205.0,4241.0
S100pbp,473.0,622.0,455.0,502.0,859.0,693.0
Psmb1,3153.0,3337.0,2912.0,2676.0,3030.0,3279.0
Rbm18,1042.0,1140.0,912.0,822.0,1054.0,949.0
Creld1,1145.0,1097.0,994.0,959.0,790.0,836.0
Snhg14,152.0,180.0,129.0,109.0,173.0,123.0
Traf6,1113.0,1159.0,915.0,877.0,1188.0,1198.0
Cnpy4,535.0,536.0,430.0,467.0,608.0,496.0
Lars2,15284.0,19214.0,15141.0,16898.0,26979.0,18437.0
Ceacam16,18.0,20.0,9.0,3.0,5.0,3.0
Epm2a,78.0,107.0,61.0,87.0,130.0,111.0
Gm12070,168.0,120.0,117.0,72.0,70.0,66.0
Prdx1,9650.0,11435.0,9833.0,10660.0,10956.0,12462.0
Zfp874a,339.0,454.0,324.0,222.0,373.0,290.0
Ero1a,6944.0,3162.0,3715.0,781.0,633.0,750.0
Nosip,1193.0,1233.0,990.0,972.0,1234.0,1034.0
Mir186,24.0,29.0,26.0,5.0,21.0,14.0
Lypd8l,12.0,32.0,22.0,167.0,240.0,217.0
Akr1b7,59.0,173.0,133.0,4.0,5.0,1.0
Cldn22,613.0,1074.0,852.0,892.0,705.0,1104.0
Eif2b1,532.0,485.0,429.0,506.0,552.0,541.0
Mrm1,382.0,445.0,387.0,267.0,352.0,363.0
Actmap,223.0,211.0,183.0,245.0,294.0,239.0
Ifit3b,1071.0,578.0,306.0,134.0,72.0,37.0
Rps6ka3,1123.0,1082.0,837.0,1139.0,1470.0,1319.0
Lypd8,19.0,12.0,18.0,3.0,3.0,7.0
Gm20186,1620.0,1431.0,1318.0,2043.0,2309.0,2251.0
Lmtk2,2883.0,2734.0,2458.0,2587.0,3196.0,3011.0
4930413F20Rik,15.0,37.0,40.0,45.0,42.0,53.0
Slc39a4,6635.0,5000.0,5955.0,3700.0,4023.0,3605.0
A830039N20Rik,57.0,67.0,26.0,26.0,70.0,39.0
Nod2,427.0,230.0,229.0,27.0,21.0,11.0
Pdia6,20493.0,28288.0,22970.0,29637.0,26840.0,34489.0
Ube2e2,560.0,700.0,540.0,817.0,1021.0,884.0
Rint1,1370.0,1163.0,1119.0,1183.0,1015.0,1095.0
Lins1,288.0,338.0,281.0,393.0,463.0,490.0
Tnfsf9,103.0,53.0,64.0,24.0,32.0,33.0
E2f6,596.0,694.0,565.0,627.0,763.0,713.0
Chsy1,525.0,579.0,400.0,395.0,476.0,482.0
Sprn,25.0,25.0,16.0,20.0,26.0,21.0
Samd1,554.0,569.0,475.0,677.0,814.0,768.0
Ankrd22,151.0,113.0,118.0,54.0,105.0,117.0
Trappc2l,502.0,543.0,473.0,432.0,522.0,479.0
Litaf,8320.0,8113.0,7390.0,6139.0,3826.0,5834.0
Zfp758,323.0,283.0,237.0,267.0,369.0,297.0
Gbp3,2368.0,2484.0,1393.0,666.0,1072.0,388.0
Atp6v1g1,1344.0,1723.0,1602.0,1750.0,1734.0,1761.0
Abr,3304.0,3912.0,3275.0,3550.0,5823.0,4475.0
Poldip2,1471.0,1617.0,1367.0,1541.0,1929.0,1799.0
Kbtbd2,1065.0,1081.0,960.0,874.0,1153.0,1052.0
Actn2,15.0,8.0,10.0,17.0,32.0,25.0
C1galt1,1054.0,1003.0,999.0,957.0,810.0,1160.0
Manf,9010.0,9217.0,9606.0,13742.0,6459.0,11538.0
Osmr,2179.0,1611.0,1224.0,966.0,278.0,352.0
Olfml3,1597.0,2739.0,1294.0,5155.0,9846.0,7829.0
Ap5b1,508.0,478.0,443.0,477.0,546.0,560.0
Cmtm3,2220.0,2616.0,2045.0,1050.0,1653.0,1452.0
Sdhaf4,352.0,392.0,347.0,384.0,482.0,454.0
Trim45,399.0,440.0,343.0,320.0,368.0,354.0
Cxxc1,1585.0,1742.0,1555.0,1387.0,1747.0,1615.0
Sephs1,1161.0,1498.0,1063.0,1193.0,1533.0,1455.0
Cenpi,52.0,63.0,31.0,39.0,102.0,57.0
Chchd7,538.0,574.0,527.0,365.0,508.0,481.0
Polr2e,1052.0,1207.0,1110.0,1087.0,1260.0,1291.0
Pals2,514.0,463.0,419.0,341.0,400.0,375.0
Nckap1,5800.0,5863.0,4766.0,5853.0,6754.0,6837.0
Exosc4,514.0,617.0,500.0,587.0,606.0,607.0
Virma,2128.0,2007.0,1645.0,1882.0,2199.0,2031.0
Dnajb9,8134.0,6109.0,6887.0,7828.0,3225.0,5445.0
Muc6,4.0,12.0,7.0,6.0,11.0,6.0
Ap5m1,531.0,586.0,530.0,579.0,615.0,559.0
Abhd13,1193.0,1222.0,1008.0,1145.0,1413.0,1318.0
Phactr2,1347.0,1851.0,1321.0,1071.0,2231.0,1598.0
Higd2a,1217.0,1265.0,1169.0,1129.0,1331.0,1375.0
Prpf19,3162.0,3576.0,2918.0,3473.0,3952.0,4020.0
Upb1,113.0,112.0,80.0,51.0,107.0,70.0
Tcn2,4172.0,4508.0,3642.0,2677.0,3770.0,3306.0
Gm6436,1.0,2.0,1.0,0.0,2.0,1.0
Slc5a5,10.0,15.0,5.0,0.0,10.0,6.0
Pde8a,524.0,478.0,405.0,302.0,345.0,338.0
Dnpep,2032.0,2038.0,1707.0,2118.0,1915.0,2024.0
Ceacam1,3940.0,2886.0,2604.0,3854.0,2873.0,3736.0
Mia2,26.0,10.0,27.0,8.0,9.0,12.0
Nr4a3,303.0,314.0,763.0,132.0,25.0,48.0
Slc5a3,1480.0,1484.0,1051.0,1539.0,1899.0,1870.0
Cxcr2,28.0,13.0,28.0,7.0,2.0,0.0
Dnajc27,344.0,436.0,282.0,335.0,624.0,465.0
Etaa1,431.0,479.0,367.0,362.0,483.0,411.0
Nr1d1,1908.0,2499.0,2289.0,1125.0,2627.0,1426.0
Tmem140,93.0,75.0,68.0,17.0,48.0,25.0
Itprid1,16.0,28.0,7.0,18.0,11.0,17.0
Pdia5,920.0,1323.0,1034.0,1473.0,1697.0,1822.0
Isg20l2,787.0,760.0,671.0,727.0,809.0,830.0
Rhof,213.0,157.0,213.0,41.0,67.0,50.0
Igha,901.0,36.0,546.0,355.0,29.0,256.0
Arg1,4075.0,1613.0,1649.0,594.0,637.0,761.0
Mapk1,5066.0,5048.0,4222.0,4514.0,5624.0,5320.0
Enpp4,1570.0,1502.0,1174.0,1553.0,1869.0,1815.0
Daglb,433.0,429.0,443.0,476.0,506.0,438.0
Phospho1,37.0,34.0,26.0,10.0,10.0,12.0
Sumo2,1012.0,1166.0,975.0,1249.0,1544.0,1431.0
Zfp628,724.0,888.0,654.0,719.0,1038.0,926.0
Wwc1,5536.0,5618.0,4829.0,5742.0,6935.0,5859.0
Fbxl15,169.0,216.0,182.0,189.0,234.0,218.0
Gm8210,48.0,34.0,35.0,34.0,46.0,43.0
Rpl15-ps6,65.0,122.0,61.0,62.0,54.0,45.0
Mrpl43,786.0,903.0,806.0,899.0,1077.0,976.0
Rbp7,64.0,70.0,54.0,65.0,90.0,104.0
Tuba1c,432.0,416.0,438.0,636.0,436.0,688.0
Acsf2,7766.0,12077.0,9184.0,11702.0,16460.0,14902.0
Klf13,3388.0,3946.0,3286.0,2497.0,3650.0,3714.0
Abhd14b,1258.0,1395.0,1259.0,1077.0,1618.0,1287.0
Ndufv2,1574.0,1784.0,1447.0,1863.0,1884.0,2149.0
Rab22a,991.0,1062.0,864.0,952.0,1138.0,1082.0
Zfp654,848.0,900.0,699.0,633.0,778.0,689.0
Cstb,1704.0,1737.0,1564.0,1565.0,1560.0,1739.0
Alox15,16888.0,22435.0,14855.0,20353.0,20523.0,22613.0
Bcl7c,420.0,409.0,411.0,415.0,528.0,481.0
Mief1,1019.0,998.0,830.0,827.0,996.0,941.0
Unc5cl,1197.0,377.0,648.0,1052.0,824.0,918.0
Rnf216,1463.0,1575.0,1189.0,1460.0,1866.0,1636.0
Rpe,1021.0,1105.0,942.0,925.0,1134.0,1204.0
Ap2a1,2281.0,2343.0,1928.0,2515.0,2939.0,2832.0
Smug1,411.0,533.0,396.0,551.0,567.0,600.0
Scn4a,16.0,37.0,25.0,23.0,45.0,22.0
Cyp2t4,26.0,36.0,21.0,21.0,71.0,26.0
Zfp354a,125.0,126.0,97.0,81.0,112.0,99.0
Elmo2,3253.0,4558.0,3978.0,2973.0,3918.0,3916.0
Rassf8,721.0,809.0,623.0,1098.0,907.0,986.0
Stra6,463.0,455.0,343.0,391.0,662.0,436.0
Tcaf1,1767.0,2249.0,1828.0,1263.0,1862.0,1747.0
Zc3h12a,1311.0,893.0,821.0,386.0,205.0,244.0
Zfp119a,191.0,239.0,190.0,109.0,224.0,177.0
Tyw5,219.0,267.0,164.0,177.0,204.0,185.0
Tdrd7,1764.0,1778.0,1429.0,1966.0,1928.0,1910.0
Cd69,39.0,11.0,12.0,9.0,3.0,12.0
Hebp2,996.0,813.0,841.0,421.0,709.0,596.0
Zfp12,766.0,811.0,727.0,725.0,992.0,910.0
Camk2g,1393.0,1619.0,1172.0,1401.0,1819.0,1597.0
Zcchc3,395.0,509.0,453.0,467.0,567.0,502.0
Mpzl3,417.0,443.0,393.0,225.0,156.0,189.0
Adh1,3143.0,4136.0,3952.0,5957.0,13646.0,17195.0
Ccn1,1038.0,1162.0,789.0,985.0,409.0,364.0
Tgoln1,8258.0,8179.0,7081.0,7096.0,7132.0,7699.0
Igtp,1481.0,1773.0,929.0,614.0,652.0,506.0
Stat5a,1125.0,980.0,871.0,1285.0,1159.0,1220.0
Zfp560,356.0,402.0,289.0,243.0,361.0,313.0
Arl6ip1,4257.0,4260.0,3703.0,3720.0,4363.0,4075.0
Spcs2,5811.0,6324.0,5846.0,7226.0,6768.0,7788.0
Xbp1,14761.0,15981.0,12950.0,12851.0,9338.0,10549.0
Rn7sk,141.0,283.0,256.0,119.0,184.0,134.0
Aldh18a1,8699.0,12703.0,11060.0,10982.0,9932.0,13386.0
H3f3c,175.0,219.0,208.0,165.0,256.0,261.0
Krt4,9.0,1.0,3.0,6.0,5.0,10.0
Car9,3323.0,2365.0,1755.0,1084.0,1402.0,1014.0
Gpr143,4.0,8.0,6.0,6.0,16.0,9.0
Gga3,1118.0,1184.0,960.0,843.0,1086.0,946.0
Ilf3,2845.0,2812.0,2388.0,2147.0,3033.0,2755.0
Epha1,2050.0,1732.0,1528.0,1090.0,1092.0,1221.0
Alyref,639.0,610.0,579.0,796.0,765.0,840.0
Prnd,47.0,140.0,32.0,21.0,81.0,38.0
F5,283.0,86.0,103.0,28.0,24.0,29.0
Ntng1,186.0,237.0,183.0,232.0,241.0,412.0
Nell2,13.0,17.0,22.0,9.0,5.0,11.0
Msto1,438.0,506.0,452.0,430.0,468.0,502.0
Nabp2,837.0,850.0,830.0,800.0,988.0,968.0
Suco,7970.0,10582.0,8830.0,11309.0,9239.0,13124.0
Sftpd,7183.0,6399.0,6418.0,1908.0,2144.0,2398.0
Lama3,7182.0,5761.0,5114.0,2949.0,3210.0,3211.0
Lgals3bp,4359.0,4728.0,3714.0,2402.0,3254.0,2004.0
AA467197,156.0,46.0,47.0,6.0,1.0,3.0
Sec24c,5761.0,5752.0,4913.0,6031.0,6180.0,6043.0
Pbx3,438.0,439.0,388.0,419.0,689.0,548.0
Pappa2,333.0,389.0,310.0,120.0,373.0,288.0
Scg2,3.0,3.0,0.0,4.0,3.0,0.0
Rab26os,40.0,54.0,48.0,36.0,39.0,50.0
Aqp8,558.0,212.0,327.0,57.0,53.0,91.0
Atp5c1,4528.0,4691.0,4221.0,3469.0,4435.0,4523.0
Cuedc2,956.0,1143.0,873.0,934.0,1328.0,1209.0
Oasl1,1160.0,595.0,441.0,341.0,289.0,427.0
Cilp,1001.0,569.0,359.0,365.0,454.0,314.0
Ddit3,749.0,577.0,706.0,344.0,302.0,360.0
Rps4x,12986.0,12144.0,11052.0,7077.0,9817.0,9237.0
Gna13,2599.0,2283.0,2054.0,2272.0,2574.0,2868.0
Mup6,57.0,20.0,36.0,43.0,7.0,33.0
Ighv9-3,3.0,2.0,7.0,0.0,0.0,0.0
Fgl2,12108.0,19925.0,15634.0,13973.0,16575.0,16988.0
Rpl36-ps12,102.0,143.0,116.0,52.0,97.0,98.0
Ulk3,643.0,680.0,633.0,457.0,592.0,541.0
Esr1,8515.0,9047.0,7842.0,8553.0,11765.0,10233.0
Ino80e,514.0,533.0,456.0,523.0,600.0,615.0
Adm2,248.0,129.0,155.0,2.0,1.0,3.0
Car3,6.0,18.0,46.0,3.0,5.0,300.0
Sv2c,251.0,546.0,355.0,688.0,887.0,871.0
Tmem176a,7091.0,8998.0,7020.0,8846.0,12256.0,12237.0
Akt1s1,2006.0,2036.0,1911.0,1571.0,2081.0,1836.0
Gm10052,439.0,501.0,409.0,366.0,439.0,394.0
Irf2bp2,3692.0,3406.0,3325.0,2331.0,3257.0,2825.0
Slc15a3,199.0,156.0,151.0,77.0,55.0,109.0
Ccdc25,1091.0,1147.0,967.0,1341.0,1028.0,1182.0
Nlrp6,806.0,693.0,574.0,626.0,685.0,774.0
Tti1,869.0,889.0,731.0,854.0,1077.0,954.0
Gapdhs,55.0,82.0,75.0,43.0,96.0,73.0
Crot,7768.0,9186.0,7707.0,9300.0,8367.0,12396.0
Rpp25l,406.0,416.0,305.0,387.0,447.0,500.0
Arf6,5039.0,5266.0,4444.0,4693.0,5708.0,6079.0
Zfp873,141.0,186.0,140.0,163.0,199.0,202.0
Dnajc1,1627.0,2107.0,1621.0,1794.0,2359.0,2267.0
Golm2,1507.0,2313.0,1895.0,2044.0,2809.0,2707.0
Bc1,39.0,27.0,29.0,16.0,7.0,21.0
Zfp516,4695.0,5439.0,4604.0,4986.0,6323.0,6175.0
Pcdhac2,7.0,23.0,13.0,40.0,32.0,35.0
Bmal1,1013.0,1043.0,816.0,643.0,1076.0,826.0
Dph7,301.0,371.0,309.0,244.0,292.0,346.0
Mmp24,6.0,12.0,10.0,9.0,14.0,6.0
Fzd6,2886.0,3419.0,3172.0,3662.0,4954.0,4085.0
Gpr137b-ps,905.0,1093.0,939.0,565.0,616.0,860.0
Nr4a2,672.0,863.0,1215.0,263.0,217.0,233.0
H2-T9,159.0,210.0,175.0,182.0,317.0,163.0
H2bc21,345.0,371.0,285.0,229.0,397.0,293.0
Churc1,624.0,768.0,602.0,661.0,752.0,762.0
Spcs3,3619.0,3308.0,3033.0,3884.0,2488.0,3240.0
Tmco1,1509.0,1728.0,1447.0,1387.0,1818.0,1804.0
Krt8,26335.0,20872.0,21528.0,21878.0,19114.0,25258.0
Krt20,137.0,65.0,79.0,48.0,38.0,44.0
Hsd17b12,1403.0,1546.0,1316.0,1814.0,1920.0,2165.0
Tmem18,654.0,728.0,565.0,665.0,759.0,766.0
Itpkb,2562.0,3598.0,2900.0,2270.0,2896.0,2997.0
Rpl5-ps2,41.0,30.0,17.0,20.0,32.0,20.0
Snora33,3.0,1.0,5.0,1.0,5.0,3.0
Ppp3cc,380.0,468.0,360.0,372.0,532.0,431.0
Mettl25,148.0,162.0,123.0,143.0,168.0,165.0
Zfp410,855.0,882.0,822.0,779.0,994.0,874.0
Ndufb11,2025.0,2224.0,2106.0,1702.0,2165.0,1991.0
Pmf1,289.0,360.0,268.0,227.0,390.0,302.0
Lif,660.0,448.0,493.0,71.0,85.0,91.0
Unc13b,2149.0,2215.0,1945.0,2561.0,2598.0,2694.0
Nr1d2,1662.0,1966.0,1933.0,871.0,1506.0,1216.0
Ptdss1,1715.0,1733.0,1413.0,1560.0,1785.0,1812.0
ATP6,437.0,478.0,361.0,280.0,374.0,571.0
R3hcc1,478.0,599.0,448.0,343.0,549.0,430.0
Gapdh,4492.0,3891.0,3430.0,2158.0,1958.0,2162.0
Mmp13,44.0,98.0,70.0,186.0,143.0,286.0
Fpgt,772.0,676.0,673.0,573.0,724.0,698.0
Krtcap2,1343.0,1747.0,1519.0,1611.0,1579.0,1797.0
Stt3a,8875.0,9054.0,8022.0,10176.0,9718.0,11016.0
Gm6030,15.0,12.0,12.0,14.0,16.0,16.0
Csnk2b,1981.0,2074.0,1753.0,2057.0,2025.0,2008.0
Uhmk1,774.0,782.0,768.0,833.0,922.0,983.0
Nim1k,39.0,64.0,56.0,47.0,60.0,51.0
Rpl13a,13049.0,14010.0,13392.0,7237.0,9426.0,9629.0
Atp5a1,14807.0,14711.0,12989.0,15603.0,18313.0,18601.0
Mier1,2785.0,2774.0,2243.0,1903.0,2586.0,2333.0
Clspn,33.0,33.0,26.0,28.0,124.0,62.0
Ccl28,2079.0,1741.0,1467.0,1171.0,896.0,1386.0
Mgat4b,2644.0,2369.0,2063.0,1828.0,2314.0,2319.0
Borcs7,387.0,491.0,409.0,471.0,620.0,548.0
Tmem179b,649.0,662.0,636.0,642.0,684.0,786.0
Zfp119b,130.0,190.0,151.0,136.0,187.0,159.0
Mef2a,1416.0,1590.0,1158.0,1277.0,1478.0,1441.0
Ifi47,1568.0,1479.0,902.0,641.0,531.0,470.0
Gstm3,2.0,8.0,4.0,4.0,13.0,3.0
Rab32,1466.0,1408.0,1194.0,1328.0,1204.0,1603.0
Zfp319,912.0,988.0,843.0,891.0,1229.0,1095.0
Nrbp2,4507.0,5769.0,4406.0,3539.0,5373.0,4593.0
Cdc42se2,7118.0,8713.0,7837.0,9289.0,8823.0,10742.0
Emd,3046.0,2493.0,2587.0,1634.0,1570.0,1723.0
Kdm4c,1149.0,1315.0,1090.0,1165.0,1593.0,1307.0
5930430L01Rik,54.0,102.0,70.0,78.0,180.0,83.0
Pdha1,4964.0,5059.0,4710.0,4285.0,5829.0,5348.0
