Mettl15	Q9DCL4
Mettl16	Q9CQG2
Mettl17	Q3U2U7
Mettl18	Q9CZ09
Mettl22	Q8R1C6
Mettl23	A2AA28
Mettl24	Q8CCB5
Mettl25	Q6NXH8
Mtr	A6H5Y3
Mat1a	Q91X83
Mat2a	Q3THS6
Mettl2	Q8BMK1
Mettl4	Q3U034
Mettl5	Q8K1A0
Mettl6	Q8BVH9
Mettl8	A2AUU0
Mettl9	Q9EPL4
Metrnl	Q8VE43
Metrn	Q8C1Q4
Met	P16056
Mex3b	Q69Z36
Mex3c	Q05A36
Mex3d	Q3UE17
Mfsd13a	Q6PDE8
Mfsd14a	P70187
Mfsd14b	Q8CIA9
Mfsd4b1	Q8VCV9
Mfap1a	C0HKD8
Mfap1b	C0HKD9
Mfap3l	Q9D3X9
Mfap2	P55002
Mfap3	Q922T2
Mfap4	Q9D1H9
Mfap5	Q9QZJ6
Mfsd4a	Q6PDC8
Mff	Q6PCP5
Mfge8	P21956
Mfhas1	Q3V1N1
Mfi	Q9D4W2
Mfn1	Q811U4
Mfn2	Q80U63
Mfng	O09008
Mtfr1l	Q9CWE0
Slc25a37	Q920G8
Slc25a28	Q8R0Z5
Mfrp	Q8K480
Mfsd10	Q9D2V8
Mfsd11	Q8BJ51
Mfsd12	Q3U481
Mfsd2b	Q3T9M1
Mfsd6l	Q8R3N2
Mfsd1	Q9DC37
Mfsd3	Q5U419
Mfsd5	Q921Y4
Mfsd6	Q8CBH5
Mfsd8	Q8BH31
Mfsd9	Q8C0T7
Slc25a32	Q8BMG8
Mga	A2AWL7
Mgat1	P27808
Mgat2	Q921V5
Mgat3	Q10470
Mdp1	Q9D967
Mgll	O35678
Gpr158	Q8C419
Mgme1	Q9CXC3
Mgmt	P26187
Magohb	Q9CQL1
Magoh	P61327
Mgp	P19788
Mgrn1	Q9D074
Mgst1	Q91VS7
Mgst2	A2RST1
Mgst3	Q9CPU4
Mgat4a	Q812G0
Mgat4b	Q812F8
Mgat4c	Q9D306
Mgat4d	Q9D4R2
Mgat4e	A6H684
Mgat5	Q8R4G6
Mgat5b	Q765H6
Mif4gd	Q3UBZ5
Mia2	Q91ZV0
Chchd4	Q8VEA4
Mia	Q61865
Mib1	Q80SY4
Mib2	Q8R516
Micos10	Q7TNS2
Micos13	Q8R404
Chchd3	Q9CRB9
Chchd6	Q91VN4
Apoo	Q9DCZ4
Apool	Q78IK4
Immt	Q8CAQ8
Mical1	Q8VDP3
Mical2	Q8BML1
Mical3	Q8CJ19
Micu1	Q8VCX5
Micu2	Q8CD10
Micu3	Q9CTY5
Mief2	Q5NCS9
Mief1	Q8BGV8
Midn	Q3TPJ7
Spata18	Q0P557
Mien1	Q9CQ86
Mier1	Q5UAK0
Mier2	Q3U3N0
Mier3	Q3UHF3
Mif	P34884
Miga1	Q4QQM5
Miga2	Q8BK03
Miip	A2A7Y5
Micall1	Q8BGT6
Micall2	Q3TN34
Mill1	Q8HWE7
Mill2	Q8HWE5
Milr1	Q3TB92
Ogn	Q62000
Mink1	Q9JM52
Minpp1	Q9Z2L6
Spen	Q62504
Mindy1	Q76LS9
Mindy2	Q6PDI6
Mindy3	Q9CV28
Mindy4	Q3UQI9
Miox	Q9QXN5
Mios	Q8VE19
Mipep	A6H611
Mipol1	Q9D9F8
Traf3ip1	Q149C2
Mip	P51180
Rhot1	Q8BG51
Rhot2	Q8JZN7
Mis12	Q9CY25
Misfa	Q8C5Y2
Misp	Q9D279
Mapk1ip1l	Q8BH93
Mapk1ip1	Q9D7G9
Amh	P27106
Mitd1	Q8VDV8
Mitf	Q08874
Ccdc51	Q3URS9
Abcb8	Q9CXJ4
Mix23	Q8R3Q6
Mixl1	Q9WUI0
Mapk1	P63085
Mapk3	Q63844
Mapk4	Q6P5G0
Mapk6	Q61532
Mapk7	Q9WVS8
Mapk8	Q91Y86
Mapk9	Q9WTU6
Mapk10	Q61831
Mapk11	Q9WUI1
Mapk12	O08911
Mapk13	Q9Z1B7
Mapk14	P47811
Mapk15	Q80Y86
Nifk	Q91VE6
Mkks	Q9JI70
Mkln1	O89050
Mknk1	O08605
Mknk2	Q8CDB0
Mkrn1	Q9QXP6
Mkrn2	Q9ERV1
Mkrn3	Q60764
Mks1	Q5SW45
Tmem67	Q8BR76
Mkx	Q8BIA3
Mdk	P12025
Myl12b	Q3THE2
Mlc1	Q8VHK5
Mlec	Q6ZQI3
Mlf1	Q9QWV4
Mlf2	Q99KX1
Mlh1	Q9JK91
Mlip	Q5FW52
Mlkl	Q9D2Y4
Mrln	Q9CV60
Map1lc3a	Q91VR7
Map1lc3b	Q9CQV6
Myl7	Q9QVP4
Myl2	P51667
Mlxip	Q2VPU4
Mlxipl	Q99MZ3
Mlx	O08609
Mmaa	Q8C7H1
Mmab	Q9D273
Mmachc	Q9CZD0
Mmadhc	Q99LS1
Mmel1	Q9JLI3
Mmgt2	Q8R3L0
Mmp10	O55123
Mmp11	Q02853
Mmp12	P34960
Mmp13	P33435
Mmp14	P53690
Mmp15	O54732
Mmp16	Q9WTR0
Mmp17	Q9R0S3
Mmp19	Q9JHI0
Mmp1a	Q9EPL5
Mmp1b	Q9EPL6
Mmp20	P57748
Mmp21	Q8K3F2
Mmp23	O88676
Mmp24	Q9R0S2
Mmp25	Q3U435
Mmp2	P33434
Mmp3	P28862
Mmp7	Q10738
Mmp8	O70138
Mmp9	P41245
Mmrn1	B2RPV6
Mmrn2	A6H6E2
Mms19	Q9D071
Mms22l	B1AUR6
Aldh6a1	Q9EQ20
Mmtag2	Q99LX5
Mn1	D3YWE6
Minar1	Q8K3V7
Minar2	Q8C4X7
Mnd1	Q8K396
Mndal	D0QMC3
Mns1	Q61884
Rbm10	Q99KG3
Mnt	O08789
Mnx1	Q9QZW9
Cd200r1	Q9ES57
Cd200r1l	Q6XJV6
Cd200r3	Q5UKY4
Cd200r4	Q6XJV4
Cd200r5	Q8BTP3
Morf4l1	P60762
Morf4l2	Q9R0Q4
Moap1	Q9ERH6
Mob1a	Q921Y0
Mob1b	Q8BPB0
Mob2	Q8VI63
Mob3a	Q8BSU7
Mob3b	Q8VE04
Mob3c	Q8BJG4
Mobp	Q9D2P8
Mocs2	Q9Z223
Mocos	Q14CH1
Mocs1	Q5RKZ7
Mocs3	A2BDX3
Trit1	Q80UN9
Msn	P26041
Mrfap1	Q9CQL7
Rangrf	Q9JIB0
Mogs	Q80UM7
Mogat1	Q91ZV4
Mogat2	Q80W94
Mog	Q61885
Mok	Q9WVS4
Mon1a	Q6PDG8
Mon1b	Q8BMQ8
Mon2	Q80TL7
Kiaa0753	Q6A000
Morc2a	Q69ZX6
Morc2b	Q8C5W4
Morc1	Q9WVL5
Morc3	F7BJB9
Morc4	Q8BMD7
Morn2	Q6UL01
Morn3	Q8C5T4
Morn4	Q6PGF2
Morn5	Q9DAI9
Mosmo	Q8C784
Mos	P00536
Slc16a10	Q3U9N9
Slc16a11	Q5NC32
Slc16a12	Q8BGC3
Slc16a13	Q8CE94
Slc16a14	Q8K1C7
Slc16a1	P53986
Slc16a7	O70451
Slc16a8	O35308
Slc16a3	P57787
Slc16a4	Q8R0M8
Slc16a5	G5E8K6
Slc16a6	B1AT66
Slc16a2	O70324
Slc16a9	Q7TM99
Mov10	P23249
Moxd1	Q9CXI3
Moxd2	Q7TT41
Mpv17l	Q99MS3
Map2k1	P31938
Map2k2	Q63932
Map2k3	O09110
Map2k4	P47809
Map2k5	Q9WVS7
Map2k6	P70236
Map2k7	Q8CE90
Mpc1	P63030
Mpc2	Q9D023
Mpdz	Q8VBX6
Mpeg1	A1L314
Mphosph6	Q9D1Q1
Cdc25a	P48964
Cdc25b	P30306
Cdc25c	P48967
Mpi	Q924M7
Mplkip	Q9D011
Mpnd	Q3TV65
Mphosph10	Q810V0
Mpp2	Q9WV34
Mpp3	O88910
Mpp4	Q6P7F1
Mpp7	Q8BVD5
Mphosph8	Q3TYA6
Mphosph9	A6H5Y1
Pmpca	Q9DC61
Pmpcb	Q9CXT8
Mpped1	Q91ZG2
Mpped2	Q9CZJ0
Mppe1	Q80XL7
M6pr	P24668
Mprip	P97434
Igf2r	Q07113
Mptx1	Q8R1M8
Mpdu1	Q9R0Q9
Mpv17	P19258
Mpzl1	Q3TEW6
Mpzl2	O70255
Mpzl3	Q3V3F6
Mrap2	D3Z1Q2
Mrap	Q9D159
Mrc1	Q61830
Mrc2	Q64449
Cdc42bpa	Q3UU96
Cdc42bpb	Q7TT50
Cdc42bpg	Q80UW5
Mre11	Q61216
Mreg	Q6NVG5
Mtres1	Q9CQF4
Myrfl	Q3UN70
Mrgpra1	Q91WW5
Mrgpra2	Q91WW4
Mrgpra3	Q91WW3
Mrgpra4	Q91WW2
Mrgpra5	Q91ZC7
Mrgpra6	Q91ZC6
Mrgpra7	Q91ZC5
Mrgpra8	Q91ZC4
Mrgprb1	Q3UG61
Mrgprb2	Q3KNA1
Mrgprb3	Q91ZC1
Mrgprb4	Q91ZC0
Mrgprb5	Q91ZB9
Mrgprb8	Q7TN51
Mrgbp	Q9DAT2
Mrgprd	Q91ZB8
Mrgpre	Q91ZB7
Mrgprf	Q8VCJ6
Mrgprg	Q91ZB5
Mrgprh	Q99MT8
Mrgprx1	Q8CIP3
Mrgprx2	Q3UG50
Mrm1	Q99J25
Mrm2	Q9CPY0
Mrm3	Q5ND52
Mrnip	Q9D1F5
Mroh2a	D3Z750
Mroh2b	Q7M6Y6
Mroh7	A2AVR2
Abcc1	O35379
Abcc2	Q8VI47
Abcc3	B2RX12
Abcc4	E9Q236
Abcc5	Q9R1X5
Abcc6	Q9R1S7
Abcc10	Q8R4P9
Abcc12	Q80WJ6
Prorp	Q8JZY4
Marcksl1	P28667
Mrs2	Q5NCE8
Mrto4	Q9D0I8
Mrtfa	Q8K4J6
Mrtfb	P59759
Mis18a	Q9CZJ6
Oip5	A2AQ14
Msl3	Q9WVG9
Ms4a3	Q920C4
Msantd1	Q8BIL2
Msantd2	Q6NZR2
Msantd3	Q9CR78
Msantd4	Q91YU3
Msgn1	Q9JK54
Msh2	P43247
Msh3	P13705
Msh4	Q99MT2
Msh5	Q9QUM7
Msh6	P54276
Mc1r	Q01727
Msi1	Q61474
Msi2	Q920Q6
Msl1	Q6PDM1
Msl2	Q69ZF8
Mslnl	Q8C160
Msln	Q61468
Msmb	O08540
Msmo1	Q9CRA4
Msmp	B1AWI6
Mospd1	Q8VEL0
Mospd2	Q9CWP6
Mospd3	Q8BGG6
Msra	Q9D6Y7
Msrb1	Q9JLC3
Msrb2	Q78J03
Msrb3	Q8BU85
Msr1	P30204
Rabif	Q91X96
Mss51	Q9D5Z5
Mustn1	Q99JI1
Msto1	Q2YDW2
Mro	Q7TNB4
Msx1	P13297
Msx2	Q03358
Msx3	P70354
Mt1	P02802
Mettl21A	Q9CQL0
Mettl21c	Q8BLU2
Vcpkmt	Q8C436
Mettl21e	Q8CDZ2
Mettl25b	Q8BZG5
Mt2	P02798
Mt3	P28184
Mt4	P47945
Mta1	Q8K4B0
Mta2	Q9R190
Mta3	Q924K8
Mettl3	Q8C3P7
Map2	P20357
Mtap	Q9CQ65
Mtbp	Q8BJS8
Mtch1	Q791T5
Mtch2	Q791V5
Mtcl1	Q3UHU5
Mtcp1	Q60945
Mthfd2l	D3YZG8
Mthfd2	P18155
Mterf2	Q8BKY8
Mterf3	Q8R3J4
Mterf4	Q8BVN4
Mterf1a	Q8CHZ9
Mterf1b	B9EJ57
Mtf1	Q07243
Mtf2	Q02395
Mtfp1	Q9CRB8
Mtfr1	Q99MB2
Mtfr2	Q8VED8
Cbfa2t3	O54972
Mtg1	Q8R2R6
Cbfa2t2	O70374
Runx1t1	Q61909
Mthfs	Q9D110
Mthfr	Q9WU20
Mthfsd	Q3URQ7
Mettl26	Q9DCS2
Tesmin	Q9WTJ6
Mtln	Q8BT35
Mtm1	Q9Z2C5
Mtmr1	Q9Z2C4
Mtmr2	Q9Z2D1
Mtmr3	Q8K296
Mtmr4	Q91XS1
Sbf1	Q6ZPE2
Mtmr6	Q8VE11
Mtmr7	Q9Z2C9
Mtmr9	Q9Z2D0
Mtmr10	Q7TPM9
Mtmr11	Q3V1L6
Mtmr12	Q80TA6
Sbf2	E9PXF8
Mtmr14	Q8VEL2
Mri1	Q9CQT1
Apip	Q9WVQ5
Adi1	Q99JT9
Mto1	Q923Z3
Mtor	Q9JLN9
Mtpn	P62774
Mttp	O08601
Mtnr1a	Q61184
Mtnr1b	Q8CIQ6
Gpr50	O88495
Mtrex	Q9CZU3
Mtrfr	Q80VP5
Mtrr	Q8C1A3
Mtss1	Q8R1S4
Mtss2	Q6P9S0
Trmu	Q9DAT5
Mturn	Q8CGA4
Mtus1	Q5HZI1
Mtus2	Q3UHD3
Mtx1	P47802
Mtx2	O88441
Muc13	P19467
Muc15	Q8C6Z1
Mcam	Q8R2Y2
Muc19	Q6JHY2
Muc1	Q02496
Muc20	Q8BUE7
Cd164	Q9R0L9
Muc2	Q80Z19
Muc4	Q8JZM8
Muc6	Q80T03
Emcn	Q9R0H2
Mucl2	P02815
Mucl3	Q3TNW5
Mug1	P28665
Mug2	P28666
Mul1	Q8VCM5
Mup11	P04938
Mup17	B5X0G2
Mup18	A2BIM8
Mup1	P11588
Mup20	Q5FW60
Mup2	P11589
Mup3	P04939
Mup4	P11590
Mup5	P11591
Mup6	P02762
Mus81	Q91ZJ0
Msc	O88940
Musk	Q61006
Mmut	P16332
Mutyh	Q99P21
Mvd	Q99JF5
Mvp	Q9EQK5
Mx1	Q3UD61
Mx2	Q9WVP9
Mxi1	P50540
Mxra7	Q9CZH7
Mxra8	Q9DBV4
Myo18a	Q9JMH9
Myadm	O35682
Mybl1	P51960
Mybl2	P48972
Mybph	P70402
Mycbpap	Q5SUV2
Myb	P06876
Mycbp2	Q7TPH6
Mycbp	Q9EQS3
Mycb	Q6P8Z1
Myocd	Q8VIM5
Mycl	P10166
Mycn	P03966
Myocos	Q3UWS6
Mycs	Q9Z304
Myct1	Q8R411
Slc2a13	Q3UHK1
Myc	P01108
Myd88	P22366
Mydgf	Q9CPT4
Myef2	Q8C854
Myf5	P24699
Myf6	P15375
Myg1	Q9JK81
Mb	P04247
Myh10	Q61879
Myh11	O08638
Myh14	Q6URW6
Myh1	Q5SX40
Myh3	P13541
Myh4	Q5SX39
Myh6	Q02566
Myh7b	A2AQP0
Myh7	Q91Z83
Myh8	P13542
Myh9	Q8VDD5
Myl10	Q62082
Myl11	P97457
Myl1	P05977
Myl3	P09542
Myl4	P09541
Myl6b	Q8CI43
Myl6	Q60605
Myl9	Q9CQ19
Mylip	Q8BM54
Mylk2	Q8VCR8
Mylk3	Q3UIZ8
Mylk4	Q5SUV5
Mylk	Q6PDN3
Mymk	Q9D1N4
Mymx	Q2Q5T5
Mynn	Q99MD8
Myo10	F8VQB6
Myo15a	Q9QZZ4
Myo16	Q5DU14
Myo19	Q5SV80
Myo1a	O88329
Myo1b	P46735
Myo1c	Q9WTI7
Myo1d	Q5SYD0
Myo1e	E9Q634
Myo1f	P70248
Myo1g	Q5SUA5
Myo1h	Q9D6A1
Myo3a	Q8K3H5
Myo3b	Q1EG27
Myo5a	Q99104
Myo5b	P21271
Myo6	Q64331
Myo7a	P97479
Myo7b	Q99MZ6
Myo9a	Q8C170
Myo9b	Q9QY06
Myoc	O70624
Myod1	P10085
Myof	Q69ZN7
Myog	P12979
Myom1	Q62234
Myom3	A2ABU4
Pde4dip	Q80YT7
Myorg	Q69ZQ1
Myot	Q9JIF9
Myoz1	Q9JK37
Myoz2	Q9JJW5
Myoz3	Q8R4E4
Mpz	P27573
Pmp2	P24526
Mybpc2	Q5XKE0
Mybpc3	O70468
Mypn	Q5DTJ9
Mypop	Q8R4U1
Plp1	P60202
Ppp1r12a	Q9DBR7
Ppp1r12b	Q8BG95
Myrf	Q3UR85
Myrip	Q8K3I4
Mysm1	Q69Z66
Myt1l	P97500
Myt1	Q8CFC2
Myzap	Q3UIJ9
Mzb1	Q9D8I1
Mzt1	Q8BUR9
Mzt2	Q9CQ25
N4bp2l1	Q3V2Q8
N4bp2l2	Q8JZS6
N4bp1	Q6A037
N4bp3	Q8C7U1
N6amt1	Q6SKR2
Naa10	Q9QY36
Naa11	Q3UX61
Naa15	Q80UM3
Naa16	Q9DBB4
Naa20	P61600
Naa25	Q8BWZ3
Naa30	Q8CES0
Naa35	Q6PHQ8
Naa40	Q8VE10
Naa50	Q6PGB6
Naa60	Q9DBU2
Naa80	Q9R123
Naaa	Q9D7V9
Nab1	Q61122
Nab2	Q61127
Slc8a1	P70414
Slc8a2	Q8K596
Slc8a3	S4R2P9
Nacad	Q5SWP3
Naca	Q60817
Nacc1	Q7TSZ8
Nacc2	Q9DCM7
Tmem35a	Q9D328
Qprt	Q91X91
Nadsyn1	Q711T7
Nadk	P58058
Naf1	Q3UMQ8
Naga	Q9QWR8
Amdhd2	Q8JZV7
Nagk	Q9QZ08
Nagpa	Q8BJ48
Nags	Q8R4H7
Naif1	Q6PFD7
Nadk2	Q8C5H8
Nlrp10	Q8CCN1
Nlrp12	E9Q5R7
Nlrp14	Q6B966
Nlrp4a	Q8BU40
Nlrp4b	Q8C6J9
Nlrp4c	Q3TKR3
Nlrp4e	Q66X19
Nlrp4f	Q66X05
Nalcn	Q8BXR5
Naalad2	Q9CZR2
Naaladl1	Q7M758
Nalf1	Q8CCS2
Nalf2	A2BDP1
Nlrp5	Q9R1M5
Nampt	Q99KQ4
Nanos1	Q80WY3
Nanos2	P60322
Nanos3	P60324
Nanog	Q80Z64
Nanp	Q9CPT3
Napepld	Q8BH82
Napsa	O09043
Art1	Q60935
Art2a	P17981
Art2b	O35975
Art3	Q8R2G4
Art4	Q9CRA0
Art5	P70352
Narf	Q9CYQ7
Nasp	Q99MD9
Nat10	Q8K224
Nat14	Q8BVG8
Nat8b-ps	E0CYC6
Nat8l	Q3UGX3
Nat8	Q9JIY7
Nat9	Q3UG98
Natd1	Q9DBW3
Nav1	Q8CH77
Nav3	Q80TN7
Cyb5r1	Q9DB73
Cyb5r2	Q3KNK3
Cyb5r3	Q9DCN2
Cyb5r4	Q3TDX8
Cyb5rl	B1AS42
Nbea	Q9EPN1
Nbeal2	Q6ZQA0
Nbl1	Q61477
Nbn	Q9R207
Nbr1	P97432
Drap1	Q9D6N5
Dr1	Q91WV0
Ncald	Q91X97
Ncam1	P13595
Ncam2	O35136
Ncan	P55066
Ncbp1	Q3UYV9
Ncbp2	Q9CQ49
Ncbp3	Q8BZR9
Ncdn	Q9Z0E0
Nceh1	Q8BLF1
Ncf1	Q09014
Ncf2	O70145
Ncf4	P97369
Chl1	P70232
Nck1	Q99M51
Nck2	O55033
Nckap5l	Q6GQX2
Nckap1	P28660
Nckap1l	Q8K1X4
Slc24a1	Q91WD8
Slc24a2	Q8BUN9
Slc24a3	Q99PD7
Slc24a4	Q8CGQ8
Slc24a5	Q8C261
Ncln	Q8VCM8
Slc8b1	Q925Q3
Ncmap	Q99JS0
Ncoa1	P70365
Ncoa2	Q61026
Ncoa3	O09000
Ncoa5	Q91W39
Ncoa6	Q9JL19
Ncoa7	Q6DFV7
Ncor1	Q60974
Ncor2	Q9WU42
Por	P37040
Ncs1	Q8BNY6
Ncr1	Q8C567
Ndc1	Q8VCB1
Ndc80	Q9D0F1
Nde1	Q9CZA6
Ndel1	Q9ERR1
Neurod1	Q60867
Neurod2	Q62414
Neurod4	O09105
Neurod6	P48986
Nme3	Q9WV85
Nme5	Q99MH5
Nme6	O88425
Nme7	Q9QXL8
Nme1	P15532
Nme2	Q01768
Nme4	Q9WV84
Ndnf	Q8C119
Ndor1	A2AI05
Ndp	P48744
Ndrg1	Q62433
Ndrg2	Q9QYG0
Ndrg3	Q9QYF9
Ndrg4	Q8BTG7
Ndst1	Q3UHN9
Ndst2	P52850
Ndst3	Q9EQH7
Ndst4	Q9EQW8
Ndufa1	O35683
Ndufa2	Q9CQ75
Ndufa3	Q9CQ91
Ndufa4	Q62425
Ndufa5	Q9CPP6
Ndufa6	Q9CQZ5
Ndufa7	Q9Z1P6
Ndufa8	Q9DCJ5
Ndufa9	Q9DC69
Ndufa10	Q99LC3
Ndufa11	Q9D8B4
Ndufa12	Q7TMF3
Ndufa13	Q9ERS2
Ndufb1	P0DN34
Ndufb2	Q9CPU2
Ndufb3	Q9CQZ6
Ndufb4	Q9CQC7
Ndufb5	Q9CQH3
Ndufb6	Q3UIU2
Ndufb7	Q9CR61
Ndufb8	Q9D6J5
Ndufb9	Q9CQJ8
Ndufb10	Q9DCS9
Ndufb11	O09111
Ndufc1	Q9CQY9
Ndufc2	Q9CQ54
Ndufaf2	Q59J78
Ndufaf3	Q9JKL4
Ndufaf4	Q9D1H6
Ndufaf5	A2APY7
Ndufaf6	A2AIL4
Ndufaf7	Q9CWG8
Ndufaf8	A2AMZ4
Ndufs1	Q91VD9
Ndufs2	Q91WD5
Ndufs3	Q9DCT2
Ndufs4	Q9CXZ1
Ndufs5	Q99LY9
Ndufs6	P52503
Ndufs7	Q9DC70
Ndufs8	Q8K3J1
Ndufv1	Q91YT0
Ndufv2	Q9D6J6
Ndufv3	Q8BK30
Ppp1r9b	Q6R891
Pcsk1	P63239
Pcsk2	P21661
Necab1	Q8BG18
Necab2	Q91ZP9
Necab3	Q9D6J4
Ndn	P25233
Necap1	Q9CR95
Necap2	Q9D1J1
Nectin1	Q9JKF6
Nectin2	P32507
Nectin3	Q9JLB9
Nectin4	Q8R007
Nedd4l	Q8CFI0
Nedd1	P33215
Nedd4	P46935
Nedd8	P29595
Negr1	Q80Z24
Neil1	Q8K4Q6
Neil2	Q6R2P8
Neil3	Q8K203
Nek10	Q3UGM2
Nek11	Q8C0Q4
Nek1	P51954
Nek2	O35942
Nek3	Q9R0A5
Nek4	Q9Z1J2
Nek5	Q7TSC3
Nek6	Q9ES70
Nek7	Q9ES74
Nek8	Q91ZR4
Nek9	Q8K1R7
Nelfa	Q8BG30
Nelfb	Q8C4Y3
Nelfcd	Q922L6
Nelfe	P19426
Nell1	Q2VWQ2
Nell2	Q61220
Nemf	Q8CCP0
Ikbkg	O88522
Nemp1	Q6ZQE4
Nemp2	Q8CB65
Nenf	Q9CQ45
Neo1	P97798
Emg1	O35130
Nepn	Q9CQ76
Cnep1r1	Q3UJ81
Nepro	Q8R2U2
Mme	Q61391
Nes	Q6P5H2
Ntn1	O09118
Ntn3	Q9R1A3
Ntn4	Q9JI33
Ntn5	Q3UQ22
Neto1	Q8R4I7
Neto2	Q8BNJ6
Prss12	O08762
Neurl1b	Q0MW30
Oxt	P35454
Avp	P35455
Cmas	Q99KK2
Cyb5d2	Q5SSH8
Nrgn	P60761
Neurl1	Q923S6
Neurl2	Q9D0S4
Neurl3	Q8CJC5
Neurl4	Q5NCX5
Nln	Q91YP2
Gap43	P06837
Neu1	O35657
Neu2	Q9JMH3
Neu3	Q9JMH7
Neu4	Q8BZL1
Serpini1	O35684
Nts	Q9D3P9
Nexmif	Q5DTT1
Nexn	Q7TPW1
Nf1	Q04690
Nfatc2ip	O09130
Nfe2l1	Q61985
Nfe2l2	Q60795
Nfe2l3	Q9WTM4
Nfatc1	O88942
Nfatc2	Q60591
Nfatc3	P97305
Nfatc4	Q8K120
Nfam1	Q8R4V1
Nfasc	Q810U3
Nfat5	Q9WV30
Nfe2	Q07279
Nefh	P19246
Nfia	Q02780
Nfib	P97863
Nfic	P70255
Nfil3	O08750
Ndfip1	Q8R0W6
Ndfip2	Q91ZP6
Nfix	P70257
Nfkb1	P25799
Nfkb2	Q9WTK5
Nefl	P08551
Nefm	P08553
Nfrkb	Q6PIJ4
Nfs1	Q9Z1J3
Nfu1	Q9QZ23
Nfx1	B1AY10
Nfya	P23708
Nfyb	P63139
Nfyc	P70353
Lcn2	P11672
Nus1	Q99LJ8
Ngb	Q9ER97
Ngdn	Q9DB96
Ngef	Q8CHT1
Ngf	P01139
Ngly1	Q9JI78
Neurog1	P70660
Neurog2	P70447
Neurog3	P70661
Ngp	O08692
Ngrn	Q99KS2
Snu13	Q9D0T1
Nhej1	Q3KNJ2
Nhlrc1	Q8BR37
Nhlrc2	Q8BZW8
Nhlrc3	Q8CCH2
Nhlrc4	Q3UP44
Nhp2	Q9CRB2
Nherf1	P70441
Nherf2	Q9JHL1
Pdzk1	Q9JIL4
Nherf4	Q99MJ6
Nhsl1	Q8CAF4
Nhsl2	B1AXH1
Niban1	Q3UW53
Niban2	Q8R1F1
Ncstn	P57716
Nicn1	Q9CQM0
Nid1	P10493
Nid2	O88322
Nif3l1	Q9EQ80
Nim1k	Q8BHI9
Ninj1	O70131
Ninj2	Q9JL89
Ninl	Q6ZQ12
Nin	Q61043
Nip7	Q9CXK8
Nipa1	Q8BHK1
Nipa2	Q9JJC8
Nipal1	Q8BMW7
Nipal4	Q8BZF2
Nipbl	Q6KCD5
Nipsnap1	O55125
Nipsnap2	O55126
Nisch	Q80TM9
Nit1	Q8VDK1
Nit2	Q9JHW2
Tacr1	P30548
Tacr2	P30549
Tacr3	P47937
Nkain1	Q9D035
Nkain2	Q4PNJ2
Nkain3	Q3URJ8
Nkain4	Q9JMG4
Nkapl	Q5SZT7
Nkap	Q9D0F4
Nkd1	Q99MH6
Nkd2	Q8VE28
Klrk1	O54709
Nkg7	Q99PA5
Nkpd1	Q0VF94
Nkrf	Q8BY02
Nktr	P30415
Nkx1-1	G3UXB3
Nkx1-2	P42580
Nkx2-1	P50220
Nkx2-2	P42586
Nkx2-3	P97334
Nkx2-4	Q9EQM3
Nkx2-5	P42582
Nkx2-6	P43688
Nkx2-8	O70584
Nkx3-1	P97436
Nkx3-2	P97503
Nkx6-1	Q99MA9
Nkx6-3	Q3UHX8
Nlrp1b	Q0GKD5
Nle1	Q8VEJ4
Nlgn1	Q99K10
Nlgn2	Q69ZK9
Nlgn3	Q8BYM5
Nlgn4l	B0F2B4
Nlk	O54949
Nlrp1a	Q2LKU9
Nlrp9a	Q66X03
Nlrp9b	Q66X22
Nlrp9c	Q66X01
Nlrc3	Q5DU56
Nlrc4	Q3UP24
Nlrc5	C3VPR6
Nlrp3	Q8R4B8
Nlrp6	Q91WS2
Nlrx1	Q3TL44
Mfsd2a	Q9DA75
Nmbr	O54799
Nmb	Q9CR53
Grin3a	A2AIR5
Grin3b	Q91ZU9
Nmd3	Q99L48
Grin2a	P35436
Grin2b	Q01097
Grin2c	Q01098
Grin2d	Q03391
Grin1	P35438
Nmes1	Q810Q5
Nmi	O35309
Nmnat1	Q9EPA7
Nmnat2	Q8BNJ3
Nmnat3	Q99JR6
Nmral1	Q8K2T1
Nms	Q5H8A1
Nmt1	O70310
Nmt2	O70311
Nmur1	O55040
Nmur2	Q8BZ39
Nmu	Q9QXK8
Nnat	Q61979
Nnmt	O55239
Naxd	Q9CZ42
Naxe	Q8K4Z3
Nnt	Q61941
Noa1	Q9JJG9
Nob1	Q8BW10
Nobox	Q8VIH1
Noc2l	Q9WV70
Noc3l	Q8VI84
Noc4l	Q8BHY2
Noct	O35710
Nod1	Q8BHB0
Nod2	Q8K3Z0
Nodal	P43021
Olfm1	O88998
Olfm2	Q8BM13
Olfm3	P63056
Gnl2	Q99LH1
Nog	P97466
Nol10	Q5RJG1
Nol11	Q8BJW5
Nol12	Q8BG17
Nol3	Q9D1X0
Nol4l	Q6DIB4
Nol4	P60954
Nol6	Q8R5K4
Nol7	Q9D7Z3
Nol8	Q3UHX0
Nol9	Q3TZX8
Nolc1	E9Q5C9
Nom1	Q3UFM5
Nomo1	Q6GQT9
Nono	Q99K48
Nop10	Q9CQS2
Nop14	Q8R3N1
Nop16	Q9CPT5
Nop2	Q922K7
Nop53	Q8BK35
Nop56	Q9D6Z1
Nop58	Q6DFW4
Nop9	Q8BMC4
Nopchap1	Q9CX66
