GeneID	Bulk RNA-seq IU_2.5preg_n1	Bulk RNA-seq IU_2.5preg_n2	Bulk RNA-seq IU_2.5preg_n3	Bulk RNA-seq IA_2.5preg_n1	Bulk RNA-seq IA_2.5preg_n2	Bulk RNA-seq IA_2.5preg_n3
Creg2	121	243	128	610	733	947
Rfx8	15	26	30	11	12	13
Gm3646	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Map4k4	3809	6799	3947	3450	5057	5619
Gm16894	4	6	0	0	0	6
Il1r2	2	8	4	2	0	20
Il1r1	1290	1772	1341	1454	2122	2046
Il1rl2	251	281	231	1154	1581	1841
Il1rl1	137	232	116	22	48	43
Il18r1	534	566	462	1519	1900	1806
Il18rap	10	20	6	9	6	4
Slc9a4	0	2	0	4	1	0
Slc9a2	81	98	97	126	178	140
Mfsd9	706	740	641	1475	2109	2195
Tmem182	8	6	2	1	6	4
4930448I06Rik	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0
Pou3f3	11	31	6	0	0	0
2900092D14Rik	0	0	2	0	0	0
Mrps9	836	1306	930	1332	1709	1755
Gpr45	0	9	5	3	5	5
Tgfbrap1	5432	6493	5348	2494	3138	3516
AI597479	1626	2461	1545	1456	2153	2282
Fhl2	265	428	339	1062	1279	1643
Gm8210	64	152	72	35	76	44
Nck2	4561	5957	4606	6030	8570	9871
NA	2	4	4	13	12	4
Ecrg4	26209	21743	22098	2555	5637	4310
Uxs1	1164	1205	1127	1044	1510	1556
NA	6	12	5	6	8	7
Tpp2	2791	3905	2818	3199	4514	4615
Mettl21c	2	1	0	4	1	3
Tex30	175	245	263	210	302	338
Poglut2	1052	2163	1147	1331	1685	1877
Bivm	1401	1795	1331	1699	2114	2508
Ercc5	1046	1756	1319	1454	1938	2110
NA	0	1	0	0	0	0
Mettl21e	0	0	0	0	0	0
Gulp1	1268	1886	1282	1133	1524	1544
4930521E06Rik	2	1	1	8	1	0
Col3a1	40633	136087	53203	3712	7431	7430
Col5a2	3771	10773	4225	335	659	611
Wdr75	1068	1521	974	1131	1599	1576
Gm5526	178	590	229	68	69	89
Slc40a1	333	624	409	829	1146	1263
Gm3852	0	0	0	0	0	0
Stk-ps2	0	0	0	4	4	2
Dnah7b	1027	1300	951	6123	8169	7984
Dnah7c	989	929	1201	13532	19076	20628
Slc39a10	2046	2851	1751	2835	3654	3590
C230029F24Rik	0	0	0	0	0	0
Tmeff2	341	523	290	58	90	76
9330175M20Rik	3	5	2	1	3	0
Cavin2	4703	8194	3705	2178	3329	3209
Nabp1	364	626	410	483	679	602
Gm17767	7	12	12	5	4	19
Myo1b	1640	2421	1533	4418	6057	6504
Stat4	27	32	33	8	14	14
Gm3940	1	2	4	2	3	1
Stat1	3889	5806	3448	2226	3281	3570
Gls	5041	6528	5174	5579	6650	6784
Nab1	5715	7091	5519	7417	10441	10742
Nemp2	685	814	666	1115	1310	1229
Mfsd6	7502	9632	7359	10849	16146	17090
Inpp1	1129	1409	1112	1684	2221	2380
Hibch	885	1242	922	906	1196	1339
1700019D03Rik	32	84	46	13	9	5
Mstn	2	0	0	0	2	4
1700019A02Rik	3	1	2	4	2	3
Pms1	172	211	149	240	291	320
Ormdl1	1348	1396	1392	1129	1399	1601
Osgepl1	372	589	389	470	576	587
Asnsd1	2948	3155	2797	2699	3202	3415
Dnah7a	445	455	520	3653	5482	5327
Stk17b	944	2192	964	570	749	784
Hecw2	354	790	339	51	84	48
Ccdc150	82	121	87	968	852	736
Gtf3c3	893	1560	968	1534	2099	2042
Pgap1	379	710	425	472	611	657
Ankrd44	1027	1565	1061	5869	9087	10366
Sf3b1	15752	21233	16700	16792	21397	21992
Coq10b	627	886	532	484	719	685
Hspd1	5516	7763	5677	10047	12432	16925
Hspe1	3101	3214	3438	3205	3496	5301
Mob4	2957	3843	2933	1854	2533	2532
Rftn2	373	963	410	100	154	122
Mars2	244	396	256	234	321	432
Boll	0	2	0	0	0	0
Plcl1	1020	1505	871	233	494	466
Gm6644	37	23	40	35	34	28
9130227L01Rik	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	77	77	40	26	46	69
9130024F11Rik	15	17	16	6	13	4
BC055402	2	3	5	1	4	2
4930558J18Rik	3	3	4	3	2	4
1700066M21Rik	369	430	380	409	661	567
Tyw5	444	508	446	436	545	509
Maip1	619	856	720	708	855	1155
Spats2l	1224	2115	1073	718	1114	1136
Kctd18	596	988	565	739	764	922
Sgo2a	49	110	73	80	94	134
Aox1	442	780	416	524	728	722
Aox3	2292	2837	2150	5993	8095	7629
Aox4	129	162	64	28	42	32
Aox2	170	243	150	22	4	30
Bzw1	9262	11030	8785	8236	11839	12762
Clk1	7212	12985	9002	9000	10855	9189
Ppil3	606	755	617	872	1216	1142
Nif3l1	1105	1272	1078	1021	1420	1631
Orc2	1601	1952	1449	1609	2157	2386
Gm15834	35	49	25	77	57	65
Hycc2	1364	2138	1435	1751	2460	2520
Ndufb3	1475	1737	1509	1665	2054	2553
Gm20257	84	117	121	81	85	39
Flacc1	7	17	8	48	80	99
Cflar	6395	8993	5884	4850	6382	7175
Casp8	2032	2453	1855	1279	1831	1891
Trak2	2905	4127	2880	1883	2854	2935
Stradb	968	1408	935	992	1451	1536
C2cd6	0	0	0	0	2	0
Tmem237	584	1028	589	1622	2413	2401
Mpp4	8	22	7	45	38	39
Als2	665	1049	770	1044	1382	1479
Cdk15	0	7	2	4	0	2
Fzd7	991	2579	918	1027	1604	1450
Gm973	1584	2047	1902	12665	19245	22490
Sumo1	3488	3382	3461	2807	3512	3771
Nop58	1641	2526	1699	1974	2946	3109
Snord70	3	3	0	2	0	1
Snord11	4	1	0	2	0	0
Bmpr2	2361	3322	2115	2324	3708	4041
NA	247	297	184	351	478	409
Fam117b	1675	3244	1828	1865	2850	2808
Ica1l	29	57	45	50	71	69
Wdr12	576	898	593	620	727	878
Carf	343	469	348	749	842	795
Gm15464	9	14	14	7	18	12
Nbeal1	3934	4343	3631	4146	6527	6065
Cyp20a1	1118	1613	1204	1029	1441	1512
Abi2	2432	3604	2420	3056	4445	4258
Raph1	1285	1973	1484	1170	1467	1416
NA	0	0	12	4	6	5
Gm11578	1	2	2	1	8	3
Cd28	20	15	4	14	9	6
Gm11579	0	0	0	0	0	0
Ctla4	5	3	0	0	0	0
Icos	8	26	18	2	4	12
9530026F06Rik	0	0	0	0	0	0
Pard3b	1455	2687	1413	1644	2276	2552
Nrp2	1289	3726	1207	170	284	312
4930487H11Rik	23	8	10	6	3	0
Ino80d	3497	4354	3333	3613	4837	4581
Ino80dos	97	142	118	188	223	173
Gm20342	72	129	106	160	124	130
Ndufs1	2392	3845	2308	2736	3852	4241
Eef1b2	21289	21541	20718	14908	18317	21030
Snora41	17	29	27	7	6	10
Cmklr2	34	44	28	6	25	12
Zdbf2	263	201	166	88	96	108
Adam23	57	89	47	8	11	19
Dytn	19	18	32	212	226	187
Mdh1b	352	347	478	4373	5536	6590
Fastkd2	759	930	891	968	1184	1433
4933402D24Rik	3	12	10	19	21	23
Gm13749	6	6	4	0	4	0
Klf7	272	429	276	257	438	391
Creb1	2607	3856	2644	2605	3935	4088
Mettl21a	958	1200	995	1175	1496	1670
2810408I11Rik	19	4	0	0	1	9
Ccnyl1	433	696	404	262	348	428
Fzd5	1615	2282	1442	162	364	417
Plekhm3	1107	2154	1120	1757	2740	3063
Akr1cl	8	9	7	2	0	9
Gm8550	1	0	0	0	0	1
Cryge	0	0	0	0	0	0
Crygd	1	2	1	0	0	2
Crygc	0	0	0	0	0	0
Crygb	0	0	0	2	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	1	5	2	2	6	4
Idh1	2174	3267	1785	992	1388	1479
Pikfyve	2054	2565	2011	1770	2336	2434
Pth2r	2	2	0	0	4	0
Crygf	0	0	0	2	0	0
Map2	316	456	298	633	924	835
Gm10558	0	0	0	0	0	0
Unc80	26	18	20	106	118	137
Rpe	1971	2361	1743	1644	2329	2478
Kansl1l	1578	2404	1663	2558	2906	2994
Acadl	2282	3448	2196	2787	3572	4199
NA	0	3	1	2	2	0
Myl1	12	4	6	2	2	0
Lancl1	1482	2348	1423	1924	2748	2675
Cps1	1	5	4	3	10	6
Erbb4	87	121	91	103	215	232
Gm19335	0	0	0	0	0	0
Ikzf2	2371	2991	2465	2837	3575	3587
Spag16	380	427	381	4093	5292	6023
Vwc2l	0	0	0	0	2	0
Bard1	57	78	87	80	97	102
Abca12	4	0	0	2	6	2
Atic	4136	5351	4225	5211	7344	8228
Fn1	35057	60309	35988	33293	63325	62687
Apol7d	9	18	10	15	28	28
Gm8883	78	76	93	174	298	359
4933417E11Rik	10	20	8	33	62	58
Gm5528	0	1	0	1	0	0
Mreg	16	22	24	196	233	298
Pecr	507	726	501	594	752	862
Tmem169	8	21	0	2	0	0
Xrcc5	1426	2004	1246	2458	3471	3786
Marchf4	859	1238	920	8651	12269	14955
Smarcal1	2490	3692	2324	3844	5401	5952
Ankar	2	2	2	0	0	7
Rpl37a	9856	12896	11317	7949	11560	13610
Igfbp2	396	329	470	6300	8851	11294
Igfbp5	55319	75591	44929	42852	56780	64307
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Pinc	0	0	1	0	7	4
D530049I02Rik	0	0	0	0	0	0
6030407O03Rik	68	30	66	28	43	26
Tns1	17255	35660	15723	7473	10205	10608
Rufy4	46	66	29	151	92	123
NA	0	0	0	0	0	0
Cxcr2	9	6	11	0	0	0
Cxcr1	0	0	2	0	4	9
Mir1928	0	0	0	0	0	0
Arpc2	9217	13257	8518	9142	13609	13773
Gpbar1	15	66	26	6	6	6
Aamp	7187	9748	7302	8186	12082	12637
Pnkd	4899	6601	5544	4133	5546	6079
Tmbim1	4676	6791	4755	2918	3997	4109
Catip	687	886	818	6509	8097	8080
Slc11a1	228	360	216	77	141	171
Ctdsp1	9166	14180	8822	8573	12539	13298
Mir26b	1	3	1	1	3	3
Vil1	41	49	32	28	32	28
Usp37	1254	1882	1334	2767	4004	4324
Cnot9	1809	2442	1770	2938	4243	4569
Plcd4	112	179	103	116	195	124
Zfp142	1489	2207	1397	1474	1945	1974
Bcs1l	566	800	575	558	667	784
Rnf25	1466	2158	1591	1560	1926	1844
Stk36	1162	1552	1449	8457	9651	10976
Ttll4	1100	1276	1117	3727	4497	4953
Cyp27a1	1082	2154	1161	168	121	148
Prkag3	16	50	16	2	0	6
Wnt6	81	227	52	43	49	72
Wnt10a	0	0	0	2	0	2
Cdk5r2	0	4	1	9	8	0
Fev	0	0	0	2	0	0
Cryba2	1	2	2	6	7	6
Mir375	0	0	0	0	0	0
Cfap65	4050	4847	4665	49999	54960	54188
Ihh	7582	8950	8229	43	36	41
Nhej1	130	214	151	143	166	267
Slc23a3	36	60	53	47	70	65
Cnppd1	3061	4765	3036	3477	4341	4600
Retreg2	10051	12708	10360	7515	10438	11399
Zfand2b	1143	1367	1418	656	775	940
Abcb6	785	1269	834	992	1317	1658
Atg9a	3345	5045	3448	2411	3299	3865
Ankzf1	1607	2189	1762	1643	1756	1875
Glb1l	1217	1896	1291	1669	2023	2222
Stk16	3083	3890	3260	2708	3368	4138
Tuba4a	2196	2124	2189	348	391	456
A630095N17Rik	10	0	0	6	4	5
Dnajb2	3826	4757	4147	10399	14453	16733
Ptprn	24	27	33	70	107	102
Resp18	0	1	0	0	0	0
Dnpep	2540	3530	2617	2075	2871	3166
Des	11998	35923	13906	916	1442	1527
Gm15179	1	4	0	0	0	0
Speg	2303	4799	2844	205	375	319
Gmppa	2390	3315	2564	1780	2469	2427
NA	4	3	0	0	3	2
Asic4	8	101	43	3	1	6
Chpf	2825	6581	3325	4256	6236	7225
Tmem198	75	159	135	145	129	164
Obsl1	1491	3376	1910	1187	1353	1447
Inha	168	298	198	509	495	524
Stk11ip	1550	2242	1779	5402	6421	6958
Slc4a3	1094	2542	1437	886	895	1048
NA	0	0	1	0	0	0
Gm17751	2	0	0	0	0	0
Epha4	4076	5186	3602	2220	4036	3857
Pax3	0	0	0	0	0	0
Gm2102	0	0	0	2	2	0
Sgpp2	175	363	111	664	812	821
Farsb	3700	4305	3591	2316	3404	3398
Mogat1	176	264	183	9	38	23
Acsl3	1458	1496	1531	12240	14519	17224
Utp14b	185	226	156	1180	1523	1585
Kcne4	1164	3392	1438	81	73	92
Scg2	2	1	0	0	2	0
NA	9	17	20	1	1	1
Ap1s3	3581	3474	3895	398	527	669
Wdfy1	1143	1673	1286	1346	1446	1636
Gm10555	2	1	2	0	0	0
Mrpl44	1205	1563	1336	1309	1946	2246
NA	1	11	13	0	1	0
Serpine2	13394	13575	12253	4004	5313	6516
Fam124b	166	185	147	4	6	0
Cul3	5470	7202	5450	6311	8816	9530
1700016L21Rik	0	1	0	2	5	9
Dock10	404	663	326	101	183	189
Nyap2	0	0	0	0	0	0
Irs1	7051	11010	7977	9294	13956	16268
Gm19537	43	28	23	66	38	43
Rhbdd1	1694	2221	1566	3193	4725	5224
Gm19552	0	2	1	10	7	2
Col4a4	1257	2471	1256	236	277	327
Col4a3	468	1092	486	125	160	131
Mff	3336	4231	3256	3508	4602	5207
Tm4sf20	0	0	0	2	6	5
Gm17764	0	0	0	0	0	0
Agfg1	1821	2939	1994	2065	2878	3175
Slc19a3	15	41	21	23	28	17
Krtap28-13	0	0	0	0	0	0
Ccl20	2	1	0	0	0	2
Daw1	258	276	368	3404	4010	3858
Sphkap	24	52	37	8	4	2
Pid1	1963	3588	1735	997	1456	1777
Dner	18	17	33	277	465	508
Mir5126	0	0	0	0	0	0
Trip12	14226	18525	13662	13007	18891	18987
Fbxo36	900	983	966	5061	7218	7719
Slc16a14	67	50	33	9	20	5
Gm15433	1	4	3	2	0	0
A530032D15Rik	29	28	16	37	35	16
A530040E14Rik	19	32	20	13	25	17
NA	1	0	0	2	3	1
Gm7609	9	8	0	9	23	25
C130026I21Rik	5	8	3	4	8	2
Gm2666	10	5	4	18	28	20
Gm2427	1	14	10	3	17	9
NA	7	5	0	5	7	6
Sp110	474	636	494	596	691	701
Sp140	264	240	192	236	254	259
Gm10552	1	0	4	7	8	20
NA	0	0	0	0	1	1
Sp100	2563	3667	2373	3997	5084	4951
A630001G21Rik	190	236	157	197	221	165
Cab39	11440	14939	11153	11174	17348	18824
Itm2c	15734	21354	14931	12771	18742	18664
4933407L21Rik	13	19	8	18	27	33
Gpr55	6	7	8	53	56	49
Spata3	1	4	5	40	49	58
2810459M11Rik	206	191	146	872	1312	1259
Psmd1	4516	6643	4257	4437	6482	6827
Htr2b	47	60	45	34	21	32
Armc9	1255	1635	1033	3606	4842	4994
NA	3	4	5	0	0	4
B3gnt7	1202	1488	988	508	746	898
Gm5258	0	0	1	1	0	0
Ncl	13897	20789	12941	17736	24209	24775
Snora75	18	11	7	11	7	7
Snord82	0	0	0	0	0	0
C130036L24Rik	45	42	39	63	78	69
Nmur1	8	22	8	10	6	14
Tex44	9	4	4	91	76	97
Ptma	30232	37557	29821	44426	59618	67275
Pde6d	1078	1279	1083	2054	2579	3015
Cops7b	691	1092	840	915	1105	1107
Nppc	58	62	107	26	90	68
Dis3l2	1173	1423	1069	2368	3272	3563
Alppl2	2	18	5	2	0	0
Alpi	0	0	0	0	0	0
Akp3	1	0	0	0	0	0
Ecel1	7	17	25	4	2	3
Prss56	0	0	0	0	2	0
Chrnd	0	0	0	0	0	0
Chrng	0	0	1	0	0	0
Eif4e2	2645	3537	2830	2181	2919	3009
Efhd1	621	903	390	9	23	16
Gigyf2	3773	5393	3583	3757	4826	4825
Kcnj13	12	16	18	74	35	67
Snorc	1	0	1	12	9	11
Ngef	2520	3158	2497	6036	7836	8857
A530079E22Rik	18	23	17	41	49	17
Gm6153	7	4	0	5	17	2
Neu2	179	279	187	190	245	203
Inpp5d	959	1762	967	198	389	400
Atg16l1	1761	2618	1871	1512	2143	2330
Scarna6	1	0	0	2	4	2
Sag	63	39	42	145	145	152
Gm19582	0	4	4	1	2	7
Dgkd	2218	3594	2238	2662	3544	3715
Usp40	2495	3157	2244	2668	3823	3707
Ugt1a10	0	0	0	0	0	0
Ugt1a9	0	0	0	0	0	0
Ugt1a7c	2652	2939	2109	538	934	1141
Ugt1a6b	82	63	43	106	151	122
Ugt1a6a	2712	2940	2382	2538	4135	4248
Ugt1a5	2	2	2	18	25	10
Ugt1a2	27	34	31	27	31	14
Dnajb3	188	164	166	140	173	169
Ugt1a1	1977	2099	1793	1731	3051	3201
Mroh2a	637	628	624	193	385	321
Hjurp	1728	2070	1846	3113	3304	3876
6430706D22Rik	0	0	0	0	0	0
Trpm8	5	3	4	0	1	2
Spp2	0	3	5	46	60	53
Glrp1	12	15	15	24	49	19
Gm19589	0	0	2	14	30	7
Arl4c	7232	9663	7569	11730	18808	19434
Platr5	0	5	0	6	0	8
1700067G17Rik	4	0	0	0	6	0
Sh3bp4	3815	5279	3730	3272	5110	5634
C030007H22Rik	0	0	0	0	0	0
Agap1	7065	8908	6901	3667	5166	6053
4933400F21Rik	1	0	1	10	1	1
Gbx2	0	1	0	0	2	0
Asb18	0	0	0	0	0	0
Iqca	825	914	1074	11242	16906	17672
Ackr3	1656	1825	1694	1000	1318	1544
Cops8	1967	3022	1949	2306	3246	3173
Gm9991	0	0	8	0	0	1
Col6a3	7462	22917	9934	818	1497	1290
Mlph	3165	3866	2822	3060	3983	3575
Prlh	3	8	5	3	0	5
Rab17	448	470	364	483	507	497
Lrrfip1	2647	4110	2602	3818	5393	5736
Rbm44	1	18	2	4	10	6
Ramp1	2097	3836	2130	6691	7855	8904
Ube2f	1448	1887	1544	1087	1661	1610
NA	15	18	5	5	22	16
Scly	719	986	714	483	643	619
Espnl	50	53	40	366	377	368
NA	0	0	0	0	0	0
Klhl30	44	304	96	8	7	11
Erfe	13	27	23	39	43	24
Ilkap	1763	2342	1734	2201	3037	3194
1700020N18Rik	7	5	3	61	103	112
Hes6	905	1385	978	1365	1770	2147
Per2	1413	1902	1248	3708	3075	3381
Traf3ip1	1248	1721	1544	15213	21297	22821
Asb1	927	1692	948	1024	1495	1555
Twist2	429	1033	454	44	62	46
Hdac4	1078	2050	1119	1470	2405	2364
Ndufa10	2899	4202	2865	2826	3663	4307
Or6b2	0	0	0	0	1	0
Or6b2b	0	0	0	0	0	0
Or6b3	0	0	0	0	0	0
Or9s23	0	0	0	0	0	0
Or9s27	0	0	0	0	0	0
Or9s15	0	0	0	0	0	0
Or9s14	0	0	0	0	0	0
Or9s13	0	0	0	0	0	0
Cops9	1832	1863	1789	1316	1704	1791
Otos	3	6	4	4	3	1
Gpc1	1907	3724	1419	3239	4316	3805
NA	0	0	0	0	7	0
Mir149	2	0	0	1	2	0
Ankmy1	129	115	128	1492	1650	2152
Dusp28	744	970	677	989	1501	1468
Rnpepl1	3360	5131	3400	5155	7024	7646
9430060I03Rik	6	18	17	32	25	31
Capn10	1429	1994	1542	2475	3470	3860
Gpr35	96	175	66	202	221	214
Aqp12	0	1	0	0	0	0
Kif1a	893	1481	631	107	166	201
Agxt	0	0	0	2	15	8
Mab21l4	406	542	311	1418	2075	2231
Crocc2	1506	1597	1813	20599	23060	25718
Sned1	1750	2337	1549	2676	3021	3762
Mterf4	1756	2559	1887	3679	4047	4118
Pask	342	473	397	937	1154	1477
Ppp1r7	1915	2675	1656	2313	3590	4026
Ano7	52	76	72	43	66	46
Hdlbp	25816	33769	24889	22419	33687	37988
Septin2	9314	13217	9087	8346	10824	11894
Farp2	439	573	418	680	1016	1215
Stk25	4862	6887	5247	6753	8833	10038
Bok	1500	2785	1707	8036	11191	13102
Thap4	1341	1817	1364	1460	1928	2154
Atg4b	2403	3532	2531	2049	2733	2969
