GeneID	Bulk RNA-seq IU_Finnerty_Estrus_n1	Bulk RNA-seq IU_Finnerty_Estrus_n2	Bulk RNA-seq IU_Finnerty_Estrus_n3	Bulk RNA-seq IA_Finnerty_Estrus_n1	Bulk RNA-seq IA_Finnerty_Estrus_n2	Bulk RNA-seq IA_Finnerty_Estrus_n3
Kcnb2	350	156	274	50	115	54
Terf1	609	663	1006	670	685	912
Sbspon	822	1093	4812	128	71	330
Gm7634	0	1	0	0	0	1
4930444P10Rik	21	26	36	198	264	354
Rpl7	31563	39742	57407	23217	26046	32561
Rdh10	5618	5346	7018	1151	2336	2206
Stau2	1382	1526	2185	806	917	909
Ube2w	1598	1976	2826	1412	1589	1713
Eloc	1208	984	1599	1078	1157	1321
D030040B21Rik	2	6	6	2	12	13
Tmem70	1855	1793	3128	1416	1417	1229
Ly96	238	335	315	200	179	191
Jph1	112	142	273	85	79	111
Gdap1	24	15	34	51	101	147
Pi15	3235	1385	2898	314	1286	301
Crispld1	595	1108	1129	637	436	312
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	2	0	0
Defb41	0	0	0	0	0	0
NA	0	0	0	0	0	0
Tfap2d	0	2	0	0	2	1
Tfap2b	0	2	1	0	0	0
Pkhd1	203	152	292	6	22	34
4930486I03Rik	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	 	0	0
Il17f	0	0	0	0	0	0
Mcm3	567	337	572	376	423	281
6720483E21Rik	9	12	57	32	38	44
Paqr8	2006	2876	2769	4143	6060	2978
Efhc1	746	842	1492	5231	6249	9212
Tram2	223	182	265	96	158	158
Tmem14a	373	351	609	330	421	606
Gsta3	568	552	1471	647	767	588
Gm4956	3	4	24	2	7	6
Khdc1a	2	2	2	4	89	2
Khdc1c	0	0	0	0	1	2
Khdc1b	0	0	0	0	1	4
Kcnq5	102	86	228	232	361	259
Rims1	101	419	258	12	51	22
Ppp1r14bl	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0
Mir30c-2	0	1	0	0	0	0
Ogfrl1	635	713	1216	903	767	912
Gm19673	0	0	0	0	0	0
B3gat2	63	72	141	51	46	49
Smap1	2089	1572	2529	1300	1545	1243
Sdhaf4	546	460	759	534	611	771
Fam135a	1546	1765	2904	1958	2335	2205
Col9a1	0	0	0	2	0	0
Col19a1	3	6	11	0	2	2
Lmbrd1	1926	2785	4101	4043	4140	6078
Adgrb3	11	6	13	9	25	2
Gm20172	0	0	0	0	0	0
4931408C20Rik	2	0	0	0	18	0
Gm5524	0	0	0	0	0	0
Gm7846	74	95	126	71	69	81
Gm597	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Gm9898	4	0	0	0	0	0
Phf3	4489	4842	8333	5140	6012	6355
Ptp4a1	1764	1605	2462	1197	1430	1349
4931428L18Rik	0	0	2	0	0	0
Lgsn	2	2	2	0	0	0
Dnaaf6	0	0	0	0	0	1
Gm4850	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0
Gm9839	0	0	2	0	0	0
Semp2l1	0	0	0	0	0	0
Prim2	358	345	490	434	601	761
1700001G17Rik	8	17	44	59	67	119
Rab23	1162	1106	2144	4423	4585	6143
Bag2	1353	1185	2411	2189	2296	3474
Zfp451	813	1120	1590	815	860	1104
Gm15455	11	8	13	7	1	3
Bend6	27	32	47	4	6	15
Dst	36940	36768	61567	27910	52906	28730
Mir5103	1	3	8	5	6	2
Ccdc115	871	699	1334	602	851	818
Imp4	1003	1004	1570	882	1141	1014
D1Ertd448e	371	532	774	351	447	532
Ptpn18	1711	1999	1845	347	264	332
Prss39	2	2	2	0	0	0
Cfc1	4	10	36	12	13	122
Prss40	0	0	4	0	2	10
Amer3	3	2	17	8	11	77
AA619741	2	0	8	2	13	2
Arhgef4	917	1407	2164	1528	1430	2077
Fam168b	7760	9536	13873	6938	8301	9401
Plekhb2	10200	10029	13241	6864	8727	7576
Hs6st1	5981	8006	11033	6677	6130	8663
Uggt1	6204	6732	7942	7100	8185	5780
Neurl3	946	2189	1583	484	371	736
Arid5a	917	1209	1368	479	697	719
Kansl3	3293	4228	6671	4374	4602	5930
Lman2l	2242	2853	3862	2892	2802	3350
Cnnm4	1319	1117	1989	1695	1822	1774
Cnnm3	1243	2115	2566	1339	1270	2261
Ankrd23	272	259	398	187	214	216
Ankrd39	296	309	456	215	274	282
Sema4c	1532	3207	3570	1138	889	969
Fam178b	31	65	64	24	7	29
Cox5b	4609	3675	5567	3508	4324	3217
Actr1b	3471	3433	5076	3333	4173	3497
4933424G06Rik	2	2	1	0	4	6
Zap70	44	69	88	384	335	654
Tmem131	6290	8446	12552	7536	8766	7969
Vwa3b	423	455	837	2096	3133	5011
Cnga3	4	0	0	2	0	7
Inpp4a	1165	1623	2395	1529	1730	1996
Coa5	3038	3481	5005	2243	2582	2930
Unc50	1501	1651	2390	1380	1507	1894
Mgat4a	801	1050	1614	491	568	615
4930594C11Rik	9	3	3	4	5	4
NA	0	0	0	0	0	0
Cracdl	3616	4148	5649	8725	7257	11329
Gm19863	2	24	10	16	16	6
Tsga10	595	743	1138	2594	2859	4473
Lipt1	250	275	388	239	264	383
Mitd1	644	580	821	423	505	507
Mrpl30	1293	1410	2130	975	1104	1489
Lyg2	12	8	32	147	108	326
Lyg1	0	0	0	0	0	0
Txndc9	2119	2343	3016	2006	2236	2874
Eif5b	4696	4613	6959	3524	4446	4746
Rev1	554	518	943	395	596	556
Aff3	1026	846	1809	4963	5907	7191
Lonrf2	463	693	1380	56	77	80
Chst10	1596	1181	8922	185	652	206
NA	2	2	20	0	0	0
Nms	2	11	31	4	1	0
Pdcl3	1723	1804	3243	1387	1609	1500
Npas2	798	992	2555	1120	919	1710
Rpl31	12334	12415	18820	9358	10235	11039
Tbc1d8	1070	1683	2196	1178	1283	1669
Cnot11	1428	1577	2477	1666	1822	2083
Snord89	11	5	23	18	0	13
Rnf149	4139	4238	6551	3325	2539	3449
Creg2	157	293	343	262	270	617
Rfx8	12	9	49	11	3	15
Gm3646	2	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Map4k4	3562	5130	6565	2620	3309	3348
Gm16894	0	2	3	2	0	2
Il1r2	22	4	5	4	6	4
Il1r1	908	1201	1677	1137	928	1214
Il1rl2	251	329	363	830	919	1002
Il1rl1	70	82	195	28	34	47
Il18r1	275	354	487	537	335	1146
Il18rap	23	30	13	8	6	12
Slc9a4	0	0	2	1	0	0
Slc9a2	61	90	108	85	78	78
Mfsd9	347	434	600	845	910	1561
Tmem182	2	2	10	2	4	4
4930448I06Rik	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0
Pou3f3	8	2	8	0	1	0
2900092D14Rik	0	0	0	0	0	0
Mrps9	997	1023	1521	853	1064	1535
Gpr45	1	7	9	2	1	2
Tgfbrap1	2563	2507	6230	1770	2068	1956
AI597479	1340	1370	1989	975	1380	1306
Fhl2	344	397	995	627	733	959
Gm8210	27	34	53	22	43	28
Nck2	3385	3816	5612	4599	5119	6305
NA	2	0	9	2	9	6
Ecrg4	5909	7865	15716	2520	1676	1913
Uxs1	788	757	1219	1026	947	796
NA	19	9	27	7	19	13
Tpp2	2416	2110	3313	2223	3030	2612
Mettl21c	0	2	0	0	0	0
Tex30	161	117	151	181	194	132
Poglut2	1050	928	1795	820	1022	1063
Bivm	744	937	1519	1053	1184	1381
Ercc5	674	920	1368	820	1186	1357
NA	0	0	0	0	2	0
Mettl21e	0	0	0	0	0	0
Gulp1	942	1254	1781	947	896	1174
4930521E06Rik	0	0	0	0	0	4
Col3a1	51723	42307	60376	19344	23384	7967
Col5a2	5336	5453	6007	1846	2644	843
Wdr75	966	685	1573	714	992	815
Gm5526	489	413	761	209	218	124
Slc40a1	1258	2232	1045	453	1046	1118
Gm3852	0	0	0	0	0	0
Stk-ps2	0	0	0	2	2	0
Dnah7b	595	811	1582	2796	3653	4550
Dnah7c	560	262	995	4813	6982	10754
Slc39a10	1519	1753	2640	2321	2213	1931
C230029F24Rik	0	0	0	0	0	0
Tmeff2	249	313	431	74	136	92
9330175M20Rik	0	2	1	2	0	0
Cavin2	2320	4944	6150	2027	1749	2428
Nabp1	511	536	616	225	296	318
Gm17767	14	20	10	6	4	8
Myo1b	975	1740	2523	3370	3866	4453
Stat4	26	42	56	17	8	22
Gm3940	2	0	10	1	6	4
Stat1	3768	4412	4821	1995	2082	1886
Gls	4232	4120	6314	2506	5087	3973
Nab1	3713	4169	6566	5736	5570	6378
Nemp2	360	636	923	570	520	846
Mfsd6	6070	6887	8251	8026	11087	9258
Inpp1	726	841	1417	905	1357	1305
Hibch	764	719	1109	602	738	748
1700019D03Rik	9	20	41	9	2	8
Mstn	2	0	2	0	6	0
1700019A02Rik	3	0	0	3	0	1
Pms1	169	130	150	119	171	189
Ormdl1	891	711	1114	705	983	901
Osgepl1	291	386	575	317	293	537
Asnsd1	1776	2384	2774	1674	1986	2631
Dnah7a	207	225	485	1546	2048	3167
Stk17b	666	824	2002	597	755	672
Hecw2	274	378	619	134	172	80
Ccdc150	67	74	150	324	437	853
Gtf3c3	723	878	1237	842	975	1267
Pgap1	277	412	601	311	291	283
Ankrd44	684	962	1634	3550	3994	6385
Sf3b1	11558	11866	18865	9595	12884	13258
Coq10b	750	512	967	367	829	461
Hspd1	5204	3712	7435	5386	7483	6184
Hspe1	2779	1840	3237	1757	2385	2165
Mob4	2058	1807	3066	1375	1725	1573
Rftn2	334	1121	785	240	279	152
Mars2	224	178	356	155	220	148
Boll	2	4	1	2	1	0
Plcl1	405	560	1105	241	242	310
Gm6644	26	16	22	12	15	13
9130227L01Rik	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	26	51	76	26	51	38
9130024F11Rik	9	22	23	4	9	4
BC055402	0	2	2	4	0	4
4930558J18Rik	0	2	0	0	6	2
1700066M21Rik	202	220	327	267	329	326
Tyw5	263	254	399	230	286	306
Maip1	585	626	975	546	608	638
Spats2l	1039	742	1611	475	794	829
Kctd18	410	523	781	402	443	534
Sgo2a	104	80	80	70	109	83
Aox1	302	422	702	445	408	501
Aox3	946	1761	2826	4095	3120	6878
Aox4	15	73	160	39	17	41
Aox2	135	83	131	12	52	11
Bzw1	8239	5786	9877	5695	8648	6326
Clk1	5382	5806	9210	3317	4540	6503
Ppil3	408	465	709	514	612	700
Nif3l1	757	737	1247	802	963	854
Orc2	894	888	1850	1002	1210	1250
Gm15834	10	39	55	37	40	38
Hycc2	909	1105	1973	981	1372	1295
Ndufb3	1501	1235	2000	1401	1640	1684
Gm20257	71	101	132	52	60	84
Flacc1	11	4	22	12	46	29
Cflar	5222	5859	7326	3734	6093	4100
Casp8	1826	1808	2287	1207	1264	1181
Trak2	2595	2530	4271	1588	2518	1813
Stradb	669	709	1083	560	612	830
C2cd6	0	0	1	1	0	0
Tmem237	400	448	792	1023	1289	1491
Mpp4	4	10	29	11	6	44
Als2	587	677	910	669	875	811
Cdk15	0	29	15	2	5	1
Fzd7	848	2310	2761	954	606	1156
Gm973	799	1305	1964	6972	7559	12941
Sumo1	1723	1801	2676	1682	1988	2400
Nop58	1954	1476	2809	1605	2429	1873
Snord70	1	0	5	0	0	1
Snord11	0	0	0	0	0	0
Bmpr2	1784	2081	3258	1734	2750	1976
NA	177	212	354	234	262	434
Fam117b	1448	2095	2854	1334	1940	1790
Ica1l	16	54	42	51	43	67
Wdr12	686	533	889	423	671	487
Carf	248	309	422	271	350	444
Gm15464	44	36	76	29	35	42
Nbeal1	2028	2178	4063	2361	3900	3445
Cyp20a1	855	678	1206	790	880	876
Abi2	1549	1645	2745	2051	2532	2501
Raph1	1209	933	1411	772	1098	814
NA	3	1	7	7	2	4
Gm11578	4	5	0	6	6	6
Cd28	16	16	25	10	4	4
Gm11579	0	0	0	0	1	0
Ctla4	0	2	0	0	0	0
Icos	8	22	16	11	8	4
9530026F06Rik	0	0	0	0	0	0
Pard3b	1116	1733	2956	1148	1308	1392
Nrp2	2275	4149	4719	506	973	440
4930487H11Rik	4	9	13	10	9	1
Ino80d	2373	2356	3957	2105	2787	2432
Ino80dos	89	116	139	109	178	175
Gm20342	78	67	125	91	98	73
Ndufs1	2926	2371	3982	2227	3017	2675
Eef1b2	15784	17296	24434	10378	12506	14587
Snora41	12	14	19	6	11	4
Cmklr2	32	30	34	12	8	1
Zdbf2	185	174	333	62	111	53
Adam23	84	82	86	7	10	5
Dytn	14	18	22	76	100	129
Mdh1b	144	146	322	1946	2324	3709
Fastkd2	571	511	862	611	736	629
4933402D24Rik	2	8	17	24	12	13
Gm13749	2	2	6	2	2	0
Klf7	262	378	596	227	306	228
Creb1	1837	2077	3457	1532	2254	2224
Mettl21a	546	823	1150	677	761	1152
2810408I11Rik	6	4	6	8	6	2
Ccnyl1	443	331	676	234	373	228
Fzd5	1699	1418	1843	289	385	289
Plekhm3	1094	1305	1705	1066	1435	1506
Akr1cl	198	63	7	30	100	9
Gm8550	6	0	0	2	0	3
Cryge	0	0	0	1	0	0
Crygd	2	4	0	1	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	0	0
Cryga	0	0	0	0	0	0
D630023F18Rik	0	0	2	3	1	0
Idh1	2909	2896	2860	1339	1687	1158
Pikfyve	1676	1684	2507	1116	1558	1417
Pth2r	0	0	4	3	0	1
Crygf	0	0	0	0	0	0
Map2	145	156	410	326	318	515
Gm10558	0	0	0	0	0	0
Unc80	2	0	31	40	49	117
Rpe	1362	1134	1882	1148	1366	1317
Kansl1l	1097	1308	2082	1159	1240	1671
Acadl	1983	2676	3026	2368	2662	3204
NA	2	0	3	2	4	4
Myl1	4	8	12	0	6	4
Lancl1	965	1429	2145	951	1124	1870
Cps1	0	0	8	2	2	13
Erbb4	22	48	68	25	25	68
Gm19335	0	0	0	0	0	0
Ikzf2	1353	1225	1879	1275	1677	1951
Spag16	229	240	525	2019	2573	2970
Vwc2l	0	0	0	0	0	4
Bard1	65	59	81	56	69	58
Abca12	0	0	0	0	2	0
Atic	3580	2894	5165	4112	4783	4545
Fn1	38739	30403	108489	55128	45357	33371
Apol7d	3	6	20	13	9	24
Gm8883	83	99	127	208	565	121
4933417E11Rik	10	8	21	26	48	36
Gm5528	1	0	0	1	1	2
Mreg	24	23	25	80	154	196
Pecr	365	447	746	494	609	540
Tmem169	14	4	21	2	6	1
Xrcc5	1394	1219	1966	1701	2010	2214
Marchf4	569	554	974	4552	4919	7601
Smarcal1	2570	2422	3539	2305	2984	3150
Ankar	0	2	0	0	0	0
Rpl37a	9512	10428	15480	6800	7195	9630
Igfbp2	2177	354	747	2458	3342	5657
Igfbp5	29693	63047	82597	45256	31080	40849
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Pinc	0	0	0	0	4	0
D530049I02Rik	0	0	1	0	0	0
6030407O03Rik	37	63	73	33	41	19
Tns1	20115	34814	48927	11031	16193	8474
Rufy4	39	70	77	42	144	108
NA	0	0	0	0	0	0
Cxcr2	0	2	0	2	0	0
Cxcr1	0	0	0	4	12	10
Mir1928	0	0	0	0	0	0
Arpc2	10558	10126	14444	9912	10567	10871
Gpbar1	22	57	98	18	6	4
Aamp	5720	6131	8889	5879	6692	8145
Pnkd	1684	2277	4068	3643	3923	3924
Tmbim1	4066	4156	5803	2256	2988	2750
Catip	518	489	946	3386	3582	5378
Slc11a1	200	342	327	148	96	117
Ctdsp1	7577	9472	14414	7405	7399	8276
Mir26b	0	0	7	0	0	0
Vil1	29	76	65	22	38	19
Usp37	1030	956	1737	1695	2252	2288
Cnot9	1410	1333	2362	1958	2201	2689
Plcd4	47	72	150	69	52	76
Zfp142	977	1452	2205	1003	1162	1134
Bcs1l	543	541	697	430	448	479
Rnf25	1059	1149	1821	987	975	1234
Stk36	748	910	1435	3682	4429	5355
Ttll4	756	670	1288	1985	2662	2198
Cyp27a1	507	1369	1411	240	193	319
Prkag3	31	7	43	6	14	6
Wnt6	42	121	166	108	203	87
Wnt10a	0	0	0	0	0	2
Cdk5r2	0	2	2	2	1	2
Fev	0	2	0	0	0	0
Cryba2	3	0	0	5	11	1
Mir375	0	0	0	0	0	0
Cfap65	3222	2575	5989	24120	29476	34405
Ihh	847	353	4982	8	7	16
Nhej1	93	104	180	130	99	137
Slc23a3	30	42	42	107	44	41
Cnppd1	2177	3373	4045	2213	2486	3245
Retreg2	5639	7474	9916	5735	5639	6994
Zfand2b	939	892	1153	560	741	617
Abcb6	566	472	937	868	841	787
Atg9a	2824	2794	4162	1899	2450	2396
Ankzf1	1180	1520	1911	987	1110	1237
Glb1l	962	968	1538	1030	1104	1379
Stk16	2021	1973	3278	1896	1983	1985
Tuba4a	1101	700	1658	373	424	238
A630095N17Rik	0	6	3	2	2	2
Dnajb2	2679	3023	4729	6280	6573	9282
Ptprn	17	22	34	46	41	89
Resp18	0	0	0	0	0	0
Dnpep	2096	2717	2882	2190	2423	2263
Des	27584	29472	41819	12328	10728	5465
Gm15179	3	3	4	9	1	0
Speg	2724	3027	5303	1161	1033	449
Gmppa	2325	2578	3229	1938	2124	1796
NA	0	0	0	1	1	0
Asic4	6	115	186	57	15	6
Chpf	3094	3624	5546	3984	4236	4090
Tmem198	71	43	114	77	98	95
Obsl1	1130	1540	2548	888	842	873
Inha	116	149	269	185	142	360
Stk11ip	1159	1331	1817	2439	2894	3994
Slc4a3	1066	1219	1977	914	811	736
NA	0	0	0	0	0	0
Gm17751	0	0	0	0	0	0
Epha4	1848	3581	4588	1401	943	2097
Pax3	0	0	0	0	0	0
Gm2102	0	2	2	8	0	0
Sgpp2	109	367	260	359	324	522
Farsb	2136	1770	3022	2008	2482	1828
Mogat1	303	379	305	44	41	12
Acsl3	1532	888	1591	6068	5772	9293
Utp14b	209	132	255	679	930	1011
Kcne4	2794	1345	3697	274	725	214
Scg2	4	8	6	6	1	2
NA	4	2	16	0	0	3
Ap1s3	658	1075	2736	308	421	346
Wdfy1	963	1013	1629	716	969	1046
Gm10555	1	0	0	0	0	0
Mrpl44	923	927	1382	935	1039	1310
NA	2	1	0	0	0	3
Serpine2	745	1111	2208	2272	1709	2748
Fam124b	49	33	97	0	2	4
Cul3	4301	4543	6744	4399	5640	5685
1700016L21Rik	0	0	0	3	1	7
Dock10	355	513	642	156	150	144
Nyap2	0	0	0	0	4	2
Irs1	8307	4764	10671	4903	12530	7870
Gm19537	69	27	53	9	55	22
Rhbdd1	1338	1449	2198	1917	2072	2758
Gm19552	0	0	0	0	2	0
Col4a4	1275	1053	1825	293	281	215
Col4a3	721	444	999	248	427	165
Mff	2437	2621	3955	2406	2588	3001
Tm4sf20	2	2	0	0	1	1
Gm17764	0	0	0	0	0	0
Agfg1	1778	1667	2802	1382	1779	1476
Slc19a3	16	63	38	4	8	15
Krtap28-13	0	2	0	0	0	0
Ccl20	0	2	2	0	0	2
Daw1	172	117	309	1188	1736	2604
Sphkap	31	10	9	4	26	12
Pid1	1787	2522	3505	993	1271	1208
Dner	10	22	37	139	57	375
Mir5126	0	0	0	0	0	0
Trip12	10697	11101	16567	8793	11749	10531
Fbxo36	640	766	1037	3241	3147	5209
Slc16a14	802	726	271	6	38	10
Gm15433	2	4	0	4	0	2
A530032D15Rik	12	25	46	20	14	24
A530040E14Rik	13	34	30	12	6	20
NA	3	4	2	3	1	3
Gm7609	2	9	5	6	4	12
C130026I21Rik	0	5	4	1	5	4
Gm2666	2	8	9	10	0	24
Gm2427	8	27	2	11	3	6
NA	0	1	0	2	0	0
Sp110	414	668	734	345	346	523
Sp140	178	252	254	133	132	217
Gm10552	0	0	2	1	0	4
NA	0	0	1	2	0	1
Sp100	1772	3756	3823	1804	1425	3793
A630001G21Rik	168	243	282	116	161	159
Cab39	9386	10995	15502	8812	9101	10697
Itm2c	12097	13427	19077	9984	9643	11912
4933407L21Rik	12	15	38	15	18	21
Gpr55	4	6	6	9	31	22
Spata3	9	7	19	17	55	22
2810459M11Rik	294	368	242	694	675	824
Psmd1	4812	3886	6104	4027	5192	3800
Htr2b	29	60	43	17	24	25
Armc9	778	930	1701	1912	2289	2348
NA	9	5	5	2	0	2
B3gnt7	3728	1812	1834	470	525	479
Gm5258	0	0	0	0	0	0
Ncl	14834	15738	23099	13202	17734	18860
Snora75	9	8	20	2	7	3
Snord82	0	1	0	0	0	0
C130036L24Rik	33	52	58	32	26	65
Nmur1	3	21	19	6	2	7
Tex44	2	6	8	50	27	55
Ptma	27093	33748	47213	32447	32804	43725
Pde6d	840	855	1332	1549	1447	1962
Cops7b	553	592	913	555	600	711
Nppc	412	114	74	253	177	68
Dis3l2	856	861	1422	1579	2069	2495
Alppl2	3	2	12	0	4	2
Alpi	0	0	5	1	0	0
Akp3	0	2	0	0	1	0
Ecel1	167	118	22	2	0	4
Prss56	0	0	1	0	0	0
Chrnd	0	0	0	0	0	0
Chrng	0	0	0	0	0	1
Eif4e2	2585	2464	3564	1625	2024	1812
Efhd1	173	269	741	41	47	16
Gigyf2	3825	3592	5507	2657	3492	3006
Kcnj13	11	11	15	33	58	29
Snorc	11	15	4	12	27	0
Ngef	2351	2783	3129	2491	4011	4853
A530079E22Rik	13	36	31	9	35	27
Gm6153	6	11	19	7	19	6
Neu2	32	74	145	95	70	182
Inpp5d	1571	1359	1753	294	532	264
Atg16l1	1444	1347	2217	1055	1769	1397
Scarna6	2	0	7	2	0	0
Sag	29	26	71	67	75	67
Gm19582	10	3	0	5	20	2
Dgkd	2376	1989	2853	1940	5622	2092
Usp40	1649	1805	2473	1741	2194	2187
Ugt1a10	0	0	0	0	0	1
Ugt1a9	0	0	0	0	0	0
Ugt1a7c	2318	3136	3274	763	576	650
Ugt1a6b	27	26	92	72	51	77
Ugt1a6a	1787	1826	2504	2546	3079	2080
Ugt1a5	2	6	3	7	14	7
Ugt1a2	28	31	29	6	17	14
Dnajb3	238	147	167	127	237	95
Ugt1a1	3329	3029	2773	3732	5334	1779
Mroh2a	988	566	803	168	403	177
Hjurp	2072	1939	2588	1680	2762	1973
6430706D22Rik	0	0	0	0	0	0
Trpm8	2	0	2	4	0	4
Spp2	3	2	13	26	36	38
Glrp1	7	4	34	10	2	25
Gm19589	6	1	0	2	15	7
Arl4c	9784	7849	12571	10485	9571	12538
Platr5	0	2	0	2	2	1
1700067G17Rik	1	2	0	1	2	4
Sh3bp4	1765	2804	4236	2083	2040	3075
C030007H22Rik	0	0	0	0	0	0
Agap1	3888	4878	6702	2491	3232	2787
4933400F21Rik	0	1	3	2	2	0
Gbx2	2	0	2	0	0	0
Asb18	0	0	0	0	0	0
Iqca	331	317	967	5324	5071	10405
Ackr3	2429	1701	2444	742	1393	877
Cops8	1669	1602	3041	1725	1804	2205
Gm9991	8	4	5	0	5	0
Col6a3	22788	7986	14199	4919	18550	1616
Mlph	3964	3724	4258	2446	2674	2272
Prlh	9	9	9	1	0	2
Rab17	136	602	496	162	50	373
Lrrfip1	2597	2771	4280	2412	2586	3729
Rbm44	1	4	6	3	1	6
Ramp1	730	2837	2510	2948	2821	6896
Ube2f	1033	899	1499	962	1133	900
NA	11	11	11	6	21	19
Scly	671	919	1115	468	371	397
Espnl	10	25	69	53	86	184
NA	0	0	0	0	0	0
Klhl30	284	459	328	27	81	27
Erfe	19	27	34	18	27	23
Ilkap	1321	1666	2487	1421	1623	2036
1700020N18Rik	6	4	12	72	61	50
Hes6	826	918	1373	991	1129	1381
Per2	1350	523	1696	929	2691	2871
Traf3ip1	1259	835	1876	7435	10246	12798
Asb1	810	701	1230	688	1135	797
Twist2	508	680	879	85	100	56
Hdac4	1045	1135	2125	1437	2117	1496
Ndufa10	3280	2892	4618	2353	2973	2736
Or6b2	0	0	0	0	0	0
Or6b2b	0	0	0	0	0	0
Or6b3	0	0	0	0	0	0
Or9s23	0	0	0	0	0	0
Or9s27	0	0	0	0	0	0
Or9s15	0	0	0	0	0	0
Or9s14	0	0	0	0	0	0
Or9s13	0	0	0	0	0	0
Cops9	1070	1022	1470	868	917	1107
Otos	0	4	6	2	0	4
Gpc1	1203	2219	3166	1886	1567	2893
NA	0	0	0	0	0	2
Mir149	0	0	0	0	0	0
Ankmy1	37	43	143	540	637	1311
Dusp28	497	699	975	727	741	928
Rnpepl1	2870	3243	4878	3610	3606	4421
9430060I03Rik	3	9	4	25	12	25
Capn10	796	822	1217	1850	2258	2299
Gpr35	92	82	118	154	185	174
Aqp12	0	0	0	2	0	0
Kif1a	299	1279	1363	249	153	133
Agxt	0	0	2	2	2	6
Mab21l4	88	221	542	1491	749	1219
Crocc2	704	753	2004	14654	11661	13036
Sned1	845	2041	2570	2044	1746	1605
Mterf4	961	2117	2557	2076	1745	2819
Pask	288	210	387	455	608	767
Ppp1r7	1608	1826	2788	1730	2237	2346
Ano7	20	36	74	17	11	39
Hdlbp	22190	22120	28948	21162	27700	19978
Septin2	8771	8171	12458	6175	7807	7833
Farp2	311	255	504	412	402	525
Stk25	3893	4524	6341	4538	4809	5957
Bok	1081	1823	2877	4404	4465	6932
Thap4	932	1217	1525	1107	1043	1527
Atg4b	1655	1749	2911	1296	1647	1573
Dtymk	1470	1117	2011	1086	1354	1367
Ing5	1496	1733	2546	1104	1483	1641
D2hgdh	977	1031	1501	912	1101	1274
Gal3st2	0	0	4	0	3	11
Gal3st2b	1	0	0	1	3	0
Gm7889	2	8	1	7	3	0
Gal3st2c	8	6	31	105	205	358
Neu4	0	0	0	0	6	13
