GeneID	Bulk RNA-seq IU_0.5preg_n1	Bulk RNA-seq IU_0.5preg_n2	Bulk RNA-seq IU_0.5preg_n3	Bulk RNA-seq IA_0.5preg_n1	Bulk RNA-seq IA_0.5preg_n2	Bulk RNA-seq IA_0.5preg_n3
Ppp1r14bl	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0
Mir30c-2	0	2	0	0	0	1
Ogfrl1	347	451	242	530	721	601
Gm19673	0	0	0	0	0	0
B3gat2	57	74	51	31	30	25
Smap1	1081	1133	904	945	1128	1222
Sdhaf4	352	392	347	384	482	454
Fam135a	1157	1444	1133	1149	1673	1428
Col9a1	0	0	0	0	2	1
Col19a1	6	4	1	1	1	1
Lmbrd1	1720	2250	1693	2340	3374	2868
Adgrb3	2	2	6	0	2	2
Gm20172	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	1	0
Gm5524	0	0	0	0	0	0
Gm7846	13	20	19	18	20	21
Gm597	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Gm9898	0	0	0	0	0	0
Phf3	3102	3381	2537	3696	5010	4357
Ptp4a1	1974	1767	1857	1001	968	1213
4931428L18Rik	2	0	0	0	0	0
Lgsn	0	0	0	0	0	1
Dnaaf6	0	0	0	0	0	0
Gm4850	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0
Khdrbs2	0	0	1	1	0	0
Gm9839	0	0	0	0	0	0
Semp2l1	0	0	0	0	0	0
Prim2	195	184	135	245	471	342
1700001G17Rik	9	11	11	9	57	30
Rab23	706	917	691	2608	3958	3288
Bag2	606	718	645	1287	1591	1467
Zfp451	621	653	485	478	705	594
Gm15455	2	5	3	3	2	0
Bend6	22	14	11	4	4	4
Dst	23518	24787	20425	25062	27184	27607
Mir5103	2	9	8	10	7	7
Ccdc115	462	473	447	470	463	442
Imp4	732	672	631	593	745	712
D1Ertd448e	336	349	276	312	353	341
Ptpn18	1483	1517	1503	151	224	262
Prss39	0	2	0	0	0	0
Cfc1	5	2	1	6	13	3
Prss40	1	1	0	0	0	0
Amer3	0	1	0	6	7	5
AA619741	0	0	0	3	8	7
Arhgef4	734	749	701	1093	1446	1157
Fam168b	6024	6587	5156	4826	6091	5590
Plekhb2	8125	7921	7115	6496	5201	6043
Hs6st1	4664	4905	4124	3929	5072	4514
Uggt1	5559	5849	4694	7453	6698	7391
Neurl3	1392	1650	1404	297	370	271
Arid5a	1629	1750	1545	498	493	435
Kansl3	2710	2930	2522	2874	3822	3401
Lman2l	1719	2409	1826	2147	2998	2779
Cnnm4	651	820	712	1328	1503	1436
Cnnm3	1073	1181	1075	825	1483	998
Ankrd23	131	198	142	99	167	108
Ankrd39	194	202	166	151	223	183
Sema4c	1922	1963	1633	606	930	742
Fam178b	29	37	31	5	20	6
Cox5b	1833	2057	1888	1824	2276	2022
Actr1b	2219	2331	1941	2179	2593	2493
4933424G06Rik	3	2	1	4	3	4
Zap70	58	53	32	200	310	243
Tmem131	4399	4855	3833	4984	6995	6189
Vwa3b	217	340	213	1522	1923	1615
Cnga3	0	1	1	1	2	1
Inpp4a	1083	1066	799	790	1304	849
Coa5	2118	2152	1778	1536	1971	1901
Unc50	959	1185	971	1012	1024	1012
Mgat4a	1381	936	904	388	497	427
4930594C11Rik	0	2	0	0	1	1
NA	0	0	0	0	0	0
Cracdl	2727	4013	2896	5917	9029	7867
Gm19863	9	18	8	20	21	12
Tsga10	414	535	392	1517	2526	2014
Lipt1	142	165	117	141	172	152
Mitd1	563	508	359	390	396	360
Mrpl30	926	1023	944	581	665	751
Lyg2	4	9	1	66	95	46
Lyg1	0	1	1	0	0	0
Txndc9	1569	1533	1481	1451	1543	1506
Eif5b	3386	3139	2672	3036	2749	2866
Rev1	412	422	329	281	323	363
Aff3	292	593	304	2831	4442	3229
Lonrf2	283	256	215	31	69	39
Chst10	437	469	519	143	342	213
NA	0	0	0	0	0	0
Nms	0	4	2	2	0	1
Pdcl3	995	1033	887	801	928	895
Npas2	1618	1656	1185	992	1804	1049
Rpl31	7131	8510	7653	4794	6542	6066
Tbc1d8	1091	1195	950	723	1170	957
Cnot11	902	967	820	1018	1353	1225
Snord89	17	9	14	9	17	10
Rnf149	3103	2994	2825	1730	2317	2219
Creg2	61	121	84	128	255	177
Rfx8	1	11	7	3	11	3
Gm3646	0	2	1	0	0	0
1700066B17Rik	0	0	0	0	0	0
Map4k4	3421	3912	3051	1507	2344	1900
Gm16894	4	1	1	1	2	0
Il1r2	23	20	20	7	3	1
Il1r1	838	886	621	876	882	805
Il1rl2	187	291	185	482	736	665
Il1rl1	71	81	58	20	5	16
Il18r1	357	283	290	548	396	440
Il18rap	33	21	24	15	6	5
Slc9a4	0	0	0	2	1	1
Slc9a2	31	46	40	64	81	75
Mfsd9	323	379	264	484	657	546
Tmem182	2	11	7	0	1	3
4930448I06Rik	0	0	0	0	0	0
Pantr1	0	0	0	0	0	0
Pou3f3	1	0	0	0	1	0
2900092D14Rik	0	0	0	0	0	0
Mrps9	598	578	524	419	659	558
Gpr45	1	2	3	0	2	0
Tgfbrap1	1310	1490	1114	1290	1525	1353
AI597479	857	906	745	781	862	807
Fhl2	230	350	228	510	602	544
Gm8210	48	34	35	34	46	43
Nck2	2206	2693	2206	2829	3761	3048
NA	2	6	2	5	6	5
Ecrg4	4281	5742	5223	2597	1029	1518
Uxs1	427	589	465	794	728	925
NA	4	4	8	13	7	1
Tpp2	2012	1715	1402	2145	2114	2054
Mettl21c	0	1	1	2	1	0
Tex30	122	124	104	106	106	155
Poglut2	532	690	559	447	615	589
Bivm	521	663	509	673	832	797
Ercc5	631	710	589	579	755	643
NA	0	0	0	0	0	0
Mettl21e	0	0	0	0	0	0
Gulp1	554	760	573	432	687	648
4930521E06Rik	2	2	1	0	3	3
Col3a1	29926	38052	33953	7227	21923	15379
Col5a2	4330	4841	3893	851	2145	1671
Wdr75	577	630	496	724	508	786
Gm5526	109	144	77	49	67	58
Slc40a1	2658	1396	1190	230	463	275
Gm3852	0	0	0	0	0	0
Stk-ps2	0	0	0	1	0	0
Dnah7b	337	553	313	1717	3122	2128
Dnah7c	111	359	140	2861	4800	3475
Slc39a10	1008	1173	798	1818	2322	2099
C230029F24Rik	0	0	0	0	0	0
Tmeff2	271	234	210	37	36	34
9330175M20Rik	4	2	2	1	2	1
Cavin2	2676	2692	2417	1120	1595	1423
Nabp1	688	563	572	220	217	202
Gm17767	28	20	33	11	5	8
Myo1b	1174	1496	1113	2249	3405	3259
Stat4	24	29	13	21	9	12
Gm3940	1	2	1	1	0	0
Stat1	6467	6451	4110	2827	3388	2016
Gls	3859	3710	3569	1996	2298	2057
Nab1	2573	3166	2371	4314	4609	5134
Nemp2	239	399	254	236	558	307
Mfsd6	3838	4977	3902	6146	7550	7824
Inpp1	441	643	457	597	873	696
Hibch	349	427	360	353	483	445
1700019D03Rik	5	14	2	2	1	1
Mstn	1	0	1	0	0	0
1700019A02Rik	0	1	1	0	2	2
Pms1	73	56	68	102	147	79
Ormdl1	483	602	499	503	687	653
Osgepl1	176	213	167	151	262	196
Asnsd1	1270	1386	1267	1025	1606	1243
Dnah7a	93	172	110	841	1732	1004
Stk17b	598	650	470	302	417	436
Hecw2	202	282	201	33	74	73
Ccdc150	21	46	29	115	300	183
Gtf3c3	518	617	444	541	852	653
Pgap1	282	259	257	202	345	264
Ankrd44	556	803	590	2235	3529	2718
Sf3b1	9966	10074	8650	6684	9305	7915
Coq10b	645	574	612	463	217	439
Hspd1	2781	2835	2436	5280	5540	5880
Hspe1	1178	1299	1135	1465	1328	1532
Mob4	1276	1357	1122	1025	995	1146
Rftn2	603	674	574	60	177	108
Mars2	110	110	110	136	126	104
Boll	0	0	0	0	1	0
Plcl1	302	365	259	180	289	227
Gm6644	21	20	11	9	18	17
9130227L01Rik	0	0	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	23	37	30	13	23	26
9130024F11Rik	6	12	7	1	11	5
BC055402	0	0	0	0	0	0
4930558J18Rik	1	1	0	1	8	2
1700066M21Rik	132	205	158	167	200	231
Tyw5	219	267	164	177	204	185
Maip1	362	359	334	301	410	341
Spats2l	565	596	412	265	471	314
Kctd18	345	411	285	274	365	272
Sgo2a	132	105	92	51	118	50
Aox1	300	314	248	200	356	210
Aox3	1114	1726	1219	2502	5267	3416
Aox4	31	34	28	12	46	28
Aox2	64	52	53	20	20	30
Bzw1	6147	5787	5223	5410	4815	5937
Clk1	4873	4855	3861	1768	3363	2151
Ppil3	260	315	268	375	357	362
Nif3l1	481	483	421	609	637	689
Orc2	611	634	501	768	767	860
Gm15834	11	34	22	18	43	17
Hycc2	737	841	638	717	987	869
Ndufb3	642	799	647	642	920	860
Gm20257	59	54	59	32	32	36
Flacc1	2	4	1	10	25	15
Cflar	4963	4186	3678	3688	3501	3456
Casp8	1570	1477	1368	1034	949	1279
Trak2	1611	1717	1357	1352	1463	1581
Stradb	424	518	427	375	543	478
C2cd6	0	0	0	0	2	1
Tmem237	276	320	220	550	793	640
Mpp4	7	21	8	6	24	10
Als2	502	554	424	561	751	707
Cdk15	6	14	10	0	3	2
Fzd7	1463	1500	1228	364	766	509
Gm973	427	899	584	3791	6095	4470
Sumo1	1304	1420	1129	1140	1299	1428
Nop58	1037	973	862	1337	1159	1298
Snord70	2	1	0	1	1	3
Snord11	0	0	0	0	1	0
Bmpr2	1356	1412	1139	1496	2130	1751
NA	207	211	150	183	253	257
Fam117b	1512	1485	1195	884	1143	915
Ica1l	20	20	17	20	18	25
Wdr12	280	296	251	357	382	417
Carf	135	191	151	216	321	195
Gm15464	6	4	15	3	4	8
Nbeal1	1727	1954	1385	2222	3049	2375
Cyp20a1	588	637	504	579	647	702
Abi2	939	1071	752	1416	2052	1936
Raph1	991	853	657	761	819	806
NA	2	3	4	2	0	1
Gm11578	0	0	1	2	3	0
Cd28	14	6	10	4	8	8
Gm11579	0	0	0	0	0	0
Ctla4	6	0	1	1	0	0
Icos	22	6	4	11	9	1
9530026F06Rik	0	0	0	0	0	0
Pard3b	680	871	606	609	1044	781
Nrp2	1953	1865	1403	235	350	309
4930487H11Rik	4	4	3	2	0	1
Ino80d	1562	1821	1359	1568	2278	1716
Ino80dos	56	85	57	75	148	84
Gm20342	58	74	43	37	88	54
Ndufs1	1392	1524	1254	1738	1895	2006
Eef1b2	11360	11647	11517	5536	7725	7663
Snora41	8	1	6	4	3	2
Cmklr2	45	29	36	5	5	11
Zdbf2	226	317	394	74	78	84
Adam23	46	18	29	9	5	4
Dytn	2	12	2	43	127	51
Mdh1b	94	151	88	1035	1550	1211
Fastkd2	335	416	317	431	465	444
4933402D24Rik	3	9	2	11	13	13
Gm13749	0	1	0	0	0	2
Klf7	229	239	182	137	247	169
Creb1	1700	1602	1267	1417	1587	1551
Mettl21a	554	730	579	461	652	584
2810408I11Rik	18	19	21	13	10	2
Ccnyl1	344	319	246	224	206	194
Fzd5	1370	1353	1354	470	264	373
Plekhm3	956	999	811	756	1167	982
Akr1cl	20	24	3	7	8	5
Gm8550	1	1	1	0	1	2
Cryge	0	0	0	1	0	0
Crygd	0	0	0	0	2	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	0	1	0
Cryga	0	0	0	0	0	0
D630023F18Rik	3	2	3	0	0	0
Idh1	2154	2050	1513	929	1055	952
Pikfyve	1246	1269	994	1017	1109	1090
Pth2r	3	0	0	1	2	0
Crygf	0	0	0	0	0	0
Map2	87	151	75	172	457	246
Gm10558	0	0	0	0	0	0
Unc80	0	4	0	37	28	20
Rpe	1021	1105	942	925	1134	1204
Kansl1l	992	939	723	726	1115	868
Acadl	2247	1613	1480	1406	2064	1728
NA	3	2	3	3	1	1
Myl1	4	3	2	3	1	0
Lancl1	841	877	773	568	922	696
Cps1	2	2	0	0	0	1
Erbb4	11	21	16	33	31	14
Gm19335	0	0	0	0	0	0
Ikzf2	713	738	576	970	1373	1160
Spag16	161	192	136	1350	1729	1348
Vwc2l	0	0	0	1	0	0
Bard1	52	50	56	55	116	66
Abca12	0	0	0	0	5	5
Atic	1601	1763	1288	2686	3101	3221
Fn1	15651	29594	15959	47501	57246	60018
Apol7d	2	6	13	7	15	7
Gm8883	38	80	65	168	282	262
4933417E11Rik	5	9	4	6	19	10
Gm5528	0	0	1	0	0	2
Mreg	18	16	13	84	63	67
Pecr	236	323	272	348	450	425
Tmem169	7	4	2	2	5	3
Xrcc5	661	745	624	1173	1358	1288
Marchf4	319	558	332	2642	4039	2888
Smarcal1	1248	1413	1274	1769	2164	1895
Ankar	0	2	0	0	0	0
Rpl37a	5153	6601	6565	3304	4538	3988
Igfbp2	325	246	90	1163	2034	1660
Igfbp5	35757	37132	27741	23781	34691	25980
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Pinc	0	0	2	0	0	0
D530049I02Rik	0	1	0	0	0	0
6030407O03Rik	41	47	51	14	90	36
Tns1	16934	16534	12737	6343	9138	9719
Rufy4	99	85	74	25	80	48
NA	0	0	0	0	0	0
Cxcr2	28	13	28	7	2	0
Cxcr1	0	1	2	3	4	2
Mir1928	0	0	0	0	0	0
Arpc2	6253	6319	5117	6235	6654	7065
Gpbar1	20	31	8	7	6	4
Aamp	4212	4304	3709	4161	5063	4569
Pnkd	1012	1396	1011	1830	3639	2714
Tmbim1	3770	3364	3172	2012	1897	2378
Catip	266	393	274	1572	2590	1930
Slc11a1	232	252	192	99	93	117
Ctdsp1	5047	5891	4839	4297	5902	5163
Mir26b	0	1	3	0	2	0
Vil1	40	42	37	12	27	23
Usp37	870	802	709	1143	1647	1362
Cnot9	940	942	738	1326	1682	1516
Plcd4	43	73	40	33	75	46
Zfp142	939	949	801	773	793	832
Bcs1l	302	314	277	270	255	279
Rnf25	869	926	799	613	796	673
Stk36	571	855	558	2269	3865	2703
Ttll4	431	635	422	1633	1953	1634
Cyp27a1	614	904	806	56	163	99
Prkag3	6	7	2	3	0	1
Wnt6	53	54	50	38	84	56
Wnt10a	1	0	0	0	0	0
Cdk5r2	5	1	4	0	4	1
Fev	0	1	0	0	0	0
Cryba2	0	0	0	2	5	6
Mir375	0	0	0	0	0	0
Cfap65	1105	2345	1112	11475	22083	14595
Ihh	88	135	136	10	12	8
Nhej1	70	123	86	66	117	112
Slc23a3	34	60	49	192	84	171
Cnppd1	2229	2510	2201	1439	1982	1994
Retreg2	4467	5369	4836	4151	5038	4942
Zfand2b	490	535	493	392	498	376
Abcb6	304	336	250	494	666	611
Atg9a	2285	2384	1995	1392	1689	1672
Ankzf1	978	1028	871	516	828	728
Glb1l	506	738	590	619	996	760
Stk16	1197	1622	1254	1361	1330	1455
Tuba4a	1116	1083	1319	589	170	456
A630095N17Rik	1	5	2	2	6	0
Dnajb2	2982	3168	3059	4415	5108	4484
Ptprn	18	27	25	40	42	29
Resp18	0	0	0	0	0	0
Dnpep	2032	2038	1707	2118	1915	2024
Des	15383	11919	7825	3927	4672	4151
Gm15179	2	0	1	1	4	3
Speg	1194	1576	1210	387	720	580
Gmppa	2039	2102	1842	1628	1624	1654
NA	2	2	3	0	0	0
Asic4	28	25	19	13	50	52
Chpf	2214	2459	1903	2919	3191	3111
Tmem198	44	66	58	33	63	47
Obsl1	1043	1143	845	359	903	563
Inha	74	119	89	78	246	115
Stk11ip	956	1173	909	1434	2445	1775
Slc4a3	626	801	571	390	636	465
NA	0	0	0	0	0	0
Gm17751	0	0	0	1	0	0
Epha4	2101	2087	1837	1276	1392	1212
Pax3	0	0	0	0	0	0
Gm2102	0	0	0	1	1	0
Sgpp2	152	106	56	195	360	300
Farsb	1240	1288	1004	1666	1617	1718
Mogat1	214	206	180	35	22	25
Acsl3	1008	999	752	3967	4885	4635
Utp14b	132	154	90	441	646	483
Kcne4	398	346	277	81	190	154
Scg2	3	3	0	4	3	0
NA	3	2	15	1	1	1
Ap1s3	474	451	491	267	300	376
Wdfy1	676	826	621	448	705	535
Gm10555	1	0	1	0	0	0
Mrpl44	537	595	484	597	649	720
NA	0	1	0	0	0	2
Serpine2	670	843	481	1313	1775	1498
Fam124b	9	11	11	1	1	0
Cul3	2941	2931	2537	3179	3767	3727
1700016L21Rik	0	1	0	2	5	2
Dock10	372	307	239	78	114	110
Nyap2	0	1	0	0	2	0
Irs1	2488	2657	1945	4461	4865	4258
Gm19537	15	10	3	9	16	16
Rhbdd1	1050	1251	986	1202	1649	1460
Gm19552	2	4	0	1	2	2
Col4a4	586	781	606	108	300	148
Col4a3	160	393	226	68	309	157
Mff	1504	1892	1512	1387	1712	1715
Tm4sf20	0	1	4	0	3	2
Gm17764	0	0	0	0	0	0
Agfg1	1359	1342	1097	1139	1202	1228
Slc19a3	20	20	19	1	10	6
Krtap28-13	0	2	1	1	0	0
Ccl20	132	179	136	2	3	0
Daw1	61	128	65	624	1173	779
Sphkap	5	4	1	5	7	3
Pid1	956	1298	935	435	781	605
Dner	6	13	7	45	134	86
Mir5126	0	0	0	0	0	0
Trip12	8305	7895	6293	7356	9258	8281
Fbxo36	383	581	426	1705	2467	2005
Slc16a14	404	259	224	6	7	16
Gm15433	6	5	4	0	0	1
A530032D15Rik	23	10	14	12	18	8
A530040E14Rik	40	33	27	10	8	7
NA	1	2	3	0	0	1
Gm7609	44	7	0	1	3	3
C130026I21Rik	3	3	0	1	1	1
Gm2666	3	10	6	4	5	6
Gm2427	5	1	1	3	3	2
NA	3	1	1	0	0	3
Sp110	518	543	339	225	368	272
Sp140	326	221	210	103	138	113
Gm10552	2	1	1	3	1	1
NA	1	0	0	0	2	0
Sp100	3056	2827	1800	1182	2202	1398
A630001G21Rik	141	111	111	39	100	77
Cab39	5574	5972	4859	5809	6795	6557
Itm2c	9089	10849	9062	7617	8486	8011
4933407L21Rik	7	3	3	8	14	10
Gpr55	4	5	5	9	14	15
Spata3	1	3	0	12	34	17
2810459M11Rik	194	282	200	424	610	477
Psmd1	2530	2667	2137	3433	2971	3482
Htr2b	34	26	29	15	14	15
Armc9	493	612	427	1357	1744	1403
NA	7	4	3	0	2	2
B3gnt7	1566	1368	1274	341	286	303
Gm5258	1	0	0	0	0	0
Ncl	8606	8445	7072	8667	10087	9681
Snora75	2	5	3	1	1	0
Snord82	0	0	0	0	0	0
C130036L24Rik	12	23	10	8	16	7
Nmur1	0	6	4	0	6	5
Tex44	1	2	2	6	44	13
Ptma	16869	19751	17316	19802	26685	22616
Pde6d	483	534	412	749	1121	1003
Cops7b	325	403	288	394	467	430
Nppc	100	149	133	656	61	202
Dis3l2	478	581	454	886	1221	1155
Alppl2	15	9	13	1	3	1
Alpi	0	0	0	0	0	0
Akp3	1	1	0	0	0	0
Ecel1	162	113	157	2	5	3
Prss56	1	3	0	0	3	0
Chrnd	0	0	0	0	0	0
Chrng	0	0	1	0	0	0
Eif4e2	1659	1707	1474	1207	1238	1353
Efhd1	1497	1513	1521	25	23	12
Gigyf2	2287	2422	1987	2082	2422	2155
Kcnj13	5	11	9	14	27	20
Snorc	5	7	5	1	10	4
Ngef	1630	1472	1251	1551	2513	2074
A530079E22Rik	12	10	21	6	22	3
Gm6153	2	1	1	4	1	4
Neu2	29	41	21	55	82	57
Inpp5d	927	815	666	293	293	292
Atg16l1	1019	926	890	784	844	849
Scarna6	2	2	1	2	3	1
Sag	30	31	18	51	69	38
Gm19582	0	2	2	0	1	2
Dgkd	1266	1749	1286	1368	1788	1668
Usp40	1182	1524	1083	1218	1927	1579
Ugt1a10	0	0	0	0	0	0
Ugt1a9	0	0	0	0	0	0
Ugt1a7c	2271	1915	2088	571	565	748
Ugt1a6b	16	32	30	17	22	39
Ugt1a6a	1285	2026	1514	2518	3311	3551
Ugt1a5	8	1	1	1	10	5
Ugt1a2	12	15	9	13	46	28
Dnajb3	97	89	73	73	213	104
Ugt1a1	2214	3486	2664	3898	4782	6037
Mroh2a	343	390	329	182	208	212
Hjurp	1478	1698	1515	1720	3171	2266
6430706D22Rik	0	0	0	0	0	0
Trpm8	0	2	5	1	2	4
Spp2	1	6	3	22	46	31
Glrp1	1	7	2	0	10	4
Gm19589	0	0	0	5	5	9
Arl4c	5239	6230	5621	6748	6645	6854
Platr5	0	0	0	1	1	1
1700067G17Rik	0	0	0	0	1	0
Sh3bp4	1820	1905	1698	1491	1952	1759
C030007H22Rik	0	0	0	0	0	0
Agap1	2963	3119	2487	1980	2324	2225
4933400F21Rik	0	3	0	0	4	1
Gbx2	0	0	1	0	0	0
Asb18	0	0	0	0	0	0
Iqca	162	470	200	3123	4660	3460
Ackr3	853	1135	927	641	444	644
Cops8	1154	1158	950	1065	1321	1211
Gm9991	1	2	2	0	3	1
Col6a3	5339	4767	3302	2076	4427	3320
Mlph	1763	2311	1888	1722	2456	2785
Prlh	7	2	9	1	4	4
Rab17	196	265	254	43	121	85
Lrrfip1	2268	2071	1800	1580	2009	1725
Rbm44	3	5	2	4	1	2
Ramp1	1663	1759	1288	1143	1778	1458
Ube2f	715	741	599	898	662	832
NA	9	6	1	7	6	8
Scly	701	655	555	421	285	337
Espnl	12	17	15	25	107	60
NA	0	0	0	0	0	0
Klhl30	228	270	170	10	18	11
Erfe	20	28	28	10	14	13
Ilkap	1139	1240	1048	861	1223	970
1700020N18Rik	2	2	2	26	25	12
Hes6	443	487	416	532	714	643
Per2	294	184	234	561	585	635
Traf3ip1	491	790	492	4339	6997	4765
Asb1	409	439	314	485	606	452
Twist2	306	237	199	28	45	36
Hdac4	742	1009	640	1084	1537	1263
Ndufa10	1676	1682	1486	1476	1939	1725
Or6b2	0	0	0	0	0	0
Or6b2b	0	0	0	0	0	0
Or6b3	0	0	0	0	0	0
Or9s23	0	0	0	0	0	0
Or9s27	0	0	0	0	0	0
Or9s15	0	0	0	0	0	0
Or9s14	0	0	0	0	0	0
Or9s13	0	0	0	0	0	0
Cops9	681	769	698	522	646	630
Otos	1	0	0	0	1	1
Gpc1	1018	1166	819	958	1451	1087
NA	0	0	1	0	0	0
Mir149	0	1	0	0	1	0
Ankmy1	24	41	31	258	494	348
Dusp28	301	378	351	347	452	361
Rnpepl1	1929	2104	1615	2212	3006	2800
9430060I03Rik	6	8	1	6	25	14
Capn10	544	658	531	1311	1749	1538
Gpr35	226	125	93	84	180	82
Aqp12	1	0	0	0	0	0
Kif1a	686	708	585	96	146	137
Agxt	0	2	0	1	0	2
Mab21l4	97	217	101	862	1466	1203
Crocc2	229	1203	328	6811	16429	10978
Sned1	938	1428	1093	1176	2245	1379
Mterf4	1023	1319	1130	956	1692	1284
Pask	162	204	126	294	529	466
Ppp1r7	1031	1179	935	1179	1541	1415
Ano7	11	16	18	8	27	17
Hdlbp	20882	19271	17034	24197	20677	22241
Septin2	5451	5488	4645	4306	5239	5015
Farp2	194	222	137	368	388	343
Stk25	3039	3096	2812	2613	3496	3057
Bok	813	1259	796	3146	4282	3415
Thap4	925	824	684	686	885	775
Atg4b	1363	1420	1121	1076	1196	1166
Dtymk	527	775	615	742	819	831
Ing5	1047	1105	870	779	978	804
D2hgdh	600	678	562	600	970	750
Gal3st2	1	0	0	0	4	3
Gal3st2b	0	0	0	0	0	0
Gm7889	0	4	2	0	12	4
Gal3st2c	5	5	5	57	86	41
Neu4	0	0	0	0	2	1
Pdcd1	33	20	7	22	14	7
4930440C22Rik	0	0	0	0	0	0
Fam174a	659	994	770	1181	1569	1363
St8sia4	370	383	260	56	131	97
4930598F16Rik	0	0	0	0	0	0
NA	9	15	12	15	11	22
1700063A18Rik	0	0	0	0	0	0
4930533P14Rik	0	0	0	0	0	0
Slco4c1	41	38	27	74	148	132
Panct2	112	132	122	185	316	194
Slco6b1	0	0	3	0	0	1
Slco6c1	0	0	0	1	0	0
Gm7133	0	0	0	0	0	0
Gm7135	0	1	0	5	16	7
Macir	1058	1043	820	1804	2481	2208
Ppip5k2	1049	1148	846	1225	1425	1360
Gin1	122	194	119	161	278	176
Pam	2540	2286	1869	1281	1658	1243
B230216N24Rik	1	2	2	5	5	2
