GeneID	Bulk RNA-seq IU_1.5preg_n1	Bulk RNA-seq IU_1.5preg_n2	Bulk RNA-seq IU_1.5preg_n3	Bulk RNA-seq IA_1.5preg_n1	Bulk RNA-seq IA_1.5preg_n2	Bulk RNA-seq IA_1.5preg_n3
Prdm14	0	1	0	0	0	2
Ncoa2	8253	8172	5704	9243	6512	9480
Tram1	10758	10963	8895	10745	8153	11502
Lactb2	958	1001	804	1579	1262	1916
Xkr9	0	0	2	6	4	6
Gm5523	4	3	3	2	0	1
Eya1	10	5	7	20	2	19
Msc	111	93	92	54	18	15
Trpa1	6	3	2	0	0	0
Kcnb2	267	269	252	86	60	134
Terf1	839	797	797	999	756	1154
Sbspon	4667	4802	4593	417	309	497
Gm7634	0	0	2	1	0	0
4930444P10Rik	87	35	50	351	252	375
Rpl7	53234	49006	48209	32413	24851	40139
Rdh10	7411	6290	6594	2660	1906	2687
Stau2	2173	1845	1948	1154	867	1305
Ube2w	3567	2862	2570	2043	1407	2228
Eloc	2029	1712	1484	1327	1013	1625
D030040B21Rik	0	6	5	16	14	15
Tmem70	3499	2810	2551	1457	992	1512
Ly96	379	243	219	196	125	239
Jph1	293	210	185	120	64	107
Gdap1	52	26	40	164	82	223
Pi15	3091	2323	1851	779	260	421
Crispld1	1284	1066	782	596	257	435
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	2	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
NA	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0
Pkhd1	338	431	157	39	15	28
4930486I03Rik	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	1	0	0	0	1	0
Il17f	0	0	0	0	2	0
Mcm3	969	608	565	399	259	400
6720483E21Rik	29	36	23	58	47	66
Paqr8	2672	2681	2405	3382	3095	4514
Efhc1	1827	1657	1725	10455	9332	13515
Tram2	339	211	180	265	155	214
Tmem14a	681	588	490	458	330	595
Gsta3	1807	2087	1461	808	485	700
Gm4956	25	27	18	9	2	3
Khdc1a	9	8	4	0	0	4
Khdc1c	0	0	0	0	0	1
Khdc1b	0	2	0	10	1	4
Kcnq5	181	140	101	204	185	208
Rims1	253	192	105	53	16	13
Ppp1r14bl	0	0	0	0	0	0
Mir30a	0	0	0	0	0	0
Mir30c-2	0	0	2	0	1	0
Ogfrl1	1306	937	944	1111	741	1065
Gm19673	0	1	0	0	0	0
B3gat2	128	100	39	76	35	52
Smap1	2737	1976	1964	1739	1069	1650
Sdhaf4	986	1000	885	895	748	1207
Fam135a	2546	2404	2110	2826	1864	3055
Col9a1	0	0	0	0	0	6
Col19a1	16	3	0	7	0	5
Lmbrd1	4504	4184	3482	7163	5813	8166
Adgrb3	7	2	6	8	0	1
Gm20172	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	2	2
Gm5524	0	0	0	0	0	0
Gm7846	44	56	39	39	28	32
Gm597	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Gm9898	4	2	0	0	0	2
Phf3	8563	7941	6306	9767	6965	9912
Ptp4a1	2826	3235	2268	1691	1355	1585
4931428L18Rik	3	8	3	0	0	0
Lgsn	0	0	1	1	0	2
Dnaaf6	0	0	0	0	1	1
Gm4850	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0
Khdrbs2	0	0	0	2	0	0
Gm9839	0	0	0	0	0	0
Semp2l1	0	0	1	0	0	0
Prim2	588	452	424	725	455	908
1700001G17Rik	26	20	28	109	84	114
Rab23	2554	2073	1969	6624	5692	7852
Bag2	2742	1914	1906	3361	3132	4188
Zfp451	1592	1341	1083	1541	977	1466
Gm15455	5	5	4	1	4	9
Bend6	108	40	36	6	6	7
Dst	54276	46338	34548	47084	29012	40984
Mir5103	5	10	5	8	6	11
Ccdc115	1355	1286	1233	960	752	1070
Imp4	1811	1425	1241	1246	1010	1448
D1Ertd448e	1079	726	622	770	432	748
Ptpn18	1920	1467	1447	439	273	462
Prss39	0	1	6	0	0	0
Cfc1	24	21	21	128	156	177
Prss40	2	0	1	9	3	4
Amer3	20	11	21	84	61	137
AA619741	5	6	0	4	4	6
Arhgef4	2304	2227	1964	2586	2325	2977
Fam168b	16108	12815	11117	12228	8954	13165
Plekhb2	14324	13896	12082	9167	6903	9997
Hs6st1	10853	9525	8696	10368	8206	12350
Uggt1	9945	10041	8222	8762	7230	9331
Neurl3	1366	1050	965	1032	783	886
Arid5a	1104	1016	691	1257	773	1028
Kansl3	7057	6067	5383	7880	5485	8034
Lman2l	4501	3539	3453	4846	3093	4932
Cnnm4	1825	1936	1528	2593	1932	2868
Cnnm3	2947	2453	2056	3396	2287	3144
Ankrd23	302	337	286	405	188	267
Ankrd39	561	454	426	474	267	479
Sema4c	4041	3413	2783	1708	922	1332
Fam178b	72	54	73	41	25	76
Cox5b	4448	4156	3853	3150	2423	3360
Actr1b	4955	4315	3781	4312	3266	4929
4933424G06Rik	0	0	1	3	1	9
Zap70	151	127	123	760	603	793
Tmem131	12525	10724	8420	12612	8574	13301
Vwa3b	998	949	825	6417	5168	7262
Cnga3	2	0	0	4	6	8
Inpp4a	3010	2188	1721	3015	1993	2378
Coa5	5885	4828	4074	3825	2580	4053
Unc50	2405	2224	2015	1923	1380	2222
Mgat4a	2483	2335	1633	1006	539	823
4930594C11Rik	4	10	1	2	4	4
NA	0	0	0	0	0	1
Cracdl	6229	4976	4907	15100	11839	16625
Gm19863	2	10	11	28	11	18
Tsga10	1332	1173	1167	5553	4394	6226
Lipt1	435	330	245	393	287	400
Mitd1	793	650	640	618	452	629
Mrpl30	2055	1966	1631	1766	1169	1904
Lyg2	77	48	49	408	342	346
Lyg1	2	0	0	0	0	0
Txndc9	3442	2781	2502	3051	2228	3493
Eif5b	7118	5737	5134	5302	3888	5603
Rev1	1041	846	667	782	480	622
Aff3	2067	1912	1416	9633	8174	11134
Lonrf2	1407	816	767	259	86	128
Chst10	9988	12496	10058	371	262	408
NA	9	8	5	0	0	0
Nms	17	19	33	6	2	0
Pdcl3	3301	3019	2632	1624	1323	2068
Npas2	2532	2843	1831	2310	1487	2672
Rpl31	17445	15828	14604	10085	7796	11910
Tbc1d8	2685	1816	1743	2078	1281	2087
Cnot11	2657	2121	1852	2269	1833	2445
Snord89	18	14	14	23	9	14
Rnf149	5381	5286	4807	4022	2933	4377
Creg2	325	255	225	828	706	922
Rfx8	23	30	24	24	7	19
Gm3646	0	3	0	0	0	0
1700066B17Rik	0	0	0	0	0	0
Map4k4	6651	5334	4588	5242	3094	4993
Gm16894	10	6	2	0	2	0
Il1r2	36	5	8	17	0	7
Il1r1	1874	1512	1477	1876	1170	1838
Il1rl2	439	296	277	1529	1224	1623
Il1rl1	176	124	132	29	32	59
Il18r1	654	521	540	1588	1096	1743
Il18rap	15	23	0	10	6	11
Slc9a4	0	0	0	0	2	0
Slc9a2	130	112	121	165	57	154
Mfsd9	752	732	663	1713	1395	1922
Tmem182	13	12	1	6	2	3
4930448I06Rik	0	0	0	0	0	0
Pantr1	0	0	1	0	0	0
Pou3f3	12	12	0	0	0	0
2900092D14Rik	2	2	0	0	0	0
Mrps9	1304	1145	1007	1404	923	1657
Gpr45	5	7	0	1	2	0
Tgfbrap1	6055	6794	4132	2681	1973	2417
AI597479	2254	1902	1645	1690	1264	1785
Fhl2	1112	644	596	1000	916	1210
Gm8210	85	40	94	74	85	96
Nck2	5908	5012	4906	6683	5519	8266
NA	2	2	0	26	4	1
Ecrg4	15708	12945	17502	2599	1057	2113
Uxs1	1321	1211	1074	916	861	1121
NA	15	5	9	5	3	25
Tpp2	4186	3237	3049	3806	2525	4072
Mettl21c	0	0	0	3	0	5
Tex30	190	190	136	172	131	178
Poglut2	1973	1672	1447	1491	1006	1309
Bivm	1544	1504	1402	1775	1289	2098
Ercc5	1401	1216	1021	1769	1263	1713
NA	0	0	0	0	0	0
Mettl21e	0	0	0	0	0	0
Gulp1	2010	1541	1459	1623	910	1569
4930521E06Rik	1	0	0	4	4	7
Col3a1	95554	71911	74654	20819	6076	16666
Col5a2	9086	6258	6170	2751	589	1317
Wdr75	1772	1294	1231	1065	845	1037
Gm5526	608	369	264	136	45	73
Slc40a1	1682	869	826	1862	884	1506
Gm3852	0	0	2	0	0	0
Stk-ps2	0	0	0	0	0	4
Dnah7b	1656	1355	1257	7873	5475	7876
Dnah7c	1266	1496	1078	13606	10966	15012
Slc39a10	3284	2504	2213	3340	2282	2979
C230029F24Rik	0	0	0	0	0	0
Tmeff2	480	432	382	110	72	100
9330175M20Rik	8	0	0	2	0	6
Cavin2	7790	6451	5263	3751	2545	3659
Nabp1	728	554	491	498	342	508
Gm17767	10	10	7	0	10	5
Myo1b	2667	1947	1861	5109	4026	5894
Stat4	54	38	28	14	18	8
Gm3940	4	2	9	0	0	4
Stat1	6332	5264	4651	2878	2213	3111
Gls	6592	5101	4725	6213	3431	5118
Nab1	7126	6242	5527	7691	5999	8665
Nemp2	829	648	638	1205	695	1159
Mfsd6	8579	8201	7046	12271	9159	13350
Inpp1	1392	1248	1047	1712	1314	1916
Hibch	1095	1093	1081	822	672	1117
1700019D03Rik	40	74	35	16	2	7
Mstn	7	9	2	0	0	0
1700019A02Rik	1	4	1	1	2	0
Pms1	256	193	222	255	163	250
Ormdl1	1110	1280	1149	988	685	1271
Osgepl1	519	481	415	518	386	542
Asnsd1	3238	2636	2642	3055	1821	3613
Dnah7a	482	560	484	4608	3287	5481
Stk17b	2511	1669	1553	1233	538	811
Hecw2	630	479	397	289	64	132
Ccdc150	120	116	73	1055	542	712
Gtf3c3	1488	1199	1106	1667	1200	1743
Pgap1	816	561	491	636	339	531
Ankrd44	1968	1657	1554	7907	6825	9329
Sf3b1	19835	17043	14728	18566	12508	18574
Coq10b	1048	647	609	615	364	400
Hspd1	9594	8126	6849	8619	8401	10733
Hspe1	3095	3078	2803	2374	2302	2904
Mob4	3651	3248	2739	1930	1319	2051
Rftn2	930	706	524	420	153	230
Mars2	393	316	262	224	167	222
Boll	0	0	0	2	0	0
Plcl1	1201	1161	856	492	233	410
Gm6644	29	39	35	36	14	20
9130227L01Rik	0	1	0	0	0	0
Hsfy2	0	0	0	0	0	0
Satb2	70	80	64	75	47	43
9130024F11Rik	21	48	8	9	9	17
BC055402	3	5	2	1	0	0
4930558J18Rik	11	4	5	4	0	1
1700066M21Rik	418	324	287	403	210	397
Tyw5	432	416	361	347	233	381
Maip1	890	768	725	698	547	702
Spats2l	1878	1674	1306	1206	627	1138
Kctd18	849	646	569	767	534	781
Sgo2a	213	91	104	224	53	133
Aox1	609	541	448	891	606	624
Aox3	3845	2631	2761	10582	5313	9172
Aox4	143	107	110	56	18	58
Aox2	145	142	134	12	6	20
Bzw1	11053	9535	8764	8237	6531	8909
Clk1	7063	6258	5090	9186	4939	7350
Ppil3	746	690	668	843	694	955
Nif3l1	1368	1138	1050	1152	910	1302
Orc2	1892	1721	1557	1608	1241	1748
Gm15834	55	44	24	87	41	72
Hycc2	2239	1872	1528	2049	1388	1899
Ndufb3	1815	1646	1454	1494	1374	1633
Gm20257	117	63	61	72	35	30
Flacc1	15	24	11	67	25	48
Cflar	8038	6883	5661	6533	3642	5672
Casp8	2659	2457	2056	1457	1278	1703
Trak2	4317	3366	3045	2845	1496	2458
Stradb	1213	1059	1021	982	723	1222
C2cd6	2	0	0	2	0	0
Tmem237	1060	743	796	1564	1294	1848
Mpp4	11	11	8	66	13	48
Als2	1184	767	696	1218	864	1215
Cdk15	31	8	15	8	2	5
Fzd7	3244	1932	2157	2015	1169	1544
Gm973	2241	2659	2035	14855	13778	19821
Sumo1	3024	3079	2574	2744	2171	3190
Nop58	2971	2246	2139	2084	1614	2161
Snord70	0	2	2	2	1	0
Snord11	0	0	0	0	0	0
Bmpr2	3682	2988	2290	4337	2569	3527
NA	350	347	223	392	282	420
Fam117b	3082	2431	2196	2985	1685	2335
Ica1l	59	43	48	79	57	69
Wdr12	971	734	694	594	405	613
Carf	446	384	363	852	476	630
Gm15464	10	13	11	7	8	3
Nbeal1	4151	4482	3019	7077	4488	5681
Cyp20a1	1520	1362	1189	1173	835	1175
Abi2	3033	2845	2361	3221	2443	3589
Raph1	1532	1487	921	1629	886	1449
NA	2	2	0	2	0	4
Gm11578	2	0	2	0	2	7
Cd28	17	23	14	6	8	11
Gm11579	0	0	0	0	0	0
Ctla4	1	4	4	0	2	0
Icos	38	35	39	26	2	6
9530026F06Rik	0	0	0	2	0	1
Pard3b	2965	2359	2013	2335	1574	2443
Nrp2	5118	2986	2840	1168	365	636
4930487H11Rik	6	7	4	2	0	2
Ino80d	4005	3669	2457	4711	2896	3592
Ino80dos	112	100	94	218	106	179
Gm20342	93	100	59	167	91	86
Ndufs1	4267	3570	3048	2943	2393	3393
Eef1b2	21456	19953	19836	13727	10273	15445
Snora41	21	18	9	13	6	4
Cmklr2	24	46	29	36	17	14
Zdbf2	264	214	202	104	91	89
Adam23	139	63	80	14	4	12
Dytn	34	25	22	335	179	162
Mdh1b	557	521	472	4093	3520	5090
Fastkd2	983	809	766	901	630	866
4933402D24Rik	7	8	17	29	13	32
Gm13749	7	9	8	2	4	2
Klf7	564	451	304	473	238	375
Creb1	3869	2944	2632	3379	2129	3130
Mettl21a	1118	1023	864	1242	854	1240
2810408I11Rik	11	6	10	2	2	0
Ccnyl1	695	527	454	289	169	242
Fzd5	1955	2060	1473	342	181	290
Plekhm3	1806	1877	1275	2276	1935	2493
Akr1cl	6	16	12	0	0	15
Gm8550	0	0	0	0	0	0
Cryge	2	0	0	0	0	0
Crygd	0	0	0	2	0	0
Crygc	0	0	0	0	0	0
Crygb	0	0	0	1	0	4
Cryga	0	0	0	0	0	0
D630023F18Rik	0	1	5	3	4	9
Idh1	3639	3102	2704	1498	901	1724
Pikfyve	2682	2296	1961	2032	1451	1970
Pth2r	0	0	0	2	0	2
Crygf	0	0	0	0	0	0
Map2	346	368	285	666	350	752
Gm10558	0	0	0	0	0	0
Unc80	42	21	16	241	93	198
Rpe	2272	2171	1968	1718	1345	1823
Kansl1l	2273	1758	1601	2814	1597	2361
Acadl	3414	3054	2379	3614	2346	3751
NA	0	4	1	1	1	3
Myl1	6	14	6	0	0	1
Lancl1	2217	1866	1621	2221	1521	2285
Cps1	4	5	6	5	2	16
Erbb4	92	86	86	175	100	171
Gm19335	0	0	0	2	0	0
Ikzf2	2027	2399	1592	3157	2209	2852
Spag16	502	519	525	4076	3417	4813
Vwc2l	0	0	0	2	0	0
Bard1	125	70	79	132	55	126
Abca12	2	0	2	2	7	10
Atic	5666	5307	4511	5296	4868	6306
Fn1	95464	62582	52034	58510	33161	49200
Apol7d	7	21	14	26	30	40
Gm8883	103	70	105	154	148	241
4933417E11Rik	11	18	0	27	23	17
Gm5528	1	0	1	1	0	0
Mreg	47	19	28	170	144	217
Pecr	710	667	626	595	443	640
Tmem169	21	6	10	0	0	8
Xrcc5	2179	1860	1669	2437	2210	3111
Marchf4	1266	1401	1168	9994	8440	11542
Smarcal1	3824	3133	2964	4319	3333	4581
Ankar	0	0	4	0	0	0
Rpl37a	12668	11891	9310	8358	6768	8014
Igfbp2	918	1193	657	5393	5233	6898
Igfbp5	100420	69358	76836	72031	46841	72621
Tnp1	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0
Pinc	0	0	0	0	1	0
D530049I02Rik	0	2	0	0	1	0
6030407O03Rik	86	38	66	46	14	77
Tns1	54436	33787	28722	18292	8036	13238
Rufy4	98	48	61	138	82	134
NA	0	0	0	0	0	0
Cxcr2	98	28	20	2	0	0
Cxcr1	6	0	4	11	4	4
Mir1928	0	0	0	0	0	0
Arpc2	13589	11853	10330	10583	7875	12496
Gpbar1	115	101	60	4	2	7
Aamp	9142	8805	7439	8717	6904	10198
Pnkd	4004	5544	3361	4854	3408	5174
Tmbim1	6353	5787	5029	3695	2281	3735
Catip	878	986	782	6279	4985	6170
Slc11a1	544	374	315	238	105	123
Ctdsp1	14560	12308	10637	9939	7017	10564
Mir26b	6	1	3	3	0	1
Vil1	87	69	68	31	13	27
Usp37	1822	1722	1407	3050	2502	3284
Cnot9	2623	2185	1909	3093	2552	3781
Plcd4	186	147	110	148	147	118
Zfp142	2177	1576	1241	1907	1089	1527
Bcs1l	714	734	642	538	362	629
Rnf25	1813	1672	1427	1516	958	1601
Stk36	1656	1607	1276	8547	6036	7322
Ttll4	1358	1149	1005	4190	2789	3558
Cyp27a1	1337	1126	847	599	177	270
Prkag3	26	19	26	11	0	17
Wnt6	175	113	110	150	39	98
Wnt10a	8	0	0	0	0	0
Cdk5r2	6	2	4	6	4	16
Fev	0	0	0	0	0	1
Cryba2	1	0	2	9	7	2
Mir375	0	0	0	0	0	0
Cfap65	6650	6547	4351	56314	35858	45199
Ihh	5068	9160	5968	21	36	79
Nhej1	209	162	148	161	118	190
Slc23a3	59	46	21	51	34	76
Cnppd1	4217	3639	3035	3864	2381	4132
Retreg2	10937	10933	9237	8370	6056	8968
Zfand2b	1077	1249	997	652	442	652
Abcb6	956	909	763	959	819	1160
Atg9a	4404	4122	3159	3082	1894	3037
Ankzf1	1718	1688	1367	1629	977	1462
Glb1l	1586	1360	1303	1851	1203	1726
Stk16	3525	3494	2888	2449	2034	2740
Tuba4a	1754	1730	1554	274	230	305
A630095N17Rik	1	0	0	6	18	1
Dnajb2	4847	4587	3875	10936	9568	12382
Ptprn	42	38	12	69	72	71
Resp18	0	0	0	0	0	0
Dnpep	3683	3003	2888	2552	1597	2976
Des	49296	30971	27853	12415	2445	4000
Gm15179	2	1	2	0	0	2
Speg	4905	3408	2983	1228	330	447
Gmppa	3306	3047	2724	2203	1422	2087
NA	1	1	1	1	0	1
Asic4	329	60	120	8	5	7
Chpf	7056	5382	4856	4976	3827	5153
Tmem198	108	106	89	102	57	106
Obsl1	3007	1848	1955	1807	977	1341
Inha	228	166	162	474	342	382
Stk11ip	2162	1952	1686	5538	3996	5349
Slc4a3	2146	1821	1339	1332	606	829
NA	0	0	0	0	0	0
Gm17751	2	0	0	0	0	0
Epha4	5209	4854	4077	2835	2627	3582
Pax3	0	0	0	0	0	0
Gm2102	0	0	0	2	0	2
Sgpp2	281	275	162	551	420	821
Farsb	3756	3841	3174	2274	1902	2916
Mogat1	206	215	226	18	8	18
Acsl3	1811	1950	1635	10367	9437	12060
Utp14b	332	316	221	1669	1158	1728
Kcne4	3379	3514	1844	469	134	123
Scg2	0	0	0	0	0	0
NA	10	17	3	0	4	3
Ap1s3	2656	4171	2218	410	361	467
Wdfy1	1426	1285	944	1527	924	1267
Gm10555	0	0	0	0	0	0
Mrpl44	1592	1284	1286	1404	1074	1768
NA	1	6	0	2	2	0
Serpine2	2908	7668	2548	3763	3687	4779
Fam124b	114	195	116	13	4	4
Cul3	7084	6295	5391	7048	5328	7807
1700016L21Rik	0	0	0	6	1	1
Dock10	712	584	472	312	138	195
Nyap2	2	0	0	0	0	4
Irs1	9196	10238	7274	11234	10700	11642
Gm19537	28	36	17	39	41	43
Rhbdd1	2537	2164	2013	3331	2589	3849
Gm19552	4	1	1	5	1	0
Col4a4	1460	1418	1182	633	245	336
Col4a3	900	718	744	521	115	268
Mff	3803	3545	3249	3506	2634	3908
Tm4sf20	0	0	0	2	0	0
Gm17764	0	0	0	0	0	1
Agfg1	3174	2388	2286	2319	1504	2000
Slc19a3	29	32	20	36	6	36
Krtap28-13	0	0	0	0	0	0
Ccl20	2	0	0	8	2	2
Daw1	458	358	288	3323	2409	3138
Sphkap	35	44	23	38	6	12
Pid1	3895	2965	2731	1841	992	1389
Dner	67	52	34	373	242	554
Mir5126	0	0	0	0	0	0
Trip12	18573	16996	13793	16456	11125	17346
Fbxo36	1106	1095	980	4902	4390	6497
Slc16a14	401	103	91	18	6	13
Gm15433	3	2	0	0	0	5
A530032D15Rik	45	12	39	24	21	23
A530040E14Rik	63	36	22	25	12	26
NA	2	0	1	6	1	1
Gm7609	19	9	10	44	8	6
C130026I21Rik	8	3	6	7	1	7
Gm2666	7	3	5	35	11	27
Gm2427	8	2	0	8	8	13
NA	1	2	0	2	2	2
Sp110	810	580	527	636	357	663
Sp140	413	246	288	273	133	307
Gm10552	2	0	2	4	1	13
NA	0	0	0	4	0	0
Sp100	4196	3171	2704	5091	2647	4914
A630001G21Rik	272	216	163	208	125	187
Cab39	14424	13993	11944	12811	9575	13978
Itm2c	22293	19003	18043	15774	11243	16643
4933407L21Rik	34	29	22	27	22	18
Gpr55	3	15	4	40	34	40
Spata3	6	16	0	98	28	68
2810459M11Rik	302	260	277	1041	685	1149
Psmd1	7042	6162	5297	4509	3881	5460
Htr2b	60	60	50	33	32	47
Armc9	1919	1588	1484	3289	2958	3825
NA	8	5	8	2	3	3
B3gnt7	1532	1250	1578	571	526	702
Gm5258	0	0	0	0	0	0
Ncl	21410	17568	16273	20431	14887	23128
Snora75	13	11	10	1	7	2
Snord82	0	0	0	0	0	0
C130036L24Rik	37	26	44	62	25	37
Nmur1	10	5	10	12	0	20
Tex44	6	6	6	76	90	91
Ptma	43477	37341	35033	48918	40471	52426
Pde6d	1529	1218	1005	2072	1883	2402
Cops7b	1031	958	756	865	621	857
Nppc	46	32	33	38	25	19
Dis3l2	1467	1247	1097	2559	2218	3055
Alppl2	1	4	4	0	0	0
Alpi	3	0	0	0	0	0
Akp3	0	0	0	0	0	0
Ecel1	54	12	14	3	0	9
Prss56	0	0	0	0	0	0
Chrnd	1	0	0	0	0	1
Chrng	0	0	1	0	0	0
Eif4e2	3632	3008	2545	2362	1622	2359
Efhd1	954	841	794	75	4	38
Gigyf2	5259	4537	3726	4453	2814	4230
Kcnj13	9	14	9	61	21	50
Snorc	8	3	1	15	7	4
Ngef	3339	2978	2550	6234	4915	6674
A530079E22Rik	24	8	8	55	28	40
Gm6153	8	6	7	7	3	7
Neu2	136	174	117	190	100	282
Inpp5d	2071	1450	1292	471	267	491
Atg16l1	2562	2129	1741	1603	1344	1678
Scarna6	1	3	0	2	2	1
Sag	39	50	50	161	85	99
Gm19582	1	1	3	0	4	4
Dgkd	3648	2841	2427	3236	2150	2778
Usp40	2789	2785	2424	3174	2429	3461
Ugt1a10	0	0	0	0	0	0
Ugt1a9	0	0	0	0	0	0
Ugt1a7c	3733	2554	3281	658	516	753
Ugt1a6b	57	53	49	73	70	109
Ugt1a6a	2663	2267	2476	2737	1976	3308
Ugt1a5	1	5	0	22	4	5
Ugt1a2	36	27	35	25	20	12
Dnajb3	192	186	124	128	104	134
Ugt1a1	1971	1737	2175	1827	1358	2362
Mroh2a	828	669	728	224	147	243
Hjurp	2384	1736	1526	3664	1760	2534
6430706D22Rik	0	0	0	0	0	0
Trpm8	2	3	2	5	4	0
Spp2	17	9	10	67	35	70
Glrp1	16	18	7	36	12	24
Gm19589	0	2	2	16	12	11
Arl4c	14160	9779	9267	15004	12668	15230
Platr5	2	0	1	3	0	1
1700067G17Rik	6	2	0	2	0	4
Sh3bp4	4721	4597	3770	4331	3329	4788
C030007H22Rik	0	0	0	0	0	0
Agap1	6696	7435	5364	5254	3414	4698
4933400F21Rik	2	5	2	2	4	0
Gbx2	0	1	0	0	0	2
Asb18	1	0	0	0	0	0
Iqca	1373	1449	1224	12673	11070	16115
Ackr3	1885	1587	1370	1005	769	1069
Cops8	3266	2527	2397	2500	1820	2840
Gm9991	1	4	6	0	0	6
Col6a3	21557	17716	12918	5126	1714	2751
Mlph	4191	4065	3355	3234	2122	3618
Prlh	7	12	8	6	3	0
Rab17	575	479	442	532	355	595
Lrrfip1	4655	4026	3187	4604	3352	4951
Rbm44	7	0	3	9	4	2
Ramp1	3035	2941	2252	7658	5143	7941
Ube2f	1634	1416	1262	1069	851	1274
NA	15	18	10	16	11	17
Scly	1205	999	814	637	312	522
Espnl	85	57	41	286	209	286
NA	0	0	0	0	0	0
Klhl30	384	207	171	88	17	24
Erfe	41	13	33	32	29	24
Ilkap	2318	1965	1682	2531	1753	2375
1700020N18Rik	25	14	7	63	55	71
Hes6	1294	1116	1274	1419	1058	1713
Per2	1974	1127	809	4469	1985	2419
Traf3ip1	2075	1956	1558	14153	13204	17230
Asb1	1519	1306	994	1333	939	1217
Twist2	1028	850	607	114	42	52
Hdac4	1993	1623	1374	2371	1474	2192
Ndufa10	4521	3682	3384	2913	2373	3682
Or6b2	0	0	0	0	0	0
Or6b2b	0	0	0	0	0	0
Or6b3	0	0	0	0	0	0
Or9s23	0	0	0	0	0	0
Or9s27	0	0	0	0	0	0
Or9s15	0	0	0	0	0	0
Or9s14	0	0	0	0	0	0
Or9s13	0	0	0	0	0	0
Cops9	1570	1622	1564	1165	774	1396
Otos	12	5	3	8	6	3
Gpc1	4735	3139	3079	4063	2610	4561
NA	0	0	0	1	2	2
Mir149	0	1	0	1	0	0
Ankmy1	166	203	159	1520	1201	1676
Dusp28	860	824	725	938	864	1091
Rnpepl1	5315	4378	3493	5825	3986	5664
9430060I03Rik	17	1	2	23	34	32
Capn10	1444	1623	1091	2610	2281	2932
Gpr35	205	122	127	225	182	218
Aqp12	0	0	0	0	0	0
Kif1a	1518	906	1025	443	104	218
Agxt	0	0	0	0	2	4
Mab21l4	675	503	694	1369	1117	1945
Crocc2	2418	2391	1783	20963	13433	19513
Sned1	2761	1664	1373	4812	2211	3105
Mterf4	2768	1826	1598	4106	2469	3499
Pask	491	446	389	991	671	1135
Ppp1r7	2814	2336	2168	3162	2325	3521
Ano7	72	81	33	67	34	50
Hdlbp	35826	33457	29211	28961	21703	32714
Septin2	13510	10853	10077	9356	6514	9780
Farp2	679	488	515	889	626	842
Stk25	6170	5861	5172	7011	5202	7875
Bok	4080	2937	2725	8164	7093	9740
Thap4	1813	1468	1346	1734	1109	1939
Atg4b	3441	2962	2544	2214	1675	2237
Dtymk	1942	1746	1525	1466	1021	1578
